,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.28738043994303,0,0,0.0885830722196269,0,0.0206474950243656,0,0,0.0680231003299917,0.0245726431116903,0,0.0293757447864585,0,0,0,0,0
ETH,0,0,0,0.0275984638945568,0,0.0136767436321685,0.107525896590987,0,0,0,0,0,0.168805588943552,0.132979408259896,0.0497456763091714,0,0,0,0,0
XRP,0,0,0,0,0,0.133406759045312,0,0.0746621643937537,0,0,0,0,0.147287653980004,0.181097245304499,0.106373623182917,0,0,0,0,0
BCH,0,0,0,0,0.288726827368975,0,0.112796572867544,0,0,0,0.296052759950454,0.0243277198655047,0.0138828471286064,0.065624236605639,0,0,0,0,0,0
LTC,0.15205142273469,0,0,0.215608795686045,0,0,0,0,0.0491043930610083,0,0,0,0,0.15060543885459,0.0209371757453345,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.113713811252617,0.0668017088728199,0,0,0.0670441448920468,0.13511146318281,0,0.115206202826925,0,0,0,0,0
NEO,0,0.131301293392894,0,0.141924852198382,0,0.104179320694727,0,0.127795036606062,0,0,0,0,0.145687096547298,0.120582430586268,0,0,0,0,0,0
XLM,0,0,0.215096477488869,0,0,0.281803080488263,0.12007744027683,0,0.0589587124813963,0,0,0.0157332177524161,0.04746746447457,0,0,0,0,0,0,0
EOS,0,0,0,0.098383920320266,0,0.0277237629374556,0,0,0,0,0,0.127831139975316,0.0897389367533531,0.191525731290738,0.0851479516201644,0,0,0,0,0
MIOTA,0,0,0.0203834153754146,0.128842910054171,0,0,8.67361737988404e-19,0,0.0675399985686079,0,0.175366198633639,0,0.14646396007296,0.189560298202608,0.0272518302020747,0,0,0,0,0
DASH,0,0,0,0.131542635674198,0,0,0,0,0.0408257137579293,0,0,0.205982177174591,0,0.103394548631733,0.115273382945241,0,0,0,0,0
XMR,0,0,0,0.0508299790568222,0,0,0.113916797334658,0,0.0650460486404308,0.0883586069730402,0.171278143009711,0,0.0769840003633359,0.141809055887233,0.0101948440713553,0,0,0,0,0
XEM,0,0,0,0.0448637450882308,0,0,0,0.187875929640015,0,0,0,0.163323895025684,0,0.0484099666241189,0.021451452292697,0,0,0,0,0
ETC,0,0,0.0458225621943591,0.207137637620638,0,0,0.0268750684492598,0,0.100542351354079,0,0,0.194914419558006,0,0,0.0849877199468156,0,0,0,0,0
TRX,0,0,0.307358764116608,0,0,0,0,0,0,0,0.287927591855477,0,0.354424237417181,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0,0,0.0119760473023523,-0.040128805568193,0,0.00705422385871155,0.0132932742576079,0,0,0,0,0,0.0194004745594443,0,-0.0246912041490245,0,0,0,0,0.0407167494171265
DXY.Curncy,0,0,0,0,0,-0.00918710285629205,0,0,-0.00493861586515994,0,0,0.00436008794618424,0,0,0,0,0,0,0,0.00728177915694555
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651212085622
VIX.Index,0,0,-0.030710491307302,0,0,0,0,0,-0.078782672247565,0,0,0.21328932547788,-0.0589735469970326,0,-0.0261131708517776,-1.8863180042346,0.385552430869667,0,-0.0360242602912613,0
