,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.06996361394625,0.128333197417334,0.0586923584590009,4.33680868994202e-19,0,0,0.076679982984807,0,0,0,0,0,0.0826253305234886,0,0,0,0,0
ETH,0,0,0,0,0,0.105524862849312,0.186422383919121,0.13044299782916,0.0161573527188954,0.025836307248138,0,0.0672828177904806,0,0.082149559629612,0.0700904509731874,0,0,0,0,0
XRP,0,0,0,0,0,0.114387574785883,0,0,0,0.0273815777143743,-0.0165077206198022,0,0.517253278242362,0.00285147946070482,0,0,0,0,0,0
LTC,0,0,0,0,0.0596026384650218,0,0.0936318482293784,0,0.0968393613668137,0,0.110238055570856,0,0,0.0997476593739002,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.060635771486558,0.0589525878813827,0.0485095368038378,0,0.256099159991239,0.0890145946177597,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0260361474865227,0,0.238147665587787,0,0.0817127717470764,0,0,0,0.0723112623225083,0,0,0,0,0
ETC,0,0.303451509018061,0,0.209110907950593,0,0,0,0,0,0,0.0216861715150093,0,0,0,0,0,0,0,0,0
MIOTA,0,0.25637273481138,1.73472347597681e-18,0,0.127679142862679,0,0.0105785830394974,0,0,0,0.066355624388929,0,0.0336518694373151,0.0388167137171003,0.100756771391007,0,0,0,0,0
XMR,0,0,0,0,0.0622460712288259,0.340452566096598,0,0,0,0.0362377703903157,0,0,0.241053416382828,0,0.0398409414107014,0,0,0,0,0
EOS,0,0.166511053554224,0,0,0.0945193025321941,0,0,0.120799056012253,0,0,0.0333915927764045,0.0673228759693581,0,0,0.0214134150243005,0,0,0,0,0
NEO,0,0,0,0.262608323751135,0,0,0.34404325919332,0,0,0.0136976746048989,0,0.435880629909346,0,0,0.0138749048067545,0,0,0,0,0
ZEC,0,0.264008630725939,0,0,0,0,0,0.016962997491844,0.119519862173436,0.0145759644652503,0.0650813113864707,0,0,0,0,0,0,0,0,0
XLM,0,0,0.545470592721159,0,0.105958035773497,0,0,0,0.222119727184228,0,0.0683900700668806,0,0,0,0.0493920656952869,0,0,0,0,0
DOGE,0,0,0,0.0270708858095941,0.453079250174942,0.0726008731489955,0.159960298973563,0,0.0157109551247238,0,0.0040890004292074,0,0,0,0.0593581385696972,0,0,0,0,0
DGB,0,0.0790224823686642,0,0,0,0,0,0,0.331216058397408,0.0541630222811207,0.0171004944938633,0,0.308560407997595,0.0763579430814205,0,0,0,0,0,0
BV010082.Index,0,0.00652473262234927,0.00883889202097309,0.0142784308317121,0,0,0,0,0,5.42101086242752e-20,0,0.0204904840403837,0,0.000203705226726671,0,0,0,0,0,0
CVIX.Index,0,0.000122401055329898,0,-0.0324379225878212,0,0,0,-0.00106890360614051,0,0.0102340370643944,0.0116323249987853,0,-0.011790879381548,0.0420033111766989,-0.0101994646573904,0,0,0,0,0
DXY.Curncy,0.0148917427128669,0.00420789464664357,0,0,0,0,0,0,0,0.00169784198594695,0.00101166258207662,0,-0.00961201652243188,0,-0.00329450925730757,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,1.0842021724855e-19,-0.00191051742769057,0,0,0,0,0,0,0.00156233525213238,0,0,0,0,-0.0548179594748416
VIX.Index,0.0552925211063569,0.113858772138352,0.13336951324697,-0.108978882785699,0,0,0,-0.131886842538999,-0.0663247403512481,0.0233890339907731,0,0,0,0.0439147810081032,0,0,0,0,0,0
