,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,-0.00817411300411284,0,0,0,0,-0.00774690107666188
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676981916343436
XRP,0,0,0,0,0,0.0084453048413502,0,0,0,0.200492213412245,0.0419067187828548,0,0,0,0,0.0337433011083821
LTC,0.2397799247005,0,0,0,0.0651781433262546,0.00644635948122876,0,-0.0236194746627502,0.0287047229869816,-0.00426673193560582,-0.00375616001017692,0,0.016071623037935,0,0,0.00410549193019664
ETC,0,0,0,0,0,-0.00398911305689069,0.175948844205162,0,0,0,0,0,0,0,0,0
XMR,0,0.611950124986158,-0.226511891729151,0,0,0,0.338149266144313,0,-0.243057968921098,0.232278298771788,0,0,0,0,0,0
DASH,0,-0.0613233338198056,-0.144511673785969,0,-0.0559802958208455,0.033431510071216,0,0.0530234381334034,-0.163861114982585,0.172056399367158,-0.157424513369903,-0.430718641453227,0.260366768856348,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0432018639204914
DOGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.551562251753986,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0,-0.0488012694271054,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0775903309752042,-0.0768794966629676,-0.0290253713064297,0.000999171881845731,0,-0.0542784903613097,-0.0416068096924743,0,0.00485738943842278,0,0.137691665177107,0.800442381272558,0,-0.0143825130658882
CVIX.Index,0,0,0,0,0,-0.0239922814348512,0,0,0,0.0503901638700323,0,0,0,0,0,0.114494505146804
DXY.Curncy,0,0,-1.0842021724855e-19,0,-0.00354151542809081,0.00260926655283122,0,-0.00646214641546438,0.000561862434363565,0,0.00272243549964427,0.0872459976874868,0.0180134324421937,0,0,0.00617185591210507
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0701321602182076
VIX.Index,-0.176077484556195,0,0.0649282838384259,0,-0.0968728706320939,0.00241638099057887,-0.00402964296411585,0,0,-0.00995400934962394,0.0455553029022809,0,0.188317609745341,0,-6.54832243043465,0
