,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0387890347125746,0,0.0142752882642931,0,0,0.0724374795700906,0.0151895442082949,0,0.000906369746777286,0.00967263508306778,0.225452841604087,0.0909354715158367,0,0,0,0,0
ETH,0,0,0.187207696329499,0.0437185830855986,0.00857974121377706,0,0,0.0101102439610765,0.152743749599671,0.0683588115952437,0,0,0,0.0655656946638974,0,0,0,0,0,0
XRP,0,0,0,0,0.0242172310208581,0,0.0524781800203258,0.0111345709521802,0.0967361975933532,0,0.0758682135629261,0,0.0669345600640093,0.355610324669228,0,0,0,0,0,0
BCH,0,0,0.063199317510468,0,0.0103068978578389,0,0.145949261831394,0,0.160104100942723,0,0.152701144450862,0,0.0577195973612865,0.113941682310046,0,0,0,0,0,0
EOS,0,0,0,0.238417183547084,0,0,0.0597539961665987,0,0,0.0347429791586497,0.239751794636613,0,0,0,0.0439576236803972,0,0,0,0,0
LTC,0,0,0.253357209945339,0.043710035443436,0,0,0.0404928575918019,0.0398556384636091,0.0940609016441002,0.0235448325268409,0.0840704615948959,0,0,0.0283394319214101,0,0,0,0,0,0
ADA,0,0,0,0.0775326026509136,0.0598927703423443,0,0,0.344011100482011,0.147341941884519,0,0.0435268954180445,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.141570215466504,0,0.128138077532918,0,0.111735383082228,0,0,0,0,0.298354693107439,0,0,0,0,0,0
MIOTA,0,0,0.231484714772869,0.335255216298169,0,0,0.07716449308139,0,0,0,0.0352114740430642,0.0843178895764264,0,0.125312651144637,0,0,0,0,0,0
TRX,0,0,0,0.177424155273735,0.0770887409630117,0,0,0.414477993045812,0,0,0,0,0.039486247343692,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0920558297584895,0,0,0.196435784502723,0.11391541219424,0,0,0.0523357468799436,0,0.308622223492382,0,0,0,0,0,0
DASH,0,0,0,1.73472347597681e-18,0,0,0,0.152588358075021,0.159200332797156,0.0239543290179203,0,0,0,0.195904833023178,0,0,0,0,0,0
XMR,0,0,0.230876425452157,0.0248823948893245,0,0,0.0898888887919193,8.67361737988404e-19,0,0,0,0.29326555189362,0,0.103177850729535,0,0,0,0,0,0
XEM,0,0.265445796995464,0.0794597152817215,0,0,0,0.0633151864880749,0.221197339571423,0.0117179499307161,0.0705146460965287,0.0768822280746263,0,0,0,0,0,0,0,0,0
BNB,0,0.215692539905322,0,0.0549893627456058,0.0861738538634094,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0.00263372793292566,0,0,0,0,0,0,0,0,0,0,0,0,-0.0802271171348382
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0.00459487931159583,0,0,0,0,0,0,0.0236598882593052,0,0,0.00673292523541991
SPX.Index,0,0,0,0,0,0,-0.0103107774761606,0,0,0,0,0,0,0,0,0,0,0,0,-0.113172090855168
VIX.Index,0,0,0,0,-0.133028189067107,0.250116639905486,0,-0.269653122208105,0,-0.0109510116461593,0.19506236323926,0,0,0,0,-1.14098681141562,0,0,-1.73368481282396,0
