,BTC,ETH,XRP,BCH,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.146748542176109,0.110364290906278,0,0,0,0,0.0153461482849526,0.0183908119676935,0,0.10411912535145,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.127590459545793,0.166844978907549,0.0178507352537608,0.16573764741029,0.0296146781672154,0,0.0421757570398997,0.129852784244224,-1.73472347597681e-18,0,0,0,0,0
XRP,0,0.0177790037071683,0,0,0,0.238792016724152,0,0,0.0549618966077387,0,0.0181633724251921,0,0,0,0.193174281634735,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.078412513264051,0,0.193803197351469,0,0,0.0661161646816875,0.0752812026018788,0,0,0,0,0,0,0,0
XEM,0,0,0.0351187890122004,0,0,0,0,0,0.0455400625197214,0.0671735209586254,0.114683925329323,0.0334650179984296,0,0,0.204561313601911,0,0,0,0,0
DASH,0,0.0943882953876997,0,0,0,0,0,0.0782003046781018,0,0.147658714283198,0.0546812973793828,0.0722397121820757,0,0,0.0510563907182907,0,0,0,0,0
ETC,0,0.321047414488598,0,0,0.0809148222302359,0,0,0,0,0.0599109799357685,0.0114946836757463,0.0179115312938204,0,0,0,0,0,0,0,0
MIOTA,0,0.269468645856679,0,0,0,0.130311079391955,0.0451896807316242,0.0721504426045543,0,0,0,0.0701826436752414,0,0.122680308480311,0.0753837779167672,0,0,0,0,0
XMR,0,0,0,0,0,0.249995457136792,0.179265413507828,0,0,0,0,0,0,0.0200034472914547,0.129332569721523,0,0,0,0,0
EOS,0,0.111215507097777,0,0,0,0,0,0,0.152815047555099,0,0,0.0322585161184252,0.142241935666688,0.1083937454198,0.0682916280879234,0,0,0,0,0
NEO,0,0,0,0,0.026824588355173,0,0.0753828215151727,0,0,0.0409347547831582,0.030587239930686,0,0.414426167777164,0,0.120448751291668,0,0,0,0,0
ZEC,0,0.136267843655245,0,0,0,0,0,0,0.0875834760397629,0.0613069315940338,0,0.0306963457231349,0,0,0.289513025717504,0,0,0,0,0
DOGE,0,0,0.0990732775367413,0,0,0.285276940810097,0,0.0738728197492165,0.0447670531804366,0.162964291139243,0,0.00158093550420964,0,0,0,0,0,0,0,0
XLM,0,0,0.299318443215885,0,0.0255226051670513,0.102124437381434,0,0,0,0.450083738989117,0.0549042584381016,0.0353533178637131,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.0108881900651148,0,0,0,0,-0.0207367689228973,0,0,0,-0.00478877127686788,0.0248563892740624,0.0123142135380707,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0260974334523959,0.0119810218337814,0.00430161359308309,0,0,-0.0109216809365845,0,-0.00617735977815783,-0.00143004796545145,0,0.00114671570192759,0.00151941391863971,0.00855210306782631,-0.0110095921008964,-0.0113749571260883,0,0,0,0,-0.00596969083315916
SPX.Index,0,0,0,0,0,0,0,-0.00347678909523337,-0.000967523454371159,0,0,0,0,0,0,0,0,0,0,-0.0478717714620236
VIX.Index,0.0628027972710829,0.174267279259078,0.0821378343639475,0,0,0,0,-0.0425859115020616,-0.120199390768332,0,0.00828985629206114,-0.0435272010786375,0,0.0521146227430755,0,0.153305126454848,0,0,-1.22063395542365,0
