,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,XEM,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00084645609763186,0.00982241704144714,0,0.192828588311506,0,0,0,0.0504431110796917,0,0.0133865595809426,0,0,0,0,0,0,0,0
XRP,0,0,0.15050601188656,0.00292077471913069,0.014248154945909,0,0,0,0,0,0,0.414898460921219,0,0,0,0,0,0,0,-0.0208910850559318
ETH,0,0.0823068157666231,0,0.0563666937343274,0,0,0,0.256375766143387,0.0768917344019862,0,0,0.139623110168159,0,0.0119380811325786,0,0,0,0,0,0
BCH,0,0.0385216195864127,0.331492084182826,0,0,0,0,0.0864898953393998,0,0.231932121701122,0,0.107630895020425,0,0,0,0,0,0,0,0
XLM,0,0.145609354899028,0,0,0,0,0,0.50943728907998,0,0.103050251829402,0,0,0,0,0,0,0,0,0,-0.011809234823275
EOS,0,0.0233982467478989,0.352205770683092,0.0413653784126821,0,0,0,0.192526085398663,0,0.0659956081513799,0,0,0,0.0176624869834385,0,0,0,0,0,-0.00828927845144118
LTC,0,0.00285958549288229,0.14227722802604,0.116194281908521,0,0,0,0.171704198527795,0,0.0250811367355586,0,0.174166177769938,0,0,0,0,0,0,0,0
ADA,0,0,0.235162351083761,0.0703848990408858,0.195843768088661,0,0,0,0,0.0514948421348839,0,0.326092959509061,0,0,0,0,0,0,0,0
XMR,0,0.00692942769678123,0.2314815463063,0.0839150026030241,0,0,0,0,0,0,0,0.211381133684066,0,0,0,0,0,0,0,0
TRX,0,0.0393164050449091,0.181056656972877,0,0.00103768286808719,0,0,0.463443887454569,0,0,0,0.00635046068641837,0,0,0,0,0,0,0,-0.00104751650058283
DASH,0,0,0.25140833472871,0.0724933964836945,0,0,0,0.175962500108589,0,4.33680868994202e-19,0,0.0962584951532326,0,0,0,0,0,0,0,-0.00192296095543562
MIOTA,0,0.108281144965609,0,0,0,0,0,0.129415789956832,0.111890258169816,0.138081035449883,0,0,0,0.108588285235745,0,0,0,0,0,0
BNB,0,0,0.232462643204409,0.0419736855134243,0,0,0,0,0,0.0753992137400127,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.165453569008849,0.0489919122320803,0.0497444184428884,0,0,0,0.21647479638444,0,0.17639713937969,0,0,0.0619956011491691,0,0,0,0,0
NEO,0,0,0.090733147681178,0.0695448149171406,0,0,0,0.312489289835761,0,0,0,0.272647035249499,0,0,0,0,0,0,0,-0.0420461689981125
BV010082.Index,0,-0.0114111331238255,0,0,0,0,-0.0231874158659684,0,0.053110146737136,0,0,0,0,0,0,0,0,0,0,-0.025549436064007
CVIX.Index,0,0.020691363921409,0,0,0,-0.00293599669529014,-0.131103321911553,0,0,0,0,0.124152318458037,0.0368086293853985,-0.0074093572789446,0,-0.226619240394461,0,0,0,0.0503323288165996
DXY.Curncy,0,-0.0171689623292595,0,0,0,0,0,0,0,0,0,0.0158685192709466,0,0.00429160240048185,0,0,0,0,0,-0.00144583281798672
SPX.Index,0,-0.0125519219920047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10001639017185
VIX.Index,0,-0.214122558155555,0,0.129862151044017,0,0,0,0,0,0,0,0,0,0.154434350979457,-0.0499849098194801,0,0.35313703005448,0,-5.34052310048443,0
