,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0572274713122832,0,0,0.173396800939827,0,0,0,0.0281210526509858,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0.184525831152141,0,0,0,0,0.0085756250415597,0,0,0,0.382664717809634,0,0,0.0786854850752048,0,0,0,0,-0.00210275629439013
ETH,0,0.0707625541150126,0,0.0171164860506788,0,0,0.119814730156153,0.165272375686939,0.172558125906121,0.0923316316414497,0.102066141572038,0,0,0,0.022148074619197,0,0,0,0,0
BCH,0,0.0662990172316974,0.315044478430191,0,0,0,0,0.108589656048864,0,0.240471714861581,0,0,0,0,0,0,0,0,0,0
XLM,0,0.14136788284082,0,0,0,0,0,0.51252710595834,0,0.109612114883696,0,0,0,0,0,0,0,0,0,-0.00822543270847598
EOS,0,0.00905217620877412,0.375075316131533,0.0791737313085508,0,0,0,0.199729121037903,0,0.0541517571026528,0,0,0,0,0,0,0,0,0,-0.0131808979595824
LTC,0,0.00392861193022117,0.168893516650763,0.112768084292189,0,0,0,0.127163535954086,0.0481547232959114,0.0512610146227579,0,0.134467556843146,0,0,0,0,0,0,0,0
ADA,0,0,0.0825357497019854,0.0468395438960129,0.381947050791389,0,0,0,0,0.13271435831772,0,0.136973034632451,0,0.0347342988817546,0.0361296101597339,0,0,0,0,0
XMR,0,0.062661954289624,0.191562352997067,0.0756704630568926,0,0,0,0,0,0,0,0.0959576808100837,0,0,0,0,0,0,0,0
TRX,0,0.0180525694561589,0.25944956589572,0.0488003821381329,0.084519304858267,0,0,0.20109131008958,0,0,0,0.119973919775945,0,0,0,0,0,0,0,0
DASH,0,0,0.296054192322768,0.0322916054223284,0,0,0,0.131055584797201,0,0,0,0.117227612052147,0,0,0,0,0,0,0,0
MIOTA,0,0.109259950452037,0,0,0,0,0,0.104742239995754,0.159520920610319,0.172867691372394,0,0,0,0,0.0982235767427148,0,0,0,0,0
BNB,0,0,0.256237121019183,0.0369712873001057,0,0,0,0,0,0.0822055611159135,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.0829869213736877,0.062642848715039,0,0,0,0.331054802383592,0,0,0,0.229765624750997,0,0,0,0,0,0,0,-0.0319613689861208
XEM,0,0,0.100346107974811,0.159120620609991,0.0379205534790219,0.0599120373358761,0,0,0,0.26272647301086,0,0.0126927677210525,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0588424855880948,0,0,0,0,0.0706249816813412,0,0,0,0,0,0.00327188243908814,0,0,0,0,-0.0253452261357587
CVIX.Index,0,0.0212553281868874,-0.0580481670928168,0,0.0428096833657646,0,-0.139540278987248,0,0,0,0,0.131475216065397,0,0,0,-0.0227043692989462,0,0,0,0.0658547118227193
DXY.Curncy,0.0111513443676731,-0.00956738321673267,-0.0454169322200768,0,0,0,0,0,0,0,0.00909131670818261,0.028186957802055,0.0232533053073822,0,0.00239606604079396,0,0,0,0,-0.00161778089650473
SPX.Index,0,-0.0173399892829936,0,0,0,0,0,0,0,0,0,0,0,0,0.0127653300579323,0,0,0,0,-0.099017050151693
VIX.Index,0,-0.206072929946788,0,0.138772807233377,-0.0356236675245447,0,0,0,0,0,0,0,0,-0.0440830742337544,0.15610196219804,0,0.352606121316455,0,-5.48842412483237,0
