,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,DASH,MIOTA,TRX,NEO,ETC,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,3.46944695195361e-18,0,0.0833236819886928,0.0333084619334506,0.0628930223714883,0.0976218859493286,0.0685030258495584,0,0,0,0.0813823208011943,0,0,0.0245076515962074,0,0,0,0,0
ETH,0,0,0,0,0.289802149721273,0,0,0,0,0,0.135745702142705,0,0.0806631345315661,0.104360759924919,0.0158958641914528,0,0,0,0,0
XRP,0,0,0,0,0.328297740720205,0,0,0,0,0,0.215828294714394,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.282899235534778,0,0,0,0.120326574360647,0.0355049419051027,0.0693161210560749,0,0,0,0,0,0,0,0,0
EOS,0,0.078477660727654,4.54646063024154e-05,0,0,0,0,0,0.0762844739871451,0.0547504483633932,0.201378605995667,3.46944695195361e-18,0.249215477274944,0,0,0,0,0,0,0
XLM,0,0,0,0,0.0158752225880166,0,0,0.0547455046020099,0.117912352410336,0,0.0738248876945546,0,0.194020926988616,0,0,0,0,0,0,0
LTC,0,0.156443221545448,0,0.239455769812797,0.0986723397971476,0,0,0,0,0.0371667170050604,0.157146911684299,0,0,0,0,0,0,0,0,0
XMR,0,0.253628958712333,0,0.0561302320957265,0.103216118625456,0,0,0,0.0895985194372484,0.176198303740579,0.062126789431151,0,0.0511295486357489,0,0,0,0,0,0,0
ADA,0,0,0,0.172364222355677,0.0459841556241944,0.125089869690719,0,0,0,0,0,0.29110491916192,0.193602085057448,0,0,0,0,0,0,0
DASH,0,0,0,0,0.10274063565798,0,0,0,0.0536447595804123,0,0.191528793187635,0,0.227917601811307,0,0,0,0,0,0,0
MIOTA,0,0,0.34058810299166,0,0,0.0821923246952738,0,0,0,0.0421266993846124,0,0.248639198960326,0.322243204450103,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0829757519018878,0,0,0,0,0,0.159315863750671,0,0.320617907192612,0,0,0,0,0,0,0
NEO,0,0.0416435975932293,0,0,0.0192604308844994,0,0,0.159412865221579,0,0.0585465693593853,0.354242710534683,0.198581038285895,0,0,0,0,0,0,0,0
ETC,0,0.125742354857926,0,0,0.276527245982673,0.0294335893945884,0,0,0,0,0.189610698185582,0,0,0,0.0714640045609561,0,0,0,0,0
XTZ,0,0.463914662499592,0,0,0,0,0,0.121915922244977,0,0,0,0.146369167879734,0,0.0509387307495814,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0401596688226907
CVIX.Index,0,-0.162060611746603,0.0419106098815134,0,0,-0.00456979692239912,0,0,0.128840320528664,0.00176896648210395,0,0,0,0.0336883362184871,0,0,0,0,0,0.102072751045839
DXY.Curncy,0,-0.00690855415265412,0,0,0,0,0,0,0,0.00528080553226801,-0.00883542901907811,0,0.00754742458642401,0,0,0,0.0826918331823226,0,0,0
SPX.Index,0,0,0,0,0,-0.00204977251389365,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059562175932158
VIX.Index,0.0840842141430384,0,-0.0636784472134544,0,0.114105115539836,-0.258519569658591,0,0,0,0,0.276358860446443,-1.73472347597681e-18,-0.272054235340597,0,-0.206092569246437,0,0.122273605865242,0,-3.29650420050835,0
