,BTC,ETH,XRP,ETC,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0624506289653143,0,0.0071480887576732,0.480944429416359,0,0.0369166658169404,0,0.122267268015517,0,0.0151667395622707,0,0,0,0,0
ETH,0.15975964239483,0,0,-0.134219075356513,0,0,0.01162069757595,0,0,0.02347566370384,0.245765751123185,0,-0.393440087452482,0,0,0.0654497330121472
XRP,0,0.00607270687998747,0,-0.00303468785150562,-0.0491486308514511,0,-0.0122500614265606,0,0,0.066877140538704,0.0534286330754877,-0.291155625953406,0.189022341468938,0,0,-0.110521701126489
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.621178020158043,0,0,-0.00374084603742237,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,-0.012587188694228
DASH,0,0.06072848450531,0,0,0,0,-0.0277509199618672,0,0.0738380125455303,0.0430627149192417,0.0813400219552081,0,0.0407060370461552,0,0,-0.028091157811157
XEM,1.04018099434071,0,0,0.0109045398108292,0,0,0,0,0.0819933409860323,0.222012763810586,0.243942977420713,0,0,0,0,0.109417240565977
DOGE,0.262536365141729,0.0585626806315915,0,0,0,0,0,0,0.0503005369385722,0.0467361441885163,0.0492315803700829,0,0,0,0,0
XMR,0.727505120294973,-0.0797248468655845,0,-0.0304484617558763,0,0,-0.0308012528254476,0.120865512326491,0,0,0.114928637444956,0,0,0,0,-0.0154448003849334
XLM,0,0,0,-0.0297863622183577,0.222073262413421,0.125731414217081,0.1513692235205,0,0,0,-0.0503593747197987,0,0,0,0,0.0974127518372436
DGB,0,0.254094393545588,0,0,0,0,0.0892033158638198,0,0,0,0,0,0,0,0,0
BV010082.Index,0,-0.0151292345736172,0,0.00846869718467358,-0.0475938428456753,0,0,-0.0194970852877547,0,0.0228575648772267,0,0,0,0,0,-0.0611808762661883
CVIX.Index,0,-0.114643993059089,0.0429219354591104,-0.0129932809790385,0,0,0,0,0,0,0.0675651267908033,0,0,0,0,0.213958962638591
DXY.Curncy,0,-0.00400739132310516,0,-0.000996472889385041,0,0,0.00121979326834373,-0.00612712125581903,-0.011848626594973,0,-0.000257160121456302,0,0.0161128224860752,0,0,0
SPX.Index,0,0.00448669514349523,0,5.42101086242752e-20,-0.00356572008992808,0,0,0,0,0.00177571181283233,-0.0159512303762839,0,0,0,0,-0.0651738426535982
VIX.Index,0,0.0692658657741194,-0.041726160716094,0.0908722588906688,-0.129802638264588,0,-0.0960106729578933,0,-0.0566202944181393,0.280621225272639,0,0,0.827374131214926,0,0,0
