,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0528300141393308,0.0166509508445515,0,0.102660319013624,0.183640515279473,0.0427235407527603,0.0064308888284275,0.0704620058211437,0,0.0288797367065503,0,0,0,0,0,0
ETH,0,0,0,0,0,0.15087768867935,0.0355835999793909,0,0.026955842241778,0,0,0.150383763307237,0.131573541323095,0.0772967642466754,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0652977555388782,0,0.247905418233488,0.029822046039322,0,0.199247843525846,0.0276714153904247,0,0,0.120682307345103,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.285987121417208,0,0,0,0.354876100407204,0,0,0,0,0,0,0
EOS,0,0,0.227141013884214,0.136400804930983,0,0.0365546906710967,0,0,0,0,0.0974770633620747,0,0,0,0.1681415260304,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.270786525536552,0,0,0.28488035705197,0,0,0.188412569758038,0,0,0,0,0,0
LTC,0,0,0.0508514495562826,0.0851750097999185,0,0.0986212385169285,0,0.0884687196084611,0.0482644187315392,0,0.0834866757543416,0,0.170211861135735,0,0,0,0,0,0,0
XLM,0,0,0.186506441056519,0,0,0.172582490060987,0,0,0.142674844356506,0.00777482779561506,0.145892036718517,0.000649582671192139,0,0.135817685735147,0.133539889630024,0,0,0,0,0
MIOTA,0,0,0,0.36352972994032,0,0.09067332922711,0,0,0,0.0386329902422919,0.155918687205395,0.0985201309758936,0.0130622783982576,0.0301645233870407,0,0,0,0,0,0
TRX,0,0,0,0.513469749824198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.162072018842919,0,0.0765024885191467,0.062742091487261,0,0,0.245202527693347,0,0.043555514280443,0.201044276962606,0,0,0,0,0
XMR,0,0.133029016023886,0,0.0930412650642123,0,0,0.105721967387942,0,0.20872456313138,0.0970283983733791,0.0949635861117467,0,0.071034879071954,0,0,0,0,0,0,0
DASH,0,0,0,0.12059522160507,0,0,0,0.170636943267465,0.145098652559155,0.110596992492466,0.0337580566008532,0.0724563399222945,0,0.00869136389628294,0,0,0,0,0,0
XEM,0,0.117678931299907,0,0.044295077453103,0,0.113940800316186,0,0.309700923547735,0,0.114196314348552,0.166377997741859,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.163496162208839,0.0640283372721206,0,0.152235757447697,0.177578065287771,0.034126359630929,0.102001463631966,0,0,0.0239343780857365,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.0119167311963496,0,0,0,0,0,0,0,0,0,-0.03271845230787
CVIX.Index,0,0,0,0,-0.0283130377336841,0,-0.0367140851129491,0,0,-0.0268292676338891,0,-0.0161637783355899,0.0995836879826767,-0.0025888776684674,0,0,0,0,0,0.0148496128737188
DXY.Curncy,0,0.0163207794042925,0,0,0.00442700194355668,0,0,-0.0193724735176994,0,-0.00484711145066251,0,0,0,0,0.0142266184321245,0,0.0013913740415895,0,0,-0.00735566710980409
SPX.Index,0,0,0,0,0,0,0,0,0,-0.00406175804744471,0,0,0,0,0,0,0,0,0,-0.107524399920659
VIX.Index,-1.38777878078145e-17,0,0,0,-0.0452257654158649,0,0,0,0,6.93889390390723e-18,0.136035080935032,0,0,0,0,0,0,0,-4.32556477562893,0
