,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.158102421687749,0,0.0166199727865593,0,0.00256946938712294,0.10394441682796,0.10716100290659,0.143819515603956,-6.93889390390723e-18,0.0646224217414582,0,0,0,0,0,0,0
ETH,0,0,0,0.212133068521971,0,0.0949107625470728,0,0,0.0128628690089046,0,0.10239782038579,0,0.0231644337945293,0.014722249223515,0.0690962519381595,0,0,0,0,0
XRP,0,0,0,0,0,0.016997450995397,0,0,0.0705244867094381,0,0.0237596684677472,0,0.0406221818548768,0.279905142161429,0.0878779508354044,0,0,0,0,0
BCH,0,0,0,0,0.130470020284267,0,0,0.0992614126714278,0.0873232482020655,0,-8.67361737988404e-19,0.373311108705268,0,0,0.0241027989757736,0,0,0,0,0
LTC,0,0,0,0.141668477564157,0,0.0212785671640905,0,0,0,0,0.106190957327695,0,0,0.0368577046498488,0.204108091582112,0,0,0,0,0
ADA,0,0,0,0,0,0,0.11789036705812,0,0.187079248491064,0,0.0724365796556963,0,0.11357881900166,0.0978038003307902,0,0,0,0,0,0
XLM,0,0,0.0819745216006859,0,0,0.429493095181838,0,0,0,0,0,0.0468062706989444,0,0.190820934256448,0.0485757865948601,0,0,0,0,0
NEO,0,0,0,0,0,0.0763573004580647,0.0571430480928299,0,0.109044112360697,0.0951230466275003,0.0444151226297306,0,0,0,0.121237409609657,0,0,0,0,0
EOS,0,0,0,0,0,0.0780587242087282,0.0385003391209734,0.00811220883509619,0,0,0.0806365090741436,0,0.0890508615172076,0.061460759244449,0.285446007442401,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.174549589977659,0.178558807288378,0,0.0753627197426548,0.0849769661613559,0,0.216858931701847,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.149902967067746,0,0.101480661474096,0,0.482509710811009,0,0.000382784042223878,0,0,0,0,0,0
DASH,0,0,0,0.026476764162166,0,0.0971773644674375,0,0.00160025257480652,0,0,0.0950817218715216,0,0.0591712633886834,0.177236287305468,0.0918108416827645,0,0,0,0,0
XEM,0,0,0,0,0.20133431721944,0.255712535815927,0.156178670235869,0.0268188552506179,-1.73472347597681e-18,0,0,0.0872001944119999,0,0.169534876226194,0,0,0,0,0,0
TRX,0,0,0,0.0241274988672826,0,0,0,0.141337913159045,0.0487598590572589,0.380355263159371,0.0116012699234715,0,0.181725715306709,0,2.16840434497101e-19,0,0,0,0,0
ETC,0,0,0,0.0362551345961707,0,0,4.33680868994202e-19,0.212064690333535,0.294199828518688,0,0,0,0.01612048603238,0.188302016018797,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199346638389839
CVIX.Index,0,0,0,0,0,0.0176427782691848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364340229523301
DXY.Curncy,0,0,0.0092114951225713,0,-0.00967454551638629,0,-0.0135174793142997,0,0.0133577498924057,0,0,0,-0.00350961851719102,-0.015553243614368,0.00539192082040485,0,0,0,0,0.0113716892985502
SPX.Index,0,0,0,0,0,0,0,0.0131199134827163,0,0,0,0,0,-0.0136949934401079,0,0,0,0,0,-0.0594594190949147
VIX.Index,0,-0.2733450667576,0,-0.314969358319441,0,0,0,0,0,0,0.19163769690505,0,0.151250515549124,0.434776856187565,-0.188526822587617,-0.319974459799086,0,0,-3.37281492664061,0
