,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,ZEC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00470206091381105,0.0825490878247885,0,0,0.0202646697137041,0,0,0,0.00838100399772869,0,0.013468690279624,0,-0.0421514549400347,0,0,0
ETH,0,0,0,0,0,0.0574204132178077,0.157902485780916,0.0714026584626622,0,0.0602273499230904,0,-0.0204033639545716,-0.0411033107358145,0,0.180350346168225,0,0,0.108407780785613
XRP,0,0,0,0,0,0,0,0.0437885200233758,0,0.419047389311376,-0.0500150024015679,0,-0.012045938453954,0,0,0,0,0
LTC,0.188953875299815,0,4.33680868994202e-19,0,0.0435554558446768,0.00563838976529528,0,0.0112069222449112,0,-0.000521157637517415,0.00777538921084,0,0.00880083003086982,0,0,0,0,0
ETC,0,0,0.10466204401666,0,0,0,0.162205009682625,0,0,0,-0.0353241113705512,0,-0.0430705567539626,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0.168775374217002,0,0,-0.133484097008378,0,-0.104722064944766,0,0,0,0,4.33680868994202e-19
DASH,0,0,0,0,0,0.0688733104100939,0,0,0,0,-0.0496104042839611,0,-0.108255939675959,0,0,0,0,0
XEM,0,0.099193153543552,0.193605007723881,0,0,0.0871493909066697,0.0670375721849185,0,0,-3.46944695195361e-18,0.00607529687016337,0,-0.050338283635217,0,-0.704492522859209,0,0,-0.0199784638540226
DOGE,0,0,0.0758631354390438,0,0,-0.0406662565103104,0,0,0,0.0349714589582903,0.0233856112213244,0,-0.00444628431594652,0,0,0,0,0
XLM,0,0,0.567905151796307,0,0.12966401278943,0.0384120275173809,0,0,0,0,0.0220746094112717,0.128996271513403,-0.0554266901593643,0,0,0,0,0
NEO,0.793347797672523,0,0,0,0.056691898777991,-0.340310800733418,-0.787003708235988,0,0.385778089379182,0,0,0,-0.212598920759366,0,0,0,0,0.26439943226092
DGB,0,0,0,0,-0.132708569725969,-0.0574984289558656,0,0.0283090709997917,0,0.0844737984818723,0,0,-0.0806045964179728,0,0,0,0,-0.0361827596705313
ZEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0607480687230828,0,0,-0.00808376385608048,0,0,-0.248961281282831,0,0.00380034877244058,0.0238207388233459,-0.00468598908425536,0,0,0,0,0.00189262843237524
CVIX.Index,0,0,0,0,0,0,0,-0.0309757529291147,0,0.06718369231415,0.00651406632964635,0,-0.00320557285381242,0,0,0,0,0.102175713321302
DXY.Curncy,0,0,-0.0163866098205275,0,0,-0.00558945467936658,0,0,0,0.0102744933647028,-0.00193903634376494,0.00779902878422869,-0.000229283755296952,0,0,0,0,0.00420977540078964
SPX.Index,0,0,0.00464866095677286,0,0,0,0,0.0133887672866203,0,0,0,0,0,0,0,0,0,-0.068854090369062
VIX.Index,0,0,0.143348187858782,0,-0.128243375343123,0,-0.19298902422119,0.0252755262015643,0,-0.161578578817561,0.0155751090624562,0,-0.0477579627742142,0,0.316304468641487,0,-4.12076080518309,0
