,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,XMR,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.241164291084919,0.0399899116959093,0.0598510906531192,0,0,0.0208754051441545,0.0741230862657748,0,0,0.0410620211508558,0.0732563499497575,0,0,0,0,0,0
ETH,0,0,0,0,0,0.112123111102556,0,0,0,0,0,0,0.166896517601859,0.0678023795247673,0.109785993158448,0,0,0,0,0
XRP,0,0,0,0,0,0,0.133492639969007,0.0745782470648962,0,0,0,0,0.14707180302275,0.10632204561286,0.18129330825047,0,0,0,0,0
BCH,0,0,0,0,0.214132114100125,0.0929147037436015,0,0,0,0.0868275957463129,0.0338542619337222,0.350828244006683,0,0,0.0405666247103381,0,0,0,0,0
LTC,0.0873457087996797,0,0,0.213724407471961,0,0,0,0,0.122240099324652,0,0.0344044515910789,0,0,0.0146964602214291,0.114873114754931,0,0,0,0,0
NEO,0,0.0585833458142078,0,0.105725939572185,0,0,0.0916149220829479,0.110272461487918,0,0,0,0,0.172892641244921,0,0.165878233560227,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.134803549244499,0.0441067161610631,0,0.00675361262999178,0,0.110716333531936,0.125565548494933,0,0,0,0,0,0
XLM,0,0,0.204777298459261,0,0,0.107125844961451,0.289071479315346,0,0.0675107975790632,0.0496717760901395,0,0,0.0179087148237827,0,0,0,0,0,0,0
EOS,0,0,0,0.0493550468863168,0,0,0,0,0,0,0,0,0.133333860504785,0.136967142778063,0.238598208845904,0,0,0,0,0
XMR,0,0,0,0.0366375695758721,0,0.0810719149928953,0,0,0.092394423931795,0,0.0532214636547364,0.13017412975876,0.0712824301824008,0,0.150979985731292,0,0,0,0,0
MIOTA,0,0,0.0997414314694698,0.0631157468442652,0,-8.67361737988404e-19,0,0,0,0.1102898925048,0,0,0.0914531687157889,0.0423352755975247,0.238989087995354,0,0,0,0,0
DASH,0,0,0,0.0328289289746403,0,0,0,0,0.140325833932726,0.256256950231623,0,0,0,0.0937777988111604,0.107950143589622,0,0,0,0,0
XEM,0,0,0.054587156090466,0,0,0.0456321657835573,0,0.168023391433995,0.0303538533914901,0.2103166126664,0.0462234344660241,0,0,0.00979587275797704,0.00610788998848039,0,0,0,0,0
TRX,0,0,0.593315432422794,0.172047359707354,0,0,0,0.101254458860777,0,0,0,0,0.1109680935347,0,0,0,0,0,0,0
ETC,0,0,0,0.0277305254441833,0,0.0858296224327546,0,0,0.238205270836072,0.154647797140924,0,0.122023905516007,0,0.0735170305276479,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0,0,0,-0.0302742820734384,0,0,0.0191541096762939,0,0,0,0,0,0.0199689319160301,-0.0249387665463936,0,0,0,0,0,0.0239807303408663
DXY.Curncy,0,0,0,0,-0.00770815128963997,0,-0.00949889447421409,0,-0.00401017177737456,0,0,0,0,0,0.00629657867434295,0,0,0,0,0.0107408542170269
SPX.Index,0,0,0,0,0,0.00461275684794629,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0551582793569559
VIX.Index,0,0,-0.0254389228435404,0,0.0434120724272117,0,0,-0.00914153267393306,-0.114554583402666,0.165171428264339,0,0,0,0,0,-2.17494487781425,0.415478096959963,0,-2.59782468831746,0
