,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.161577387475072,0,0,0,0.0441026456899296,0,0.0620658289956478,0.149037375530913,0.0646207649250103,0.0332812031146339,0.044780480126734,0,0,0,0,0,0
ETH,0,0,0.0958688473689557,0.148971515966926,0,0.0412968458119623,0.0190764836520022,0,0.154834583700859,0,0.0846717798230023,0,0.0207715600972059,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0819223369700191,0.0227701458717955,0,0,0.174657537193738,0.00110164419950849,0.170942961298965,0,0,0.107982648306433,0,0,0,0,0,0
BCH,0,0,0,0,0.0896516108817272,0.0272544392027987,0,0,0,0.315883095779389,0,0.0849410895783038,-1.0842021724855e-19,0,0,0,0,0,0,0
EOS,0,0,0,0.0415245522637177,0,0,0.0828516996069846,0,0.0969316795584517,0.0884811640688971,0,0.209003515271756,0,0.0465272497606931,0.169661822034411,0,0,0,0,0
LTC,0,0,0,0.135747277004941,0.0512186736851674,0,0,0,0.112794672069577,0,0.0748682419145748,0,0,0.0116283206545779,0.177334339092344,0,0,0,0,0
ADA,0,0,0.275934491011455,0,0.078795274905612,0,0,0.278554978695517,0.0562334371556368,0,0,0,0,0.098799480696556,0,0,0,0,0,0
XLM,0,0,0.183972860739708,0,0,0,0,0,0,0,0.267389054581689,0,0,0.194202525567553,0.0756697294557768,0,0,0,0,0
NEO,0,0,0,0,0,0.0152339212185892,0,0.118267617014806,0,0.120748007863432,0.146520070210589,0,0.011072146775496,0,0.179874165359218,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.0668477039714023,0.219564058282064,0,0.200641052917447,0.0127193722252841,0.0688068894036024,0.0277400505314656,0.0948593361769418,0,0,0,0,0
XMR,0.166090769325222,0,0,0,0.0230453175115739,0.237387224672831,0.00510590379599828,0,0.125544979706874,0.00457904215144002,0,0.086947883746842,0.128177579677085,0,0,0,0,0,0,0
DASH,0,0,0,0,0.000332264483293848,0,0.0644463689030399,0.137717367403586,0.0863549859362378,0,0.0958732247954509,0,0.140466930944488,0.0332796899646198,0,0,0,0,0,0
TRX,0,0,0,0.24998527219587,0,0,0,0,0,0.268009539778738,0.048053190370781,0.154975121730803,0,0.0663634032270357,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.246805737590626,0.200017818178627,0.253576998973689,0,0,0,0.139125358577236,0,0,0,0,0,0,0
ETC,0,0,0,0,0.188249136172148,0,0.0953565350625558,3.46944695195361e-18,0.132822022812698,0.197015265435735,0,0,0.0847360652532422,0.0664406409784934,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.00829747791536959,0,0,0,0,0,0,-0.0209553113647905
CVIX.Index,0,-0.0427735221923676,0,0,-0.0466915118336409,0,0.0618763010604905,0,0,0,-0.0641154988289346,0.0892405227959349,0,0,-0.0285124421066964,0,0,0,0,0.0277034645849111
DXY.Curncy,0,0,0.0185489956061094,-0.0163654288596754,0,-0.0196948446314021,0,-0.030485441066861,0,0,-0.00559431050261879,0.0476747910703538,-0.0120378239908168,-0.00406361534587074,0.0137485432417477,0,0,0,0,0.0064197113345689
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171122248271255,0,0,0,0,0,0,-0.0775766428606762
VIX.Index,0,0,0,0,2.16840434497101e-19,-0.0486996538728478,0,0,0.195450828866595,0,0,0,0.059017143230432,0.0927401793042442,-0.0355759007735414,0,0,0,-3.97169222417409,0
