,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,NEO,MIOTA,ETC,ADA,XLM,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0964552503336315,0,0.0964579693396107,0,0.0688339193920445,0.12503732826126,0.0204710186334384,0,0.0101205455134184,0,0,0,0,0,0,0
ETH,0,0,0,0,0.194482996463376,0,0.047919875684563,0.022745997499282,0.0587752934968181,0.142140299997321,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
XRP,0,0.174554369604488,0,0.0420580910564054,0,0,0.0762157524060006,0.0423715642773604,0.0685084239076595,0.0625510090916139,0,0,0,0,0,0,0,0,0,0.0905326571901083
BCH,0,0,0,0,0.126484945656133,0,0,0.0364050060198386,0.136957355694355,0,0.24892241075538,0,0.0509478166344881,0,0,0,0,0,0,0
LTC,0,0.0757733319102164,0,0,0,0,0.0277014999267525,0,0.0572579404814659,-1.73472347597681e-18,0.702370025157033,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0877845826892334,0,0,0.0754122183972067,0,0.0652543476236451,0.134063023331325,0,0,0,0.138444601020249,0,0,0,0,0,0
XEM,0,0,0,0,0.0294201320176521,0,0,0,0.0466722304960981,0.127091571216117,0,0,0.143303636890053,0.0445585164925177,0.0040097713367813,0,0,0,0,0
XMR,0,0,0.130243923869467,0.0396017973861988,0,0,0,0,0.0804753698784938,0.0657094562656022,0.0586219442073972,0,0.049124186128405,0.192578040360095,0,0,0,0,0,0
NEO,0,0,0,0.0280635359026351,0.0971651091918487,0,0.29256837860778,0,0,0,0,0,0.0997286342797235,0,0.0238808485064426,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.0364563158358549,0,0,0,0,0.0881452869993063,0.332177129585788,0.30402007829318,0,0,0,0,0
ETC,0,0,0,0,0.461359919814355,0,0,0.0226036491702476,0,0.130118658462798,0,0,0.0262108537319125,0.016808160774708,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.0962034395943694,0,0,0.148498932407461,0.145842355940761,0.0891677730631045,0.154798171366152,0.157479562729267,0,0,0.00695891304453659,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.240178454081622,0.0335265683906292,0.0728123512699437,0,0.00514250876974029,0.100479842752519,0,0.0496572152529913,0,0.202314137148738,0,0,0,0,0
EOS,0,0,0,0,0.212335374693865,0,0,0.0270985774883531,0.178707580241855,0.075447747869932,0,0,0.0259809997171264,0.0924937206760997,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0236757645190172,0.00214453526477394,0,0,0,0.00111504054774864,0,0,0,0,0,0,0,0,0,0,-0.0264484786032278
CVIX.Index,0,0,0.0355326440590752,0,0,0,0,0,0,0,0,0.0159870994373149,0,-0.0361773966716638,-0.0141071632106434,0,0,0,0,0.0306919167049479
DXY.Curncy,-0.00637800226429894,0,0,-0.00308185744958715,0,-0.0198697517119736,0,0,0.00251718794507484,0.000210762320489329,0,0,0.00166864246051105,0,0.00921966429863331,0,0,0,0,-0.00547536373225405
SPX.Index,0,0,0,0,0,-0.00478169300875721,0,-1.60449646160659e-05,0.000267475428095354,0,0,0,0.000167937376449208,0,0.000606551781898073,0,0,0,0,-0.0375941117245368
VIX.Index,0,0.234510155449558,0,0,0,-0.257092150688169,0,-0.00951875544966059,-0.0287601924563899,0.0841327882022281,-0.0581676150736341,0.0771982947057075,0.0339281826864317,0,-0.0624261429038295,0,0,0,0,0
