,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.233171967611962,0,0.105472435368802,0,0,0.0837227778981104,0,0,0.00345606522606118,0.0490466482485381,0.0336893006282983,0.0260147417252071,0,0,0,0,0
ETH,0,0,0,0.0582856476055992,0,0.112283103067139,0,0,0,0,0,0,0.123905470364454,0.172070704250835,0.0595215351076383,0,0,0,0,0
XRP,0,0,0,0,0,0,0.133406759045312,0.0746621643937537,0,0,0,0,0.181097245304499,0.147287653980004,0.106373623182917,0,0,0,0,0
BCH,0,0,0,0,0.290982314593942,0.115635137173589,0,0,0,0,0.278992659314212,0.0380708827933927,0.0674196599634474,0.0111633750889614,0,0,0,0,0,0
LTC,0,0,0,0.255704516851191,0,0,0,0,0.0916765112969131,0,0,0,0.138003077515153,0,0.0284024816082993,0,0,0,0,0
NEO,0,0.142631113990035,0,0.115413807978345,0,0,0.0661612530050696,0.112739516522445,0,0,0,0.0191490304505171,0.148811698319237,0.150730727111998,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.113713811252617,0.0668017088728199,0,0,0.0670441448920467,0,0.13511146318281,0.115206202826925,0,0,0,0,0
XLM,0,0,0.18640437512733,0,0,0.0174029611194908,0.32487229784612,0,0.0726743372997096,0,0,0.144626922400621,0,0.0209917852225337,0,0,0,0,0,0
EOS,0,0,0,0.108539018340957,0,0,0.036843595709095,0,0,0,0,0.137825627455312,0.171205085533491,0.0983885765562603,0.0870454426808253,0,0,0,0,0
MIOTA,0,0,0.0671356058651102,0.0620871924202659,0,0.00853143688090566,0,0,0.0561101473888856,0,0,0.0921775373441049,0.235655358910963,0.101502364913745,0.0402468494947545,0,0,0,0,0
DASH,0,0,0,0.119582660956925,0,0,0,0,0.054732956496147,0,0,0.188990706843035,0.119346591962987,0,0.111056322841946,0,0,0,0,0
XMR,0,0,0,0.0508299790568228,0,0.113916797334658,0,0,0.0650460486404306,0.0883586069730405,0.171278143009711,0,0.141809055887233,0.0769840003633357,0.0101948440713555,0,0,0,0,0
ETC,0,0,0.00811457907089222,0.197186723930017,0,0.0447602025273543,0,0,0.165908412750193,0,0,0.181808035961556,0,0,0.106823595274228,0,0,0,0,0
XEM,0,0,0.0376911577969479,0.021221369024923,0,0.0377570318857035,0.0330339459990185,0.188203904023728,0.0161001191775441,0,0,0.205053648590766,0,0,0.0153702702291609,0,0,0,0,0
TRX,0.248378805553654,0,0.306353268458802,0,0,-0.128236351439683,0,0,0,0,0.309646051456817,0,0,0.31503878659042,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0.000684570248578017,0,0,0,0,0,0,0,-0.0432166175663014
CVIX.Index,0,0,0.0141811645962403,-0.037010952727795,0,0,0.0127518752976718,0,0,0,0,0,0,0.0218993128583158,-0.0240696964148332,0,0,0,0,0.0448844494437762
DXY.Curncy,0,0,0,0,0,0,-0.00918730692885616,0,-0.00493904564888992,0,0,0.00436069979165567,0,0,0,0,0,0,0,0.00728191962291392
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651229825132
VIX.Index,0,0,-0.0389612711260531,0,0,0,0,0,-0.0988583627609237,0,0.0192348191756683,0.215574002954687,0,-0.0455912841680104,-0.0115597140464587,-1.97178337812044,0.519365675375964,0,-0.984435393389906,0
