,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.104083597312616,0.0296006423350219,0,0.0122880532531769,0.0815224916877795,0,0.0197200514056214,0,0,0,0.0908825748497159,0,0,0,0,0
ETH,0,0,0,0.0660625974552346,0,0,0.00321526723038032,0,0.0902044319128115,0.0753535857836231,0,0.1275108030962,0,0.0712575454115448,0.123679178956447,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0.074718820198797,0,0.127981744043283,0,0,0,0,0,0
XRP,0,0.14487021722159,0,0,0,0,0,0,0.102466792235325,0,0,0,0.0747849166283688,0,0.0537711125627349,0,0,0,0,0
LTC,0,0.0643133560236142,0,0,0,0,0,0.0368191492577135,0.00669027372261326,0.138682816684057,0,0,0,0.165416349516112,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0534111814784378,0,0.0809669555420475,0,0.0174575726355544,0,0.0329431738845461,0.130549546319092,0.0620219043873869,0,0,0,0,0
XEM,0,0,0,0,0,0.0958927823682588,0,0,0.103929221635989,0,0,0,0.0536562501491094,0,0.256735598945141,0,0,0,0,0
XMR,0,0,0.0169596546773823,0.165300158020224,0,0,0,0,0.0978114714408666,0,0,0.0843843983950516,0.126023801412812,0.107874178530364,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.106263159012955,0.0312052303416564,0,0,0.106147280124092,0.380592835889911,0,0.261970305965754,1.73472347597681e-18,0,0,0,0,0
ETC,0,0.169858723984842,0.00266556550037634,0,0,0,0,0.0247314810335272,0,0,0,0,0,0.130627924540181,0.0412826335839798,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75270197620795,0,0,0,0,0,-0.0588904856695401
ZEC,0,0.0310190431618992,0,0,0,0,0,0.0951729556372011,0.147825859314844,0,0,0,0.0701952083518025,0.195621736916317,0.0224798439088679,0,0,0,0,0
XLM,0,0,0,0.208012937275018,0,0,0.0581718556092064,0.303181744476621,0,0,0,0.050578198480465,0,0.0959921415002232,0.102788806994399,0,0,0,0,0
EOS,0,0,0,0,0.0222805606538186,0,0,0,0.153916212967807,0.0804812916635774,0.0781242980750221,0.0965561961685958,0.166470261050825,0,0.0529723217385641,0,0,0,0,0
BAT,0,0.465972548473216,0,0,0,0,0.0127629225575958,0,0,0,0.0467208608459718,0.103491853185066,0.192545139132438,0.0488609681158648,0,0,0,0,0,0
BV010082.Index,0,0,-0.0127553055816519,0,0.00992268937854544,-0.0131155325231457,0.0100913202507361,0.0309161977567741,-0.0112250010941991,0,0,0.0289937294232655,-0.0618686640908408,0,0.0277128380673541,0,0,0,0,-0.0462837372765766
CVIX.Index,0,0,0,0.0138118237159716,0,0,0,0,0.00408412995346519,0.0194469518609464,0,0,-0.0235178356324494,0,0,0,0,0,0,0.0194795232761193
DXY.Curncy,0,0,0.000182823625376028,0.00820332085778705,0.00602154208030312,-0.00977848101572098,-0.000834877763252348,0,0.00212687174800084,0.00577624329824655,0.00518105740886901,0,-0.0177244969624655,0,0,0,-0.0293802145360153,0,0,0
SPX.Index,0,0,0,0,0,-0.00228188263208517,0,-0.00230845111649293,0,0,0.000875494627763306,0,0,0,0,0,0,0,0,-0.0381845741127794
VIX.Index,0,0,0,0,0,-0.253197724192326,0.0404082889690648,0,0.135595278631475,0,-0.0286571978085787,-0.0201394959342997,0,0,0.0171230560810209,0,0,0,0,0
