,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.00377555276662725,0.00497131322166333,0,0.123513067113794,0.0589150167663882,0.196292551386712,0.00590137906812249,0,0.0719658944169267,0.0205092449060623,0,0,0,0,0,0
ETH,0,0,0,0.0064203971871461,0,0.162040016754273,0,0,0,0,0,0.167965336034687,0.133908644067832,0.0689608489932213,0,0,0,0,0,0
XRP,0,0.0890761652794926,0,0,0,0.056512118451492,0,0.156173345727126,0,0.0591836352668416,0.0672748960131699,0,0.076226964324943,0.0119689312296497,0.210934458302697,0,0,0,0,0
BCH,0,0,0,0,0.0263600967966248,0,0,0,0,0.299357478121455,0,0.236515685438871,-2.16840434497101e-19,0,0,0,0,0,0,0
EOS,0,0,0.148946158838926,0.205322338069499,0,0.0296832406342811,0,0,0,0,0.159368904737809,0,0,0.0351758322446281,0.0158837911057339,0,0,0,0,0
ADA,0,0.272368132470697,0,0,0,0,0,0.318250043592215,0,0.0351033723545351,0.161070943315846,0,0,0.017903086174963,0,0,0,0,0,0
LTC,0,0,0,0.0515538013327083,0,0.0446653101817,0,0.108031511446314,0,0,0.120937684494457,0.239680818833687,0,0,0,0,0,0,0,0
XLM,0,0,0.192425374005576,0.0302050979477906,0,0.156193444236125,0,0,0,0.0919130722078369,0.223868126751752,0,0,0.142814330321346,0.050684620451027,0,0,0,0,0
TRX,0,0,0,0.441455622911484,0,0.0174475545576803,0,0,0,0.104387583105475,0,0.226486186657631,0,0.046277008723306,0,0,0,0,0,0
MIOTA,0,0,0,0.279878663264233,0,0.0824322097565671,0,0,0.050980884229284,0,0.0625576344805036,0.0957898738381573,0.110827180248931,0,0.0968441065641348,0,0,0,0,0
NEO,0,0,0,0,0.0342536860548278,0.169742427385463,0,0.209534289831306,0,0.141773302343123,0,0,0.0954017483191606,0,0.0828436339604398,0,0,0,0,0
DASH,0,0,0,0.134676283332278,0,0,0,0.227059865517987,0.0950897658732469,0.108831509845776,0.0287434183451837,0,0.0290894770065705,0,0,0,0,0,0,0
XMR,0,0.154173584998791,0.151411190739603,0.118556178706302,2.28315595264625e-05,0,0.0720266825477796,-1.73472347597681e-18,3.46944695195361e-18,0.152491646039808,0,0.188002125589107,0,0,0,0,0,0,0,0
XEM,0,0.0859598376836314,0,0.0434874298475196,0,0.0915781079876319,0,0.411799058244426,0.12532401712635,0.0427935731745187,0.0219640243591882,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0692032482383842,0,0.169716261356771,0.0694734216561766,0,0.0434701917091224,0.0405654765055988,0.31144742071311,0,0,0,0.0360759560616121,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238290035459676
CVIX.Index,0,0,0,0,-0.0141828678573116,0,0,0,-0.0148117841169345,0.0158217681487744,0,0.0362668279999163,-0.0256207288812339,0,0,0,0,0,0,0.0196300549358901
DXY.Curncy,0,0.0314448970261644,0,0,0.00561013982489888,0,0,-0.0206315673974401,-0.00295977873416163,0,0,0,-0.0101406627904497,0,0.00966025792570806,0,0.0140188718509457,0,0,-0.00234955874227025
SPX.Index,0,0,0,0,0,-0.00127059960585785,0,0,0,-0.00619614390296211,0,0,0,0,0,0,0,0,0,-0.10958652291165
VIX.Index,0,0,0,0,0,-0.0291427586677285,0,0,-0.0108574761767174,-0.0393350059440838,0.0964846349482256,0,0,0,0,0,0,0,-4.87450784604181,0
