,BTC,ETH,ETC,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0664792879910829,0.00760133224539912,0,0.486557347658751,0,0.0372415135305955,0,0.132946155667206,0,0.00916082161963948,0,0,0,0,0
ETH,0.151313357869598,0,-0.133988574529426,0,0,0,0.0252151642613727,0,0,0,0.245174822616584,0,-0.425302222726583,0,0,0.0662166598374044
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.0186842627324931,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.583019402623663,0,-0.00388361829510367,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128297088288265
DASH,0,0.0349584263347978,-0.00180547092543857,0,2.71050543121376e-20,0,-0.0262897521125243,0,0.0796581578684638,0.0405621394426371,0.107047132479674,0,0,0,0,-0.0116525550666139
XEM,1.31343954509324,0,0.0190430325682378,0,0,0,0,0,0,0.333558775041602,0.120178641816449,0,0.208628308821768,0,0,0.103297041271662
DOGE,0.389787468241792,0.0564048679966663,0.00204048785608921,0,0,0,0,0,0.00935409264573629,0.00322016052860732,0.0152524936316981,0,0,0,0,0
XMR,0.574324472672843,0,-0.00932965197386808,0,0,0,-0.0170691842027652,0,0,0,0.0446625961516647,0,0,0,0,-0.0214271543622653
XLM,0,0,-0.0466859282977451,0,0.277314488950873,0,0.131382869824213,0,0,0,0,0,0,0,0,0.0867747687413492
DGB,0,0.251011737144915,1.35525271560688e-20,0,0,0,0.0825803077334851,0,0,0,0,0,0,0,0,0
BV010082.Index,-0.0197252324345757,-0.0173855713764671,0.00779487183431823,0,-0.0226260547892422,0,0,-0.0434012403128768,0,0.0267182044254986,0,0,0,0,0,-0.0498763347855796
CVIX.Index,0,-0.10863832786672,-0.0146405177967606,0.0867009051218172,0,0,0,0,0,-0.0567496477181512,0.071668944621269,0,0,0,0,0.199938775935389
DXY.Curncy,0,0,-0.000478788388035463,0,0,0,0,0,-0.0141338791454632,0,-0.00313217582727598,0,0.00743591054923343,0,0,0.000439219188260684
SPX.Index,0,0.00432818584588384,0,0,-0.00127550777023005,0,0,0,-0.000895241964228281,0.0053206528021871,-0.0152312897403197,0.0331913974145276,0,0,0,-0.0637984865016594
VIX.Index,0,0.111494796614368,0.0938104596602845,0,-0.147518696724753,0.0602675497761144,-0.144869269691132,-0.0684014713613006,0,0.357868293917463,0.0184769698163148,0,0.748959603905647,0,-2.28671678801333,0
