,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.094850208568655,0.011105063722296,0,0.0894181089212488,0,0.0834246809123037,0,0,0,0,0.142443756163385,0,0,0,0,0
ETH,0.205385347947236,0,0.124867610530254,0.456753390118432,-0.0928419558522448,0.149787183545119,0,0,0,0,0,0,0,0,0,0,0,0.01243410496058
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.43478609112738,0.104517535652583,0,0,-0.0492752804571948,0.242501816326456,0,0.0220487136533386,0,0,0,-0.0640382504930305,0,0,0,0,-0.117342964854164
XRP,0,0,0,0,0,0,0,0,0,0.225184115669008,0,-0.0174572818337807,0,0,0,0,0,0
ETC,0.0916840503005318,0.378951361693668,0.0278881185973994,0,0,0,0,-0.0683131661173701,0.0933210222507759,0,0,0,0,0,0,0,0,0
LTC,0,1.73472347597681e-18,0,0.027359017320601,0,0.099226140555476,0,-0.0197461701238939,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.130813284413175,0,0,0,0,0,0,0,0,0
ZEC,0,0,0.29643324748197,0,0,0.097319017488274,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0.260148707550534,0,0,0.0440241398175572,0.154191808267914,0.0242496785477468,0,-0.0446844414058157,0.0393472701976933,0,0.0160789832306105,0,0,0,0.149426438998647,0,0,0
XLM,0,0,-0.0355545480530722,0,0,0.167038381345402,0.245413443585008,0.0333954428330313,-0.0355392684105067,0.0548395462012953,0,0,0.115460154712273,0,0,0,0,-0.133991466419532
NEO,0,-0.116211884619599,0.137839082088969,0,0,0.122585294099343,-0.400728076123821,0.0239929705604588,0.182787011297654,0,0.0921451436348475,0,0.0528840700381991,0,0,0,0,-0.0834873085489941
DGB,0.38150346036874,0.014856916494956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0.128263131060999,0,0.0298278353894516,0,0.0397688261225908,-0.0943035814612862,0,0,-0.0469299437115039,0.0516949334031569,0.0950660707215727,0,-0.0463170191857924,0,0.136736015857308,0,0,0.0474054296133993
CVIX.Index,0,0,0,0,0,0,0,-0.0357802052826033,0,0,0,-0.0146218060905127,0.0699022690917992,0,0,0,0,0.11310178736547
DXY.Curncy,0.0196814498254848,0,0,0,0,0,0,-0.00842250164345905,0,0.0139005058450192,0.00456230899992732,0,-0.00432779437937143,0.0866244723425325,0.0263635076324015,0,0,0
SPX.Index,0,0.00362284450590759,0.00229574832014933,0,0,0,0,0,0.00113930442727188,0,0,0,0,0,0,0,0,-0.0404315251578791
VIX.Index,0,-0.0103146055630368,-0.0488055743012446,-0.188274384301335,0,0,0,-0.0180367689054043,0,0.148915827070198,0,0,0,0,0.107577596864067,0,0,0
