,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0639058617337936,0.152496683327769,0,0,0,0,0.21811007715479,0,0,0,0,0,0.0647392912310616,0,0,0,0,0
ETH,0,0,0,0,0,0.0671096552227408,0.223637449343386,0.0541070231408272,0.115285068011715,0.0173155035333926,0,0,0,0,0.0752754410249216,0,0,0,0,0
XRP,0,0,0,0,0.114099270439394,0,0,0.00607149334266362,0,0.0227454077563836,0,0,0,0.332638451687238,0,0,0,0,0,0
LTC,0,0,0,0,0.0997764865360782,0,0.0300213524710879,0,0.0259477521405673,0.0243630833244803,0.124703042378774,0,0.10848298627346,0,0,0,0,0,0,0
XEM,0,0,0,0.103710306756673,0,0,0,0,0.0515148750453538,0.117013723414011,0.0178470694133513,0,0.0611789097111198,0.210625595085637,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0270641476942366,0,0.188287486264264,0.062906377751457,0.0855137225425636,0,0,0,0.0887408365057679,0,0,0,0,0
ETC,0,0.302763655815795,0,0.121040594397226,0,0,0,0,0,0.016274918470763,0.0183567960683082,0,0,0,0,0,0,0,0,0
MIOTA,0,0.213374292778066,0,0,0.156344440906663,0,0,0,0,0,0.0665893264606646,0,0.0686865096582001,0,0.0843023755164591,0,0,0,0,0
XMR,0,0,0,0,0.0622460712288258,0.340452566096597,0,0,0,0.0362377703903157,0,0,0,0.241053416382828,0.0398409414107013,0,0,0,0,0
EOS,0,0.202213172722183,0,0,0.210309780572483,0,0.0489533248140242,0.221573747476791,0,0,0.010878088334543,0.128046829634399,0,0,0.0436060482856438,0,0,0,0,0
NEO,0,0,0,0.0640329704803315,0,0.132900158585988,0,0,0,0.0294394698092275,0,0.530425354182687,0,0,0.0318904526609586,0,0,0,0,0
ZEC,0,0.167281062053225,0,0,0,0,0,0.0740655077322695,0.270041969758604,0.0264793342217595,0.0197156021158834,0,0.0328671986001893,0.0395478416214459,0,0,0,0,0,0
DOGE,0,0,0,0.0499131488943383,0.447316729642072,0,0.177694044758865,0,0.0135967038868546,0,0.00525869324616221,0,0,0,0.0814433467753656,0,0,0,0,0
XLM,0,0,0.403546444222294,0,0.032895761533881,0,0,0,0.499770142583083,0,0.0168018013285877,0,0,0,0.0541488360663397,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.0637907466600743,0.0768518176220384,0.0499738219278686,0,0.237432967358781,0.521240502565533,0,0,0,0,0,0
BV010082.Index,0,0.00954766331952164,0,0,0,0,-0.0227771203155639,0,0,0,-0.00429942220137125,0.0336311451621636,0.00700484837025568,0,0,0,0,0,0,0
CVIX.Index,0,0,0,-0.0285429085015028,0,0,0,-0.000998845169362013,0,0.00927133537110036,0.00842732921891659,0,0.0373795274036818,-0.0281275726598337,-0.00438650334617722,0,0,0,0,0
DXY.Curncy,0,0.00757230218424238,0,0,0,2.16840434497101e-19,-0.0079016503596218,0,0.0195280219471102,0,0.00189945962926233,0.00272334747456487,-0.0022981183693874,-0.00924326081359334,-0.00681483518684299,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.00306321386100779,0,0,0,-0.00139845104720594,0,0,0,0.000295967068480521,0,0,0,0,-0.0356412560835005
VIX.Index,0.0599098909621052,0.115597123527531,0,0,0,0,0,-0.0584509153078936,0,0.0122834216987464,-0.0255532536985544,0,0,-0.0152094351823548,0,0,0,0,0,0
