,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,NEO,ETC,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0300735131000321,0,0.0848094332440121,8.67361737988404e-19,0,0.157611329222741,0,0.0955155070743784,0,0,0.0841570917308965,0,0,0,0,0,0,0,0
ETH,0,0,0.00629999476182036,0,0.277719672721428,0,0,0.0199939981618824,0,0,0.0919952137991236,0.0614759800097433,0.0740745959111347,0.106769808733481,0,0,0,0,0,0
XRP,0,0,0,0,0.334650761596156,0,0,0,0,0,0.207438648983651,0,0,0,0,0,0,0,0,0
BCH,0,0,0.0775598750425223,0,0.231939725583704,0,0,0.145166203590253,0,0.00556966085286246,0.0485248502495147,0,0,0,0,0,0,0,0,0
EOS,0,0.21025447364176,0.194642693504138,0,0,0,0,0,0,0,0.00258801611745554,0.122422589490097,0.222667662066393,0,0,0,0,0,0,0
XLM,0,0,0,0,0.0449391790421089,0,0,0.0646826151767376,0.0574636306314982,0,0.0713181666287563,0,0.211145727467133,0,0,0,0,0,0,0
LTC,0,0.140188392283586,0,0.258245692312014,0.145497564339276,0,0,-1.73472347597681e-18,0,0.033632170514209,0.14009818054937,0,0,0,0,0,0,0,0,0
ADA,0,0,0.284478347223289,0.0917443480952946,0.0201455350796395,0.0608820062790199,0,0,0,0,0,0.329259341533349,0.07553149860238,0,0,0,0,0,0,0
XMR,0,0.204550061972182,0,0.0745084553255554,0.103974046919144,0,0,0.106958224534502,0,0.135608012939101,0.059364730745235,0,0.0718140872620348,0,0,0,0,0,0,0
DASH,0,0,0,0,0.162676607371898,0,0,0,0,0,0.115385105927869,0,0.276904039551699,0,0,0,0,0,0,0
MIOTA,0,0,0.0976293617527289,0,0,0,0,0,0,0.0932299480948068,0,0.23261900148847,0.500684742990728,0,0,0,0,0,0,0
TRX,0,0,0,0,0.161802562636343,0,0,0,0,0,0.155819927596906,0,0.277341906826474,0,0,0,0,0,0,0
NEO,0,0,0.0157460997338982,0,0,0,0,0,0.0953916146595328,0.0869334825952959,0.314045650966871,0.271870110013684,0,0,0,0,0,0,0,0
ETC,0,0.170528021436848,0,0,0.250396471608747,0,0,0,0,0,0.162913205128234,0,0,0,0.0710455772861997,0,0,0,0,0
XTZ,0,0.108258593400136,0,0,0,0,0,0.0595973684692114,0.0471386549863228,0,0,0.280486294916365,0.0484987466359126,0.0408857904210554,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037852894363149
CVIX.Index,0,-0.119451234417541,1.73472347597681e-18,0,0,-1.0842021724855e-19,0,0.0237782356933852,0,0,0.0070399194162252,0,0.0559133729368686,0.0542034893613055,-0.00507246808699202,0,0,0,0,0.0975105652950839
DXY.Curncy,0.00386459553640258,-0.0212205577073723,0,0.0153586539542675,0,0,0,0,0,0.0112014469589443,-0.0116350706541966,0,0.00297722286711661,0.00255618600714708,0,0,0.0822038184155723,0,0,-0.00869614788087692
SPX.Index,0,0,-0.0074790120246733,0,0,0,0,0,0.00242039458541341,0,0,0,0,0,0,0,0,0,0,-0.0469852345231455
VIX.Index,0,0,-0.175082355718404,0,0.0947363835299136,-0.00852981395313558,0,0,-0.0668528073468135,-4.33680868994202e-19,0.312472250059022,0,-0.291926817976101,0.0148441696903896,-0.124356291841949,-0.0466484003214253,0.716956189415639,0,-2.77730679663472,0
