,BTC,ETH,XRP,BCH,LTC,ADA,EOS,NEO,XLM,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.121477831336951,0,0,0.0977463669556471,0,0,0.058966242555495,0.126174531371518,0.0617968008956641,0.0292223241374847,0.0954172086614558,0,0,0,0,0,0
ETH,0,0,0,0.177652662437636,0,0,0.0725079283278852,0,0,0,0.111375519493399,0,0,0.0704571453108519,0.0684127501359605,0,0,0,0,0
XRP,0,0,0,-3.46944695195361e-18,0,0.0790305527815374,0.0636756729930823,1.73472347597681e-18,0,0,0.00998457793500928,0,0.0339155738252031,0.216364689708914,0.101455943940957,0,0,0,0,0
BCH,0,0,0,0,0.0708933908569316,0,0.0278290013292365,0.085321898784461,0,0,0,0.394212296894883,0.0241784449164453,0.0316708706798431,0.0573870669793813,0,0,0,0,0
LTC,0,0,0,0.0982611190882795,0,0.0374797653452201,0.00977685921834915,0.00292978920555247,0,0,0.113141282180343,0,0.0341618087838092,0.0731257008178345,0.240523368049664,0,0,0,0,0
ADA,0,0,0,0,0,0,0.329759000154332,0.0398339587644571,0.0936952658591448,0,0.0608734854944016,0,0.0240858676961642,0.0518397284464214,0,0,0,0,0,0
EOS,0,0,0,0,0,0.0934080757865332,0,0.0532876289593646,0,0,0.0932102477717612,0,0.108733065962063,0.0166461047119647,0.289550426182653,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0714088450768368,0,0.0851351731600066,0.161862546382572,0.0415757124246598,0,0,0,0.143227365204327,0,0,0,0,0
XLM,0,0,0.093441751629867,0,0,0.398858948728375,0,0,0,0,0,0,0,0.100465533422859,0.152038439478113,0,0,0,0,0
MIOTA,0,0,0,0.203875204193364,0,0,0,0.180463271037429,0,0,0.100983371144525,0.189876329036458,0.0259838739095485,0.114986855340911,0,0,0,0,0,0
XMR,0,0,0,0,0,0,0.0258932070814208,0.134491266749468,0,0.0929622190002949,0,0.487737495571512,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0543432244800502,0,0.017725531339977,0.077014584283978,0.0321171912379013,0,0,0.210018450395505,0,0.066204498327439,0.0689942004753991,0.0751930329088167,0,0,0,0,0
XEM,0,0,0,0,0,0.180246833200086,0,0.0767508310002716,0.109882205520913,0,0,0,0,0.324923447360458,0.0790048936807848,0,0,0,0,0
TRX,0,0,0,0.128554334118077,0,0,0.0224232847496458,0.254880827175811,0,0.24508284056222,0.0089639246603867,0,0.169660347868662,0,0,0,0,0,0,0
ETC,0,0,0,0.0928004645045158,0,0,0.235423859345139,0.212570542713005,0,4.33680868994202e-19,0,0,0.0360226625245385,0.198917024173006,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199346638389839
CVIX.Index,0,0,0,0,0.0257479443501904,0.0158094743596553,0,0,0,0.0193990998608534,-0.0389240299358901,0,0,0,0,0,0,0,0,0.0355720882757019
DXY.Curncy,0,0,0.00662705080190217,0,-0.0103806634347305,0,0.00868963512929323,0,-0.0146219103540478,0,-1.35525271560688e-20,0,-0.00714395426826196,-0.00265841214886865,0.00563383473174952,0,0,0,0,0.0105101133644094
SPX.Index,0,0,0,0,0,0,0,0.0167204255563195,0,0,0,0,0,-0.0263618372141222,0,0,0,0,0,-0.0618128513568468
VIX.Index,0,0,0,-0.433603685970454,0,0,-0.0484179913260805,0.0572880467765388,0,0,0.136667907302107,0,0.0494973270220229,0.434950377292647,-0.0877366550621795,0,0,0,-2.94482845274704,0
