,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0799235411256736,0.023260032938769,0,0.0144810847815119,0.100331210870167,0,0.0166355680753102,0,0,0,0.09038055578457,0,0,0,0,0
ETH,0,0,0.0146745837930363,0.0904898744838907,0,0,0,0,0.113193956486228,0.0673127541519681,0,0.118088321953089,0.112251061497574,0,0.141247098598793,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0.132778829082227,0.060867104292464,0,0,0,0,0,0,0
XRP,0,0.120405134158058,0.00447638045158546,0,0,0,0,0,0.0506125691087718,0,0,0,0.0108934279495466,0.0999389604604364,0.0691754731143402,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0648206759098397,0.114626594857434,0.249242528536011,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0196610953167976,0,0,0,0.0225378074485495,0,0.0722873195608543,0,0,0.147376484390639,0.121637981157394,0,0.0516880918952835,0,0,0,0,0
XEM,0,0,0,0,0,0.117887134259268,0,0,0.0181251602532102,0,0,-1.73472347597681e-18,0,0.115898273476237,0.243871488186265,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0.0555587511432454,0,0,0,0.133957602263129,0.296311342746471,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.083204910421593,0.0151242398609929,0,0,0.123130750200982,0.314454345241891,0.305872758805876,0,0,0,0,0,0,0
ETC,0,0.231397724249717,0,0,0.175187164556799,0,0,0,0.0150636083661057,0,0,0,0.125532995129033,0,0.0649685503460043,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0888230559419266,0,0,0,0,0,0.715517066470156,0,0,0,0,0,0,-0.0522858940743025
ZEC,0,0.252769828857046,0,0,0,0,0,0.0040134778143886,0.0314606195281625,0,0,0,0.205743650773753,0.0770901634933925,0.0118956487773132,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.108740364068396,0.0984448622131943,0.065001984070825,0.0971422171799423,0,0.10553762720517,0.0664505659134602,0,0,0,0,0
XLM,0,0,0,0.358838938041308,0,0,0,0.252655380423238,0,0,0,0.0856728733152123,0.0541467560620191,0,0.116519375250661,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0.0516688247226136,0.147565811221647,0,0.0814793516764971,0.130897511728552,0.191792039515077,0,0,0,0,0,0
BV010082.Index,0,0,-0.00073042244824727,0,0.024363760506143,0,0,0.00523409074371313,-0.00789361081832245,-0.0182325752510432,0,0.0365035328017976,0.00837397408863336,-0.0385377481173752,0.0232897933978251,0,0,0,0,-0.0417409741740702
CVIX.Index,0,0,0,0.0271674867084119,0,0,0,0,0.00126839235293325,0.0186245702779098,0,-0.0490377843793715,0,-0.0209713742338352,0.0194726707317789,0,0,0,0,0.0481734917950758
DXY.Curncy,0,0,0,0.00596085963375789,0.0126698769993356,-0.00413532138469488,0,0,0.0073421608162986,0,0.00357601951240342,0,0,-0.0163537856557893,-0.00218267936678795,0,-0.0243093034885144,0,0,-0.00719093801152867
SPX.Index,0,0,0,0,0,-0.0021569216134077,0,-0.00239934982669141,0,0,0.000896376715088305,0,0,0,0,0,0,0,0,-0.0381995067660663
VIX.Index,0,0.194479737804806,0,-0.0632319157223835,0,-0.22212867779579,0,0,0.143235041225982,-0.0733813594789104,-0.0399091151807474,0,-0.0219030928226422,0,0,0,0.623022625980435,0,0,0
