,BTC,ETH,XRP,BCH,XEM,LTC,MIOTA,NEO,DASH,ETC,XMR,EOS,ZEC,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0831577852878171,0.0175834600506103,0.00676472305746967,0.0394085358177542,0.0745691382754022,0,0,0.0362662613566205,0,0,0.0231925482072223,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0638960761817841,0,0.213221566587414,0.056696422409242,0,0.0156314760689645,0.00501961848421613,0,0.154055342784547,0,0,0,0,0
XRP,0,0,0,0,0.0681048769068481,0,0.120758452401785,0,0.0771149182320654,0,0,0.0443536586923802,0,0.0525446040183957,0.0541650942997467,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.00187506992673322,0,0,0,0.0457653216273507,0.04090226859141,0,0,0.0563488036714407,0.127857183115043,0,0.109046432905465,0.118091014471594,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0619520295550577,0,0.188564159966132,0.128758982609233,0.0838389954795196,0,0,0,0,0,0,0,0
MIOTA,0,0.313058997630105,0,0,0.188176215108757,0,0,0.07519216740324,0,0,0,0,0,0.0814285318591001,0,0,0,0,0,0
NEO,0,0,0,0,0.0548064156821886,0,0,0,0.176479263847751,0,6.93889390390723e-18,0.049395961710961,0.105682557968413,0.146365342635834,0.167300672466387,0,0,0,0,0
DASH,0,0,0,0,0,0,0.00624326441863619,0.0820172906601077,0,0,0.179563032461128,0.0143245106872369,0,0.0900980802692258,0.00943092605287611,0,0,0,0,0
ETC,0,0.0291950481354849,0,0,0,0.0844739167087874,0,0.0259262274274536,0,0,0.126336179341732,0.0166132776280184,0,0,0.0209763701570506,0,0,0,0,0
XMR,0,0,0,0,0.0521315413699348,0,0,0,0.29940666383828,0,0,0.0352675809012182,0,0.256109287257618,0.0986945144204545,0,0,0,0,0
EOS,0,0.139809883868016,0,0,0,0,0.180825349298296,0.0349274801124952,0,0,0,0,0.18257800623833,0.1248043849723,0.0152310838307166,0,0,0,0,0
ZEC,0,0.168874670750592,0,0,0,0,0.0829277379913479,0.0124495707595729,0,0,0.295225042741978,0.0444792898066928,0,0.0543746796646287,0,0,0,0,0,0
XLM,0,0,0.208130881015145,0,0.00213164451140123,0,0.041285395712884,0.0302715295248378,0,0,0.478085748998578,0.0729991075135971,0,0,0.0614439554908119,0,0,0,0,0
BAT,0,0.284294789321945,0,0,0.0620786250408384,0,0.104853261091857,0,0,0,0,-0.0225610176451651,0,0.198437949284702,0,0,0,0,0,0
BV010082.Index,0,0.019668070748075,0,0.0115602425369048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,-0.0210074125380687,0,0.0084432267601526,0,0,0,0.00635978253265808,0,-0.0209531307300504,0,0,0,0,0,0
DXY.Curncy,0.0149319756750593,0,0,0,0,0,0,0,0,0,0,0.00215474667864585,0.00533892525748525,-0.0171225444042759,0,0,0,0,0,-0.003412485649825
SPX.Index,0,0,0,0,0,0,0,0,0,-0.0029514538778939,0,0,0,-0.00111141880962924,0,0,0,0,0,-0.0386245464359181
VIX.Index,0,0.0248564153022086,-0.112974513018094,0,0,0,0,0,0.119538966758884,0,0,0.0198237681102482,0,-0.114002020784634,0.0406017043854262,0,0,0,0,0
