,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0384831468762306,0,0,0,0.0438148054699769,0,0,0,0,0.0765264331912467,0,0,0,0,0
ETH,0,0,-0.00285944524282254,0,0.0238710377707518,0.0154875240521976,0.0689131332649477,0,0,0,0,0,0.0755667857969942,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.452383252278126,0,0,0,0,0,0,0,0
XEM,0,-0.0153241606817321,-0.119565574703799,0,-0.233491985311654,0,0,0.14404334770694,0.103720681395714,0,0.15403918072932,-0.0141324866895671,0.193915669785936,0,0,0,0,0
ETC,0,0.202460185485252,-0.0139895728737442,0,0,0.0459420966527162,0.0537366447525765,0,0.0324509490562105,0,0,-0.0753659794383278,0.172123416644007,0,0,0,0,0.0493347373447131
LTC,0,0,0,0,0,0,0,0,0,0.00930540007445341,0.0993076306013961,0,0.156411327749612,0,0,0,0,0
DASH,0.26873654114212,0.162438801957548,-0.0888172694458253,0.0510370697306355,0,0,0,0.220927868259846,0.309087429977216,0.0612465370912831,-0.0565040403715677,0.0160281544156606,0,0,0,0,0,0
XMR,0,0.0585460523395417,-0.00789007752240009,0.0764305064138245,-0.0478759988220784,0.0242002793472907,0.280587404171415,0,0,0.0625875896349101,0,-0.0030857142066778,0,0,0,0,0,0
ZEC,0,0,0,0.0390189478887893,0,-0.0370394421643254,0.178070244724049,0,0,0,0.136555095308422,0.0115975012869545,0.019164593726941,0,0,0,0,0
XLM,0,0,0.430095403264445,3.46944695195361e-18,0,0.151109914145085,0,0.151407812995624,0,0,0.0402273116274143,0.0717084241514299,0.0465108530423126,0,0,0,0,0
DOGE,0,0,0.103000770429141,0,0,0.186886796935091,0,0,0,0.146822699639929,0,0,0.106621926586452,0,0,0,0,0
DGB,0,0,-0.0764488450950345,0,-0.0570318787777281,-0.0921714047241899,0,0.292292159348382,0,0.344123888451067,0,0,0.0535958709118314,0,0,0,0,0
NEO,0,0.0172397578189149,0,0.022151804491133,0.117471055697672,0,0.133100091972299,0,0.162558405403013,0,0.0853353852382196,0.0419541290878713,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0.00747253196484949,-0.00127777467526953,0.00814611861340182,0.0191549424663647,0,0,0,0,-0.071583110387408
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00613659429098295,0,-0.0116114545816409,0.00631328431584852,0,0,-0.00198780649284524,0,0.00193281426988165,-0.000906535088656056,-0.00532666102140361,0,0,0,0,0,0.00207099647139905
SPX.Index,0,0,0.000508885808533607,-0.00213712971837688,0,0,0,0,0,0.000287423200258729,0,0.00419767926038494,0,0,0,0,0,-0.0256600987162005
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
