,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.026915035706978,0.00711360119599723,0,0.0118340983732532,0.109259364074347,0.124533440257104,0.0108566202116502,0.0230994544904514,0.11269730621555,0.0122998594376438,0.0436145398884484,0,0,0,0,0,0
ETH,0,0,0.111783627784838,0,0,0.157893008651906,0,0,0.0623212170288141,0.17931304822108,0,0.0883656473435091,0.0121385681626973,0.0263304734367784,0,0,0,0,0,0
XRP,0,0,0,0.0149827063259799,0.0190190483329193,0,0.0748487129040093,0.246412901609367,0,0.210888827144473,0.0145406222366516,0,0,-1.73472347597681e-18,0.111660270607339,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.283532980005981,0,0,0,0.343403763766959,0,0,0,0,0,0,0
EOS,0,0,0.143069388968986,0.201694961395803,0,0,0,0,0,0.151220298317389,0,0,0,0.0275514629682138,0.0273592070223975,0,0,0,0,0
LTC,0,0,0.0544572561536552,0.116109868287901,0.0153292930776161,0,0.00747029286900155,0.121479293389466,0,0.0964038123937285,0,8.67361737988404e-19,0.0990948459796706,0,0.0917538349045431,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.323587864394206,0,0.253132747396912,0,0,0,0.114844817620506,0,0,0,0,0,0
XLM,0,0,0.185288820948387,0.00667658768018944,0,0,0.172185681269072,0,0.147483976988509,0.14707205164156,0.00962803453714546,0,0,0.147039738500872,0.106926682292467,0,0,0,0,0
MIOTA,0,0,0,0.283281576845654,0,0,0.0811275058585543,0,0,0.137567726247733,0.0500237242073773,0.128315938851177,0,0.0334103831507781,0.106637206374494,0,0,0,0,0
NEO,0,0,0,0,0.0609049302582076,0,0.0337714905490708,0.246276714736011,0.172762066319364,0,0,0.0817289657727865,0,0,0.191093054598382,0,0,0,0,0
TRX,0,0,0,0.47588165885677,5.42101086242752e-20,0,0,0,0.0713482858968504,0,0,0,0.0808286114861478,0.00504870862890239,0,0,0,0,0,0
XMR,0,0.164565131411018,0.0691977725613005,0.0470950414689431,0,0.15053129630735,0,-1.38777878078145e-17,0.124659273112642,0.0319047954690445,0.0795767689921099,0,0.186066720311788,0,0,0,0,0,0,0
DASH,0,0,0,0.0777325668844293,0,0,0,0.263653526370317,0.0466555846995551,0,0.124291758499767,0.109169185061612,0,0.0224508901290792,0,0,0,0,0,0
XEM,0,0.0442856378490295,0,0.0786185755558269,0,0,0.111499770855525,0.330587644294571,1.73472347597681e-18,0.149895033439567,0.124648792609336,0,0,0,0,0,0,0,0,0
ETC,0,0,0.073664852168876,0,0.162014360810622,0,0.0713236232728114,0.0349496440629095,0.27395517964345,0.0572591526631425,0.0393925744537978,0,0,0.0346077589261211,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0116117006728759,-0.0489349732956127,0,0.000231632509834916,0,0,-0.0413081052656528,0,0.0680141731688529,0,0,0,0,0,0,-0.0395167362663991
CVIX.Index,0,0,0,0,-0.0172925573946506,-0.0234633378052035,0.0149766415174713,0,0,0,-0.0144042336008205,-0.026386007010503,0.0731408125387766,-0.00651225124853776,0,0,0,0,0,0.0173891936435855
DXY.Curncy,0,0,0,0.00694851065963737,0,0,0.00871065401902812,-0.0287082984558278,0,0,-0.00763981904944247,0,0.0163129102025488,0.00550264861818257,0.00244580107083195,0,0.0180546000449795,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,-0.00406182323671543,0,0,0,0,0,0,0,0,-0.107524172296626
VIX.Index,0,0,0,0,0,0,0,0,0,0.0988128485927474,4.66426674394539e-05,0.0292182601482617,0,0.121362444224181,-0.278671043934778,0,0,0,-4.21648852082572,0
