,BTC,ETH,BCH,XRP,DASH,LTC,MIOTA,XEM,XMR,NEO,ETC,ZEC,EOS,XLM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0529661647825858,0,0.0881383377628779,0.0620273502787832,0.0216907024115876,0.0193212270273039,0,0,0.0408541067447691,0,0.0384191109064512,0,0,0,0,0
ETH,0,0,0,0.0930730246974109,0,0,0.0689306378428394,0.0496867418716412,0,0.0657170977567882,0.157331374930665,0.166853056184869,0.0255290416715971,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,-0.147110128525543,0,0,0,0,0,0,0,0,0,0
XRP,0,0.323459844976848,0,0,0,0,0.0169440325465531,0,0,0,0,0,0.0260371298066736,0.0584718884222505,0.0146089493684061,0,0,0,0,0
DASH,0,0.188368639356872,0,0,0,0,0.0646737672050132,0.0759505414204191,0,-1.73472347597681e-18,0,0,0.0483046013418853,0.0707302801726378,0,0,0,0,0,0
LTC,0,0.0322175207214797,0,0,0,0,0.0411723979901659,0,0,0,0.158250703475699,0,0.0840239578378259,0.0722657470534498,0.0337729547069955,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.178176640315781,0,0.0476850983305477,0,0.484609250912072,-1.0842021724855e-19,0,0.087228971051462,0,0,0,0,0
XEM,0,0,0.0670782815341778,0,0.0952894119389517,0,0.0741246728296896,0,0,0.1418130284792,0,0,0.106554869583059,0.255480423257749,-0.0572978206131864,0,0,0,0,0.0837451742040204
XMR,0,0.0446759659119467,0.00947646305512836,0.197874718469005,0.0914281726106874,0,0.0293544513023261,0,0,0.00608070960001026,0,0.0750613297938633,0.0416803143425907,0.184936601216265,0,0,0,0,0,0
NEO,0,0.00877415670307055,0,0,0,0,0.207755242790056,0.255406010325192,0,0,0,-1.73472347597681e-18,0.0516651357856231,0,0,0,0,0,0,-0.151796889801701
ETC,0,0.353740131461732,0,0,0,0,0,0,0.0767184091665815,0,0,0,0.00670371462073144,0,0,0,0,0,0,0
ZEC,0,0.27670409168568,0,0,0,0,0.125620149767538,0,0.0307358362792356,0,0,0,0.0622316011884388,0.0593429303796817,0,0,0,0,0,0
EOS,0,0.0724323648942083,0,0,0,0,0.153756769925771,0,0,0.107765078354356,0,0.109740041848027,0,0.187165223376893,0,0,0,0,0,0
XLM,0,0.114798751587263,0,0.139522768978953,0,0,0,0.171772098419433,0.353164261237004,0,0,0,0.0582637704860611,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0101419114302111,0,0,0.0189511936951258,0,0,0,-0.0127651760169776,0,0.0354811480304584,0.000490953501835989,0,-0.00872129854972362,0,0,0,0,0
CVIX.Index,0,0,0,0.000589028401762807,0,-0.0286393490256842,0.023871705091678,0,0,0.0131699873159157,0,-0.0178841934153124,0.00872673077448227,-0.0311533742251033,-0.00824750478950876,0,0,0,0,0.05454081353183
DXY.Curncy,0.0105307313869197,0,-0.00539885722975734,0.00145506642584747,0,0.0246921763906245,0.00562101696598416,0,0,-0.00689614948967245,0,-0.00429442115022479,0,-0.0122015756266873,0.00141121310966796,0,0,0,0,-0.0175356867983657
SPX.Index,0,0,0,0,0,0,0,0,-0.00436448933562399,0,0,0,0,0,0.000523635682275095,0,0,0,0,-0.040869722086423
VIX.Index,0,0.289675693129626,-0.0867337624945277,-0.0923809465091661,-0.199799039802176,0,-0.0558597340007193,0.157788294665491,0.0156422945502221,-0.0676729750749023,6.93889390390723e-18,0,0.0103356962955971,-0.0841109770929981,0.0694551317376664,0,0.346149121994949,0,0,0
