,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,BSV,DASH,XTZ,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0730256551364403,0,0.058052665845448,0.12700268792481,0.0374379635717846,0,0,0,0,0.00930662367110457,0.0225906078318909,0,0.00489808261053003,0,0,0,0,0,0
ETH,0,0,0,0,0.220171791031107,0,0,0,0.0134002563071712,0,0.0972898117570817,0.0946823041212284,0,0.00136650695075285,0,0,0,0,0,0
XRP,0,0,0,0,0.037596246051418,0,0,0.0641240249048495,0.0666611715369208,0,0.226042498152284,0,0,0.0251347130563473,0,0,0,0,0,0
BCH,0,0,0,0,0.170927236454609,0.2364542203123,0,0.0319316515477131,0.254613733193877,0,0,0,0,0.00311527838485333,0,0,0,0,0,0
EOS,0,0.242022701944371,0,0.115376921423052,0,0.297694968456251,0,0,0,0.0383981823348367,0,0,0,0.0450470046273025,0,0,0,0,0,0
LTC,0,0,0,0.0518720185621632,0.334803731036078,0,0.0155405484861756,0,0.0656555708029884,0,0,0.156487554262408,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0.158026919355396,0,0,0,0,4.33680868994202e-19,-0.14657256389731,0.559094923370915,-0.072207023448204,0,0,0,0,0,0
XLM,0,0.201494614499829,0,0.0565519430678975,0.103702194553043,0,0,0,0,0.0217307299651935,0.107237432665501,0,0.127100010615477,0,0,0,0,0,0,0
ADA,0,0,0,0.253792123375936,0,0.20923339897628,0,0,0,0,0,0.0714457166866275,0,0.0274255705825303,0.161342180034102,0,0,0,0,0
TRX,0,0,0,0,0.168289061897681,0,0.0177284921179825,0.14830454899611,0.0586238618987378,0,0,0.0115531583790546,0.122789545260497,0.0129612820276748,0,0,0,0,0,0
XMR,0,0.371930308459911,0,0,0,0,0.0548578784087731,0.160637983904768,0.0368763238832317,0.0255044827484771,0,0.0101257816845657,0.0653820686815378,0,0,0,0,0,0,0
BSV,0,0,0,0.0186398859087934,0.0320762143326439,0.40291956165387,0,0.0210879028440777,0.155742360478719,0,0,0,0,0.0291127556020901,0,0,0,0,0,0
DASH,0,0.41039316190126,0,0,0,0.0384464412475579,0.066127471368501,0.0552988077093119,0.0655511090051219,0,0,0.0262452945891428,0,0,0,0,0,0,0,0
XTZ,0,0,0.4211337315516,-0.185117234861138,0.195858952316722,0,0.0416716129541155,0,0,0,0,0,0,0,0.258715862481395,0,-0.567068691633627,0,0,-0.063306904776442
MIOTA,0,0.133377618520002,0,0,0,0,0,0.0346012613231638,0.103667268908634,0,0,0.0807396593442268,0.0239086888093967,0.0856377299947954,0,0,0,0,0,0
BV010082.Index,0,0,0.0329447605043007,0,0,0,0.0230478711922463,0,-0.00739527925790902,0.0195915374466242,0.163773376083022,0.0187906381289881,0,-0.0197193907124402,-0.14579762712581,0,0,0,0,-0.0810169417080077
CVIX.Index,0,0,0,0,0,0,0,0.135756276827524,-0.0625962103168141,0,0,0,0,-0.0797696159940192,-0.100846041822542,0,0,0,0,0.0309311315540768
DXY.Curncy,0,0,0,0,0,0.00202783917085575,0.00269035176378384,0.00794880739064035,0.00308599595464526,0,0,0,0.011350381607655,-0.00581979266795718,-0.0276495093280969,0,0.0100693502872526,0,0,0.00793978311211373
SPX.Index,0,0,0,0,0,0,0,0,-0.00225101332395488,0,0.00562555280846624,0,0,0,0,0.0199308577597266,0.00244505512669806,0,0,-0.0705328566305432
VIX.Index,0,0,0,0.109970026862348,-0.0893362656180257,0,-0.00838967498018733,0,0,0.408968513471426,0.13955778042627,0,-0.614764099878312,0.0340967770822263,0,0,0.194313497031061,0,-2.58813121924833,0
