,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.23105815410266,0,0,0.105155241037185,0,0.0855055873972658,0,0,0.00256795167622202,0.0477665313221408,0.0348056601127974,0.0258811931340347,0,0,0,0,0
ETH,0,0,0.00654253202939301,0.0595398649552673,0,0,0.116128124581928,0,0,0,0,0,0.132320500467935,0.156868005821307,0.0648781630883149,0,0,0,0,0
XRP,0,0,0,0,0,0.133504407908431,0,0.0745332280382908,0,0,0,0,0.181390894129376,0.14708013263231,0.106312085110864,0,0,0,0,0
BCH,0,0,0,0,0.159402953057627,0,0.0974470945443884,0,0,0,0,0.163696166163863,0.239523350413933,0,0,0,0,0,0,0
LTC,0.0625734372658606,0,0,0.234737388754505,0,0,0,0,0.0781787494091384,0,0,0,0.148585529180918,0,0.0224976462110767,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.111487729244099,0.102697586578712,0,0,0.0552281474014189,0,0.131262657629471,0.113578300668321,0,0,0,0,0
NEO,0,0.193351655409036,0,0.102887969641063,0,0.107008289000295,0,0.103882055955359,0,0,0,0.0106366261584571,0.14117299906685,0.131843895712425,0,0,0,0,0,0
XLM,0,0,0.226562252053997,0,0,0.308096764050551,0.0475167006881797,0,0.0194715775927906,0,0,0,0,0.20715029857445,0,0,0,0,0,0
EOS,0,0,0,0.0848188486654779,0,0.0246834663357836,0,0,0,0,0,0.114729076990864,0.201858633156308,0.11090574557918,0.0820207167997824,0,0,0,0,0
MIOTA,0,0,0.0411677529805292,0.165180967127911,0,0,0,0,0.147838005179494,0,0,0.0256137361641652,0.206137332444474,0.113694839546385,0.0355457287900687,0,0,0,0,0
DASH,0,0,0.0505148953591479,0.115908829238533,0,0,0,0,0.0789239145729804,0,0,0.103227346588199,0.118877754641994,0,0.105759841910831,0,0,0,0,0
XMR,0,0,0,0.0975303973017386,0,0,0.0838284023499778,0,0,0.154027038487969,0.243595868635637,0,0.169252486432079,0.0533495104029756,0.00912691400655659,0,0,0,0,0
ETC,0,0,0.0584476234417285,0.207465786065351,0,0,0.054957167813758,0,0.0836548770218465,0,0,0.184645375303435,0,-1.73472347597681e-18,0.0663054064078451,0,0,0,0,0
XEM,0,0,0.0439838704478815,0.0598169708860124,0,0,0,0.166393309882324,0,0,0,0.109373426490135,0.0871163706510176,0,0.0114570266286015,0,0,0,0,0
TRX,0.267876038352152,0,0.343720544026666,0.245798014981623,0,0.0170441138764753,0,0.0614959338971337,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0.00497617887654971,0,0,-0.00314969051594536,0,0,0,0,-0.0436715857639815
CVIX.Index,0,0,0.0147713813714009,-0.0362528340653153,0,0,0,0.027809015996262,0,0,0,0,0,0.00111947588982838,-0.0172483570304807,0,0,0,0,0.0488163398942808
DXY.Curncy,0,0,0,0,0,-0.00959788695600241,0,0,0,0,0,0,0.00237523523764769,0,-0.00305607655954033,0,0,0,0,0.00994475459422916
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05446512278084
VIX.Index,0,0,-0.00727811918251578,0,0.0830903559301583,0,0,-0.0393031189236534,-0.0679710396467205,0,0,0.0860380661693142,0,0,-0.0210343600074527,-2.27029807787788,0.26505072258567,0,-3.11360142734268,0
