,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0314554157891068,0.0813363791373144,0,0,0.0201408745036372,0,0,0.0198646603118445,0.32381994053847,0.12125537034839,0,0,0,0,0,0,0
XRP,0,0,0,0.103150333152409,0.160807176516132,0.150055733441901,0,0,0,0,0,0,0,0.0391828703461791,0,0,0,0,0,0
ETH,0,0,0,0.112639358389738,0,0.0675850938198668,0,0,0,0,0,0.233274593337495,0.0520850879660593,0.187316302405232,0,0,0,0,0,0
BCH,0,0,0,0,0,0.287081363929722,0,0.0733558039392166,0,0.337627366687641,0.20066207959134,0,0,0,0.0583383782749713,0,0,0,0,0
XLM,0,0,0,0.207060669019865,0,0.194556599283589,0,0,0,0,0.0273633995081547,0,0.0776822024504776,0.0528930324514938,0,0,0,0,0,0
EOS,0,0,0,0.07662821795522,0.203807194413774,0,0.174482735551504,0.00601150800916365,0,0.142213058717989,0,0,0,0.0829841075731226,0,0,0,0,0,0
LTC,0,0,0.0710897778317554,0.0504933024280575,1.0842021724855e-19,0.0724011807004147,0,0.0051650076657053,0,0.0858653109437812,0.113045012191672,0.11029774421044,0,0.0895228492648376,0,0,0,0,0,0
BSV,0,0,0,0.41479371338447,0,0,0,0,0,0,0.0902509624080331,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.106167812871212,0,0,0,0,0,0.384847577814558,0.0735137538928461,0.021456865264678,0.0203496684119545,0,0,0,0,0,0,0
ADA,0,0,0,0.207434955404276,0,0.185652200880857,0,0,0.0956407805732029,0,0,0.211962982943036,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.194754997354606,0.154926775756989,0,0,0.044636606334574,0,0,0,0.272797675173953,0,0,0,0,0,0,0,0
XMR,0,0,0.170607344124266,0.0541417115226876,0,0,0,0,0,0.216935587306492,0,0,0,0.267017507296922,0,0,0,0,0,0
BNB,0,0,0.113420427747183,0.028130383396464,0.0184112337048817,0.206056860581572,0,0.0093425646610451,0,0.229533652422514,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.256820135725682,0,0,0.154888011956389,0,0.0176021358104556,0,0,0,0.382390315133675,0,0,0,0,0,0,0,0
XEM,0,0,0,0.11838224915655,0.114434271368375,0,0,0,0.128559885267143,0,0.0578400712522511,0.179625382546973,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0242608944225293,0,0,0.00340576791198976,0.00282816985533849,-0.133655239406483,0,0.0346951957235193,0.0349273215672962,0.0855750216376822,0,0.0143615490663417,0,0,0,0,-0.090032277129153
CVIX.Index,0,0,0.0441864977567825,0.0184890670498443,0,0,0,0.00994676442144188,0,0,0.0261795708782544,-0.0462913659268749,-0.0997645903524671,0.030066374124085,0,0,0,0,0,0.0928051474659007
DXY.Curncy,0,0,0.015244466935496,0,0,2.16840434497101e-19,0,0.00520326334612541,-0.0230817288292352,0,-0.00481844826276828,0,0,0,0.0079510261260077,0.0566370718126302,0,0,0,0
SPX.Index,0,0,0,-0.00346404844635485,0,0,0,0,0,0,0,0,0,-0.0130502073688286,0.0214234301301422,0,0,0,0,-0.12930866439767
VIX.Index,0,0.189543511442001,0,0,0,0,0,0.0352909970337203,0,0,0,-0.202184063202712,0,0,0,0,0.375713256150878,0,-3.20188620218732,0
