,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,ETC,TRX,DASH,MIOTA,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.335795948325386,0,0,0,0,0.177933472004217,-4.33680868994202e-19,0,0,0,0,0.047732534910493,0,0,0,0,0
ETH,0,0,0,0,0.203637753530769,0,0,0,0,0.193491016063383,0,0,0.0832635762738156,0.0880284228132239,0,0,0,0,0,0
XRP,0,0,0,0,0.169246753090452,0,0,0,0.0328393349115557,0.0453570379552616,1.73472347597681e-18,0,0.267211027469041,0.034038950837731,0,0,0,0,0,0
BCH,0,0,0,0,0.141841033274522,0,0,0.0448229358814041,0.237114848279617,0.0103308271708978,0.107644595721011,0,0.0676914775063691,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.177477228659113,0.0523813353609625,0,0.102290415978018,0,0.199585797333037,0.0667000514415875,0,0,0,0,0,0
XLM,0,0,0,0,0.107883081046345,0,0,0.12821290598399,0.177847267610191,0,0,0,0.104451354795395,0.0931078543715574,0.130352442009037,0,0,0,0,0
LTC,0,0,0,0.479059232327292,0.0292729843034403,0,0,0,0,0.0910604784576592,0,0,0.062603452982538,0,0,0,0,0,0,0
ADA,0,0,0,0,0.0553913685559513,0.21221977529388,0,0,0.092761441591514,0.0371754785122165,0.364543151366002,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.419775771395908,0,0.0407697362190204,0,0,0,0.00560813008246199,0,0,0.0444288560005362,0.119297908753087,0,0,0,0,0,0
ETC,0,0,0,0,0.166989926720974,0,0,0,0,0,0,0,0.422507405142681,0,0.0328874177234706,0,0,0,0,0
TRX,0,0,0,0,0.318140189145714,0,0,0,0,0,0,0,0.124639182348971,0.131006860484817,0,0,0,0,0,0
DASH,0,0,0,0,0.09863733565239,0,0,0,0,0.0344698003027492,8.67361737988404e-19,0,0.111509782442116,0.158118557573025,0,0,0,0,0,0
MIOTA,0,0,0,0,0.19868303357895,0,0,0,0,0.0309538996977037,0.162277107610528,0,0,0.494042837131445,0,0,0,0,0,0
NEO,0,0,0,0,0.0793521271226215,0,0,0,0,0,0.313006359523439,0,0.289053167416617,0,0,0,0,0,0,0
XEM,0,0,0,0,0.200839932196326,0.164877221332147,0,0.0185785489686941,0,0.0173773388533403,0.136385338438613,0,0.0409933800994707,0.106977399794216,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260929929669697
CVIX.Index,0,0.00450305984693043,-0.0621209543992469,0,0.11579407209586,-0.010065523055842,0,0,0,0,0.0505056586749325,-0.178673338675616,0,0.0423820774184318,0,-0.556190270567849,0,0,0,0.0393908601436564
DXY.Curncy,0,-0.0144103084282288,-0.00353540292469952,0,0,0.00317825292327013,0,0,0.00072752479685552,0.0113785658420094,0,0,0,0,0,0,0.0659186961004666,0,0,-0.00800404596736407
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.00486860378100016,0,0,0,0,0,0,-0.0580355973407381
VIX.Index,0.137337452071407,0.0705579492442347,0,0,0,-0.0606083091259455,0,0,0,-0.151426959390256,0,-0.338534557871167,0,0.129143304395386,0.108488306134662,0,0,0,-2.55317801955333,0
