,BTC,ETH,XRP,BCH,MIOTA,XEM,LTC,NEO,DASH,ETC,XMR,EOS,ZEC,BAT,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0379022296168048,0.0441786922165007,0.122176596981957,0.0161191338190232,0,0,0,0.0348785235717756,0,0.0516585218172771,0,0,0,0,0,0
ETH,0,0,0,0,0.0421089312637794,0.0578487837273608,0,0.0153860433305236,0.0398968277886777,0,0,0.0217953092168236,0.137028255888412,0.129171350482452,0,0,0,0,0,0
XRP,0,0.39244250272726,0,0,0.079750023419828,0,0,0,0,0,0,0.033072241948187,0,0,0.0397533147735304,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.107888941843363,0,0,0.173149214238742,0.0915365506840288,0.0535290725259019,0,0,0,0,0.193370394037304,0,0.147741135249709,0,0,0,0,0
XEM,0,0,0.100175080960883,0,0.105334923381526,0,0,0.0235004807680627,0,0,0.00869557146867126,0.131848617349943,0,0.184522352245547,0,0,0,0,0,0
LTC,0,0,0,0,0.0914856232803639,0,0,0.0587290099753043,0,0.19531088234973,0,0.0573788113658763,0,0,0,0,0,0,0,0
NEO,0,0.186901960397578,0,0,0,0.231473673307748,0,0,0,0,0.14520373660251,0.0363787204784842,0,0.165914478557241,0,0,0,0,0,-0.18224576716429
DASH,0,0.17743007088566,0,0,0,0,0,0.0690174419012481,0,0,0.165665875783539,0.0539081864582043,0,0,0,0,0,0,0,0
ETC,0,0.310508447041675,0,0,0.0271954902226559,0,0.0841274166849147,0,0,0,0,0.0115636570114246,0,0.0251069328362625,0,0,0,0,0,0
XMR,0,0.0814599123784702,0,0,0.0358072313127252,0.0844426664095752,0,0.00623597746135794,0.040693201413381,0,0,0.0480832899619385,0.182579011168953,0.0200315125246206,0.0218352721094919,0,0,0,0,0
EOS,0,0,0,-0.00524477287095866,0.106716182464736,0.0449722428737957,0,0.0368628383988619,0,0,0,0,0.377416841245737,0,0.259594414984762,0,0,0,0,0
ZEC,0,0.25221960414239,0,0,0.0987734491920241,0,0,0,0,0,0.030860741445137,0.0211335747061846,0,0.0309704883981682,0,0,0,0,0,0
BAT,0,0.274392249019802,0,0,0.0564823326220732,0,0,0,0,0,0,0,0.0729730614846148,0,0.306086727503719,0,0,0,0,0
DOGE,0,0,0.168205038375291,0,0.0598262726479138,0,0,0.00636906982116027,0,0.127285423506468,0.179030988549827,0,0,0.113162758456079,0,0,0,0,0,0
BV010082.Index,0,0.026765869170291,0,0.0137682970951519,0,0,0,-0.0077993645932156,0,-0.030605244147443,0,0.00394186443313204,0.0111920444559474,0,0.00769559190292844,0,0,0,0,-0.00388458936307153
CVIX.Index,0,0,0,0,0.0138115587953,-0.0148024438564126,-0.0434696738543765,0.00788666206518565,0,0.0287533615528416,0,0.00811308003556027,0,0,0,0,0,0,0,0.0508674329808559
DXY.Curncy,0.0286044074139663,0,0,0.00250287951260065,0,-0.0128550030401878,0,0,0,-0.00523520142900059,0,0.00285551873664448,0,0.0027889182538177,0,0,-0.010185558172744,0,0,-0.00538478733878591
SPX.Index,0,0,0,0,0,0,-0.001942284714911,0.000534256568643443,0,-0.00427822910904779,0,0.000619127579463276,0,0,0,0,0,0,0,-0.0441553474872867
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
