,BTC,ETH,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.458190748113323,0,0.0272556663623028,0.0422410558725411,0,0,0,0,0,0,0,0
ETH,0,0,0,-0.22497240298453,0,0,0.330433855981651,0,0,0.157462628678654,0,0,0,0,0.160353900417886
XRP,0.00576807117754156,0.0102260927665721,0,0,0,0.0500423599808513,0.132530978517868,0.0186566969952142,0,-0.102564709415782,0,0.228165719826358,0,0,0
LTC,0.67924273612942,-0.0051687808661114,0,0,0,0,0,0,0,-0.067664204242119,0,0,0,0,0
DASH,0.0873714896585546,0.0992803459491016,0,0.089823176058825,0,-0.00736763152341053,0,0.122909245682679,0,0.0765836063137101,-0.135058633353113,0,0,0,0.0951182453529246
XEM,0.571630051819803,0.00905348286302488,0.213904369792348,0,0.157630967621729,0,0,0.210159784524235,0,0.169683266430704,-0.222290404460983,0.154027704584314,0,0,0.16013366559455
DOGE,0.226183850304863,0.0646410871500417,0,0.210405028863785,0,0.00362450540427845,0,0,0.202887478702072,0,0,-0.0585489925020983,0,0,0
XMR,0.350401067337489,-1.73472347597681e-18,0,-0.0862124777004392,0.726776802541332,-0.0629392429134533,6.93889390390723e-18,0,0.663681094434837,0.038209772086561,0,0.251085071142381,0,0,-0.0759819380067478
XLM,0,0,0.0513061460273045,0,0,0,0.268834480618819,0.109445384641035,0,-0.018666640556191,0,0.260028994867804,0,0,0
DGB,0,0.217406128564223,-0.276599281394495,0,0,0.20891218290423,0,0,0,0,0,0,0,0,-0.0603580063824299
BV010082.Index,-0.204186689399664,0.0262395962991096,0,0.0573908590593707,0,0.00684711942337847,0,-0.0157126655786624,0,0,0,0.0274558352295059,0,0,-0.101501723817549
CVIX.Index,0,0,0.0430438207974505,0,0,0,0,0,0,0,0,0,0,0,0.127653858848937
DXY.Curncy,0,0.00128038688193301,0.0139478617824221,0.0144588882291167,0,0.00257059086354696,-0.0138706767166546,-0.00114089676890547,-0.0155430065661787,0.00105376384336052,0,0.0551733071283256,0,0,-0.0129100809804079
SPX.Index,0,0,0.0165128692470292,-0.00995026143051518,0,-0.000941644218486478,0,-0.0131984937179545,0,0,0.0323630909702631,0,0,0,-0.0784744292232033
VIX.Index,-0.0355516496096982,0.0790251176698449,0,-0.015570642048907,0,0.00128672294295408,0,-0.0666228627529473,0.105159910985973,-0.0526160457719422,-0.258910486687761,0.675437472275464,0,0,0
