,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0782582502261198,0.0250236921304024,0,0.0147384223555762,0.0938426860463811,0,0.0172905065907527,0,0,0,0.0904441276942269,0,0,0,0,0
ETH,0,0,0,0.0794682134358553,0,0,0.00200532333018458,0,0.0888983798718342,0.0757852257038225,0,0.125249512259676,0,0.0419939228345288,0.122559763560504,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0.0637550154318191,0,0.198539371458681,0,0,0,0,0,0
XRP,0,0.15449944773551,0,0,0,0,0,0,0.0996304694505733,0,0,0,0.0690538628387504,0.00811600738262152,0.0531782199430848,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0879991228030008,0.250954952174836,0,0,0,0.110449651075421,0,0,0,0,0,0
DASH,0,0,0.0197600347961455,0,0,0,0.0212437991184097,0,0.121631801878478,0,0.000137008791689453,0.0782811831253475,0,0.104048529110349,0.0904390557746169,0,0,0,0,0
XEM,0,0,0,0.167247529728319,0,0.105198315509705,0,0,0.0544580691006098,0,0,-3.46944695195361e-18,0.089448775271511,0,0.216874636022086,0,0,0,0,0
XMR,0,0,0,0.155662576125263,0,0,0,0,0.0546531780386542,0,0.00499392520628195,0.132993301929685,0.124132727848991,0.122681997272617,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0840089304227083,0.0174840520576363,0,0,0.106756893832452,0.404170982549238,0,0.250374100127785,1.73472347597681e-18,0,0,0,0,0
ETC,0,0.285709242793175,0.0044499560121143,0,0.0427048675390068,0,0,0,0.019390033778471,0,0,0,0,0.134391364155954,0.0451949133631771,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75270197620795,0,0,0,0,0,-0.0588904856695402
ZEC,0,0.0310504420108653,0,0,0,0,0,0.06080564306097,0.164391103787954,0,0,0,0.0743302139167748,0.207446250277734,0.0145339948451934,0,0,0,0,0
XLM,0,0,0,0.244514441657136,0,0,0,0.313305005561501,0,0,0,0.0347549978610909,0,0.0835410611460428,0.136159940027019,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.149459655128381,0,0.0729343044767564,0.0996799663993273,0.165313548642136,0,0.0642165602026161,0,0,0,0,0
BAT,0,0.112784961830165,0,0,0,0,0.0613122310639602,0,0.0152003143911593,0,0,0.129596796230345,0.185611784876413,0.112519782740334,0,0,0,0,0,0
BV010082.Index,0,0.023335208951758,-0.0136010084457136,0,0.0121499033057773,-0.0116425431345414,0.0152724370572751,0.0182776128300433,-0.0314905118781533,-0.0118784197392022,0,0.0435608245517077,-0.0441957455958845,0,0.0150665919915672,0,0,0,0,-0.0388410725448001
CVIX.Index,0,0,0,0.0429298501725893,-1.35525271560688e-20,0,0,-0.0204433090751822,0.000393775288876144,-2.16840434497101e-19,0,-0.0193355798052323,-0.0256441218975005,0,0.0218639137006716,0,0,0,0,0.0474006413690686
DXY.Curncy,0,0,1.35525271560688e-20,0.0104527228664917,0.0111084719109101,-0.00501732977654029,-0.000894522266764788,0,0,0,0.00373218171841551,0,-0.0151016587214436,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00301028946630564,0,-0.003044239886637,0,0,0.00115488096185904,0,0,0,0,0,0,0,0,-0.0377001899620511
VIX.Index,0,0.219603333361819,-0.0298002911452782,-0.0583927551471755,-0.0820398067345073,-0.282733862977177,0,0,0.113262274550125,-0.02866492792275,-0.0642563586098775,0,-0.029691969783152,0,0.020260395451908,0,0.218100545513612,0,0,0
