,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0108817284177492,0,0.123170036007656,0,0,0,0.0607223000300558,0,0.101098653435289,0,0,0,0.0776145773086396,0,0,0,0,0,0
ETH,0,0,0.0822282546048148,0.0322908166943585,0,0.144952533214508,0,0,0,0.132800746620399,0.0722746763476092,0,0,0.159888166504945,0,0,0,0,0,0
XRP,0,0.140611805811093,0,0,0,0.00578891256591901,0.0649941093282107,0.154855650557906,0,0.0892850384837766,0.0552542110707724,0,0.0741311477921773,0.184550149422235,0,0,0,0,0,0
BCH,0,0,0,0,0.0313934770313219,0,0.129821543980411,0,0,0.242553305544746,0.14013594562047,0,0,0.0559527226104027,0,0,0,0,0,0
EOS,0,0,0,0.240615441945153,0,0,0.0970043802402523,0,0.00203559783242826,-0.156796320478669,0.313140971515043,0,0.160463099735427,0,0,0,0,0,0,0
LTC,0,0,0,0.0702551196022147,0,0,0.0755281131342887,0.0435752897285165,0,0.0551340943343931,0.124516792664214,0,0,0.177562744123103,0,0,0,0,0,0
ADA,0,0,0,0.0797032464137175,0.0919225085880599,0,0,0.251559311838433,0,0.213362334705232,0.0708804969890886,0,0,0.0662691214477765,0.0116870745176707,0,0,0,0,0
XLM,0,0,0,0,0.0635956472295965,0,0.111249298296877,0,0,0.0837103196760385,0,0,0,0.348986345974438,0,0,0,0,0,0
TRX,0,0,0,0.214068475527827,0,0,0,0.385285327047885,0,0,0,0,0.0539745726679418,0,0,0,0,0,0,0
MIOTA,0,0,0,0.266905400869075,0,0,0.105120043300085,0,0,0,0.0808149891333708,0,0,0.323067619342181,0,0,0,0,0,0
NEO,0,0,0,0.128413544438071,0,0,0,0.0677155791636719,0,0.195071919132737,0,0,0,0.0741036840324659,0,0,0,0,0,0
DASH,0,0,0,0.128982175551301,0,0,0,0.213537984131209,0.0763431637735466,0.0924095236574499,0.0494472313070724,0,0,0,0,0,0,0,0,0
XMR,0,0,0.107674564927767,0.146739528127529,0.00786432392145519,0,0.0598572885319746,0.0206751420255658,0,0,0,0,0,0.314372657495443,0,0,0,0,0,0
XEM,0,0.18090789144403,0.0699328126966453,0,0,0,0.0530604874943447,0.195768409841305,0.04806872629272,0.057168439988964,0.0686937125745674,0,0,0,0.19306080241821,0,0,0,0,0
ETC,0,0,0.216333857803104,0.0412605172235902,0.089468638408153,0.0816434227960748,0.0319097316573708,0.0726410069452803,0.0224933430602118,0.0758450487757502,0.0402900757025682,0.00248322879833544,0,0.0818504318656126,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238290035459677
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220960987428609
DXY.Curncy,0,0,0,0,0,0,0,0,0,0.00280949042847645,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.00920636020030205,0,0,0,0,0,0,0,0,0,0,0,0,-0.112504786227099
VIX.Index,0,0,0,0,-0.0257651289402424,0,-0.0908066353704,-0.141464759439963,0,0,0.168818321917683,0.178195812054366,0,-0.138972396612264,0,0,0,0,-4.89571184342884,0
