,BTC,ETH,INNBCL,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.000102353159299968,0,0,0.0165533066913594,0,0.198333463631584,0.0533104016807902,0.108151575160181,0,0,0.0658088044821613,0,0.0549137894311104,0,0,0,0,0
ETH,0,0,0.00339161916693335,0,0.234892822883733,0,0.260142114195781,0.0360365491631068,0.0117521907890609,0.215619505717911,0,0,0,0,0,0,0,0,0,0
INNBCL,0,6.86075979499345,0,0,0,0,0,0,0,-3.32430218775414,0,0,-4.64840978079396,0,0,-0.898817138785645,-2.58563090901245,0,0,-0.817441169475426
XRP,0,0.177476656395569,0,0,0.115914558780949,0,0.0956577721957375,0.172890851748826,0.0339555011595089,0.102154428160828,0,0,0,0,0,0,0,0,0,0
BCH,0,0.0328353043354486,0,0,0,0.090802387194623,0,0.391775404236295,0,0.0291399425197146,0.00584838058169457,0,0,0,0,0,0,0,0,0
BSV,0,0,-0.00257031975614515,0,0.641315808939416,0,0,0.284517730974552,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00880228749991308,0.00198346723247011,0,0.078630484754489,0.0540070184347106,0,0.109818649814948,0,0.14836811386285,0,0,0,0,0.0907158404147874,0,0,0,0,0
EOS,0,0.0827647869088721,0,0,0.267277179337271,0.171941609017947,0.175886826404074,0,0.0192079250280176,0,0,0,0.0427407550015454,0,0,0,0,0,0,0
BNB,0,0,-0.000688782378081502,0,0.252447675120584,0,0,0.0517043028995007,0,0.287166211438885,0,0,0.0490315671903462,0,0,0,0,0,0,0
XTZ,0,0,-0.00224114807180224,0,0,0.119093632607339,0,0,0.320505003682406,0,0,0,0,0,0.358081425941895,0,0,0,0,0
TAGZ5,0,0.195685683971255,-0.00116326847664036,0,0.15116567639204,0,0,0,0,0.0443321818337002,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0.000692728170371611,0,0,0,-0.132000141298297,0,0.0271490862433047,0.0300987068684003,-0.0529087202044893,0,0,0,0.0455961189970712,0,0,0,0,-0.00930411094608347
XMR,0,0.277456594403316,-0.00109399157060369,0,0,0.0124175620008755,0,0.225252801919051,0,0.193129105056423,0,0,0,0,0.0249902173264838,0,0,0,0,0
XLM,0,0.102239482595744,0.0033963206498568,0,0.161636374842919,-1.73472347597681e-18,0,0,0.0223609624635626,0.167890564354866,0,0,0.139586249383269,0,0,0,0,0,0,0
LINK,0,0,-0.000482989199067728,0,0.0325325800093078,0,0.205106884295658,0,0,0.435555421072888,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.00281754029406239,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08983614731939,0,0,-0.119453618954649
CVIX.Index,0,0,0.00383135277941591,0,0,0.139742186673995,0,0,-0.133823044913572,0,-0.145440917397309,0,0,0,0.116445996291768,0,0,0,-0.551573971979798,0.119599440055532
DXY.Curncy,0,0,0.000369298242716963,0,0,0,0,0,0,0,0,0,0,0,0,0.0153541412803176,0,0,0,-0.0162841356091595
SPX.Index,0,0,0.000717003457272529,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00946340074534525,0,0,-0.228171104804654
VIX.Index,0,0,0,0,-0.082169538014342,0,0,0,0,0,0.149705924110291,0,0,0,0,0,0,0,-2.78976768898945,0
