,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,ATOM,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0447686900530684,0.0102218317522785,0,0,0,0,0,0,0,0.0621559155005898,0.0247874849885471,0.00539358991188378,0,0,0,0,0
ETH,0,0,0,0,0,0.200785962708302,0,0,0.0223396993986197,0,0.0636128871918719,0,0.106373692952768,0.0155317559113871,0.00672608694579263,0,0,0,0,0
XRP,0,0,0,0,0,0.0118144522272125,0,0.060968000700144,0.0600824100632727,0,0.223681384033523,0,0.00396391817332077,0,0.0280409062055787,0,0,0,0,0
BCH,0,0,0,0,0.269522509604669,0.140470855998061,0,0,0.242776403669578,0,0,0,0,0.0153134282039694,0.0137794994308738,0,0,0,0,0
LTC,0,0,0,0.098225850814709,0,0.164113131145869,0.0232874890034486,0,0.106498022903675,0,0,0,0.20323051029667,0,0,0,0,0,0,0
EOS,0,0,0,0.145571050779859,0.196781910080292,0,0,0,0,0,0.00858657908887478,0,0.0743013639810057,0.0367794467050169,0.104824070456931,0,0,0,0,0
BNB,0,0,0,0,0.216334143450086,0,0,0,0,0.0553690616394222,0,0.265835323624344,0,0.0161060786382207,0,0,0,0,0,0
XLM,0,0.0844233426066753,0.0471986070131819,0.0417980532995077,0,0.151787031944433,0,0,0,0.0492611891793095,0.0950848442260633,0.101326341701727,0.00845557490192844,0.00888146438412705,0,0,0,0,0,0
ADA,0,0,0,0.259196563788847,0.178392869850959,0.0168536599398409,0,0,0,0,0,0,0.0937837549502532,0,0.0642369046072603,0,0,0,0,0
TRX,0,0,0,0,0,0.228988374226534,0.00899681186357317,0.0921354641502197,0.0750042327991525,0,3.46944695195361e-18,0.111934740646069,0,0.0100641173659749,0.00916222090998755,0,0,0,0,0
XMR,0,0.409567826039874,0,0,0,0,0.0425877999022035,0.162249861006298,0.0373270611765942,0.0160735810821247,0,0.081823797965723,0.00116221709229449,0.00406913202966884,0,0,0,0,0,0
DASH,0,0,0,0,0.0603931843368308,0,0.0587894044959065,0.0706060663114915,0.0969240044030882,0.0491864814880515,0.185148997493179,0,0.0468044210987686,0,0.000373359169126974,0,0,0,0,0
BSV,0,0,0,0,0.343463149522413,0,0,0,0.0503893977679901,0,0,0.0186794360253961,0,0.0458274949230356,0.0459464320588935,0,0,0,0,0
ATOM,0,0,0,0,0,0,0.0863821922282559,0.413408268691149,0,0,0.400678553425025,0,0,0,-0.232339602346128,0,-0.349315621922235,0,0,0
XTZ,0,0,0,-0.0712017014746543,0,0,0,0.613843764569031,0,0,0.101046062578899,0,0.059920364493778,-0.026264127312992,0,0,0,0,0,0
BV010082.Index,0,0.0841379946302175,0.152082226995304,0,0,0,0.0299984919519787,0,-0.054780267294666,0,0,-0.0415485619417893,0,0.0174551538214147,-0.0306969836995312,0,0.0245512953228522,0,0,-0.122867619490787
CVIX.Index,0,0,0,-0.0359422278015305,0,0,0,0.144803779277463,0,0,-0.0611737992086754,0,0,0,-0.107831003030445,0,0,0,0,0.135396238613726
DXY.Curncy,0,0,0,0,0,0,0.00205013062038376,0,0,0,0,0,0,0.00215982765357761,-0.00383105549034655,0,0.0102989010932559,0,0,0.00884775740629171
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699139153261388
VIX.Index,0,0,0,0,0,0,0,0,-0.0402524690348797,0.345801105026774,0.224374277775313,-0.543464996027283,0,-0.052665148512769,0.0463408641460149,0,0.137565428516407,0,-3.80913096523422,0
