,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00875956566660608,0.181005785667191,0,0.0619526803887209,0,0,0.124638073921569,0.0237045900298136,0,0,0,0,0.0320845228089558,0,0,0,0,0
ETH,0,0,0,0,0.156678415143454,0.0799977657106326,0.0290526667932256,0.056596847995755,0,0.0266807882026824,0.193966879349155,0,0.0420904175659561,0,0.014800297800347,0,0,0,0,0.0410474174600239
XRP,0,-0.0748859401399316,0,0,-0.12751449913515,0.209922618764219,0,0.06191387157522,0,0.00687357600875417,0,0,-0.0797675782815106,0.490304812037205,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0281398921624707,0,0.112650217745114,0,0,0.165129930834472,0,0,0,0,0,0,0,0
ETC,0,0.377027982080286,-0.094012218121375,0.121926907038172,0,0,0.0533673198882775,0,0,0,0.012710802399467,0.0206725111354998,0,0,0,0,0,0,0,0
DASH,0,0.102890552662263,0,0,0.0685924312448545,0,0,0,0.29718493658292,0.0530570839039508,0,0.0681746825889071,0,0.0469530497121545,0,0,0,0,0,0
XEM,0,0,0.12174751395109,0.225051141177438,0,0,0,0,0,0.126539100934642,0,0.011386762595423,0.296360010664228,0.0686658573395463,-0.051222890812154,0,0,0,0,0
MIOTA,0,-3.46944695195361e-18,0,0,0.00344461935033265,0,0.0574651847177187,0,0,0,0.0741949848564386,0,0,0.0556231857864086,0.0252816375755454,0,0,0,0,0
XMR,0,0,0,0.155923853662687,0,0.324450887606206,0.082441725128636,0,0,0,0,-0.0241620290463162,0,0.137748224750788,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.0963994352946835,0,0,0,0,0,0,0.0270368992106311,0,0,0.0514007948502925,0.165944744772071,0.129573695629601,0,0,0,0,0,0
NEO,0,0,0,0.289936765859464,0.0594071659946402,0,0,0,0,0.0256683599075309,0.26434753675283,0,0,0.0629821440038885,0.00414833890020512,0,0,0,0,0
DOGE,0,0,0,0.113711331157741,0.0805716197655021,0.227236823810308,0.235000134152262,0,0,0,0,0.0219061154033896,0,0,0.0204131081401113,0,0,0,0,0
XLM,0,0,0.536360295725262,0,0,0,0.0353386548848891,0,0.248023567809728,0.0735961861588275,0,0.0580218184667696,0,0,0.0479231150144639,0,0,0,0,0
DGB,0,0,0,0,-0.0492322160785497,-0.0884985996127618,0,0.0885639160466976,0,0.0844491883204305,0,0,0.449750739391797,0.750044178486907,0,0,0,0,0,-0.102400096517613
BV010082.Index,0,0.00587696888412434,0.0378042488382008,0,0,0,-0.03626546277824,0,0,0,0.00948753941369977,0.0034849834424024,0.0152544106752703,-0.00671448925836034,0.000510188642987907,0,0,0,0,-0.017867580700662
CVIX.Index,0,0,0,-0.0224178512460386,0,0,0.0132942497417258,-0.012819248898125,0,0.00437656678082717,0,0.00828685362806334,0.00443049742636122,0,0,0,0,0,0,0.0220355262968748
DXY.Curncy,0,0.00490292322454024,1.0842021724855e-19,0,0,0.00474102670249212,-0.00576566579892736,0,0,0,0,0.00187430203103689,-0.00924957000836518,0,-0.00239286029984207,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,-0.00138606207274237,0,0,0,0,0,0,0,0,0,0,0,-0.0467274140998578
VIX.Index,0,0.0490062220956758,0.0801725445060041,-0.130450760770449,0,0,0.194033315201419,-0.14706020310469,-0.0276577755482176,0.00926104250406176,0,0,0,0,-0.0267153862026381,0,0,0,0,0
