,BTC,ETH,XRP,BCH,MIOTA,LTC,NEO,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.020746031066088,0.061062770568735,0.0292258381886139,0.0846069040503196,0.162944049111373,0,0,0.0277785797936279,0,0.0353818436792383,0,0,0,0,0,0
ETH,0,0,0,0,0.0760082219321082,0,0,0.0365820172895054,0,0,0.0643256123673315,0.0311081349831232,0,0.178949748750732,0,0,0,0,0,0
XRP,0,0.306846065886612,0,0,0.0380834288680139,0,0,6.93889390390723e-18,0,0,0,0.0317639333126255,0,0,0.0683454697292508,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.140092701966573,0,0,0,0,0.0930229444988156,0.196306851410211,0,0,0,0.016353971662342,0,0.0314187244899796,0.159459611202453,0,0,0,0,0
LTC,0,0,0,0,0.068473561619935,0,0.0528399214488682,0,0,0.176553165690384,0,0.0896354701834084,0,0,0,0,0,0,0,0
NEO,0,0,0,0,-8.67361737988404e-19,0,0,0.315907160111804,0,0,0,0.0398697049798243,0.150547738986051,0.251382248550765,0,0,0,0,0,-0.168432998011204
XEM,0,0,0.136433685010281,0,0.0909780987468671,0,0.016724201401138,0,0,0,0.0325394200569031,0.129912744453311,0,0.175836216477238,0,0,0,0,0,0
DASH,0,0.190536434299907,0,0,0,0,0.0743732529209227,0,0,0,0.136691335799875,0.0558546325282938,0,0,0,0,0,0,0,0
ETC,0,0.264855355490694,0,0,0.0182737797636475,0,0.00265885697869241,0,0,0,0,0.0243979898676178,0,0.0328980372278557,0,0,0,0,0,0
XMR,0,0.198645059411219,0,0,0.0681847381507693,0,0,0.0848313098042729,0.177620643317029,0,0,0.0455184057328156,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.116641573604526,0,0.0373825778746512,0,0,0,0,0,0.359419926868492,0,0.27782195210266,0,0,0,0,0
ZEC,0,0.271157355171061,0,0,0.0962226049178452,0,0,0,0,0,0.0312926945881591,0.0214432153286297,0,0.0294390601991471,0,0,0,0,0,0
BAT,0,0.370831328120541,0,0,0.0454118093298556,0,0,0.114821337707961,0,0,0.171029009870506,-0.0274474690658307,0,0,0.220807506621412,0,0,0,0,0
DOGE,0,0,0.148777165736409,0,0.0887713807184365,0,0.00925165904195356,0,0,0,0.188715667903062,0,0,0.0735201451830107,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0139464950954771,0,0,-0.0076385832670642,0,0,-0.0200305787398486,0,0.00459021892059597,0.0289472784400032,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,-0.0237113740739697,0,0,0,0,0,0.00318914460139107,0,0,0,0,0,0,0,0
DXY.Curncy,0.0264264932824451,0,0.00465604241915456,-6.7762635780344e-21,-0.00194427808421892,0.00261342180884074,0,-0.0215914847646551,0,-0.006388286762779,0.0098556965749864,0.00320531583201227,0,0.00580382801421598,0,0,-0.0182693198567491,0,0,-0.00411850290184831
SPX.Index,0.00241697969358456,0,0,0.000760249341768629,0,-0.00200161386311662,0,0,0,-0.00419509414528163,0,0.000490068330513844,0,0,0,0,0,0,0,-0.0433824441839132
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
