,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-1.0842021724855e-19,0,0.299988205425383,0.118340716405041,0.0281855315064257,0.106244673834935,0,0,0,0.000515798143159015,0,0,0,0,0,0,0
ETH,0,0,0.154314301206465,0,0.0981639342246661,0,0,0,0,0.0666334261085298,0,0.184997722216741,0,0,0,0,0,0
XRP,0,0.0466792573981467,0,0,0,0,0.0748403070241857,0.0338541962117825,0,-0.0111522586862773,0.0422180535396437,0.0208339913511769,0.0803252007872667,0,0,0,0,0
LTC,0.600469105295838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.447194798295242,0,0,0,0,0,0.319424574464943,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.172476276967133,0,0.244137968542659,0,0,0,0,0.0521232077446373,0.182764994268644,0,0,0,0,0.181224382330933
DASH,0.189522632829845,0.142511216868766,0,0,0.0854372390259523,0.234529754595537,0,0.0874776551306781,0,0,0.0475452429223844,-0.0736363898101581,-0.118473894246278,0,0,0,0,0
XEM,0,0,0,0.0711554399345265,0,0.0429955589960133,0.277577189168284,0,0,0,0,0,0,0,0,0,0,0
DOGE,0.129215994094983,0,0,0.0907447720882262,-0.0344696341678268,0.0697936275025078,0,0.0532946689258058,0,0.00487038131194355,0,0.0411717386480567,0,0,0,0,0,0
ZEC,0,0.471803247583133,0,0,0,0.0951659816506795,0,0,0,0,0.00273794238644294,0,0.115758113855039,0,0,0,0,0.121215887094237
XLM,0,0.180373653046727,0,0,0.0074398492263035,0.050589859520106,0.188458708562432,0.0648795598339953,0.287271007871115,0,0,0.04864331004474,0,0,0,0,0,0
NEO,0,0,0.516319797981968,-0.283887750043342,0.0159569688051027,0,0.0430886854921214,0,0,0,-0.0286020369736539,0,0,0,0,0,0,-4.33680868994202e-19
DGB,0,0,0,0,0.116785272701269,0.132031493553866,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.0155783456941832,0,0,0,0,0,0,0,0
CVIX.Index,0,0.00341680857790225,0,0,0.0797847295912735,0.0522477125911616,0,0.0368320275628635,0,-0.067064832999474,-0.0407130743513009,0.0263155807561792,0.0465602638683679,0,0,0,0,0
DXY.Curncy,0.0117851649534839,0,-0.011851954073854,0.00257889765100837,0.00827931986085217,0.012459728672192,0,0.014588492330762,0.0123990075783877,-0.00705484366337305,-0.00542212336552592,0,0,0,0,0,0,0
SPX.Index,0,0.00116169828660869,0,0,-1.0842021724855e-19,0,0.00437040269563822,0.00204112147818317,0,-3.3881317890172e-21,-0.00584306803991271,0.00537419027289435,0,0,0,0,0,-0.0619022806274122
VIX.Index,-0.473350444420376,-0.357587567435116,0,0.108287611618814,0.176514444921121,0.112353288821331,0,0.0606128032701212,0,0.0340452570950226,-0.081116849382855,0.130061711815581,0,0,0.0163494493662507,0,0,0
