,BTC,ETH,XRP,EOS,BCH,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00712728067746724,0,0.11678985467713,0.0364189469125227,0.075899600022242,0,0,0,0,0.0953330533599727,0,0.0273035273322241,0,0.0112647758834299,0,0,0,0,0
ETH,0,0,0,0.147406521654895,0,0,0,0,0,0,0.175886243685011,0,0.0858349556313436,0,0.0253313237049255,0,0,0,0,0
XRP,0,0,0,0.0205734435952785,0,0,0,0.0505675760894118,0.0454319029762579,0.0208020658718495,0.246021911407313,0,0,0,0.0349343557454052,0,0,0,0,0
EOS,0,0.143384958449313,0,0,0.158104517301406,0.237717479545266,8.67361737988404e-19,0,0,0.138463226624993,0.00948062557186424,0,0,0,0.077507272269486,0,0,0,0,0
BCH,0,0,0,0.188163232080898,0,0.223510804540049,0,0,0.244486314368383,0,0,0,0,0,0.0118955817481464,0,0,0,0,0
LTC,0,0,0,0.254186506068893,0.0207329689931179,0,0.0137633463207216,0,0.0790702672314001,0,0,0,0.151734027020222,0,0,0,0,0,0,0
BNB,0,0,0,0.0811929127320626,0,0.169234912773571,0,0,0,0,0,0.446543303207834,0,0,-0.0678146041451655,0,0,0,0,0
XLM,0,0.0598992794466015,0,0.17247632252942,0.032193848820239,0,0,0,0,0.0782737263322103,0.0843222794781401,0.100711299042488,0.0125649192394763,0,0,0,0,0,0,0
ADA,0,0,0.150661710531656,0,0.303922747630978,0.0837493712493145,0,0,0,0,0,0,0.137458642178256,0,0.0646309704481247,0,0,0,0,0
TRX,0,0,0,0.226664485514569,0,0,0.0106483950563856,0.105830006061852,0.0871502002028066,0,0.0188315630524269,0.117961153016769,0.0295149175614708,0,0,0,0,0,0,0
XMR,0,0.44957624505262,0,0,0,0,0.0428068380471534,0.157120574456388,0.0195925361589581,0.0452180958755963,0,0,0.00115742951815523,0.0328319903275092,0,0,0,0,0,0
DASH,0,0.1914080676158,0,0,0,0,0.0636140664569486,0.0498738378008825,0.037910557521611,0.0428646936339304,0.199073511531665,0,0.0377965425743049,0.0227743653179298,0,0,0,0,0,0
BSV,0,0,0,0,0.0630350342800871,0.371661123712716,0,0,0.0611598697381223,0,0,0,0,0.0419601539980053,0.0386743763866246,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0154569547096039,0.011886069502618,0.0828823062285629,0,0.0171025279242419,0.0646781224755294,0.0740922763398836,0,0.0862935299113359,0,0,0,0,0
XTZ,0,0,0.377676467166512,0.480478339949309,-0.249181749511606,0,0.00547400705716869,0.454346397565552,0,0,0,0,-0.0863765963889415,0,0,0,-0.609431048647356,0,0,-0.0316549176662628
BV010082.Index,0,0.0786510967906391,0.0206696386763215,0,0,0,0,0,-0.0433336696854393,0,0.0695517082874483,0,0.0151231298098396,0,-0.0256191203859117,0,0,0,0,-0.0794583002033405
CVIX.Index,0,0,0,0,0,0,0,0.151411090413771,-0.0747595247230024,0,-0.10189292740305,-2.16840434497101e-19,0,0,-0.0939356015023041,0,0,0,0,0.0303220074634629
DXY.Curncy,0,0,0,0,0.001525051499575,0.00416438062137678,0.00221615410065954,0,0,0,0,0.0120225310477177,0,-0.023080696135975,-0.00546239207790791,0,0.0110614506567952,0,0,0.00720860535914026
SPX.Index,0,0,0,0,0,0,0,0,-0.00225254973969668,0,0.00563165683222582,0,0,0,0,0.0199129300558598,0.0024190540285327,0,0,-0.0705290168128687
VIX.Index,0,0,0,-0.107818203184315,0,0,0,0,-0.0795112019919194,0.109135670439996,0.58665039988634,-0.720966893721827,0,0,0.00879620271965952,0,0.216140917821729,0,-2.8625484507928,0
