,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,MIOTA,EOS,ZEC,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0099042889879883,0.174928939120835,0,0,0.028773585027906,0.0871953580102234,0.0074751443392855,0.0251471507247082,0,0.00484011363195767,0,0,0.0274413822184641,0,0,0,0,0
ETH,0,0,0,0,0.156698771068975,0.115045456678714,0,0,0.038451776742021,0.0359866426721817,0.185759523261335,0,0,0,0.0136506439046095,0,0,0,0,0
XRP,0,-0.0931705140623433,0,0,-0.0713817404052499,0.195766393926444,0,0,0.0484101740863244,0.0223364788632801,0,0,0.427131304516077,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.087272764460452,0.0425730617025421,0,0,0,0.163315236920882,0,0,0,0,0,0,0,0
ETC,0,0.41788336908661,-0.0668318306951438,0.165455827036235,0,0,0,0,0,0,0,0.00307568812276678,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.15535906528055,0,0,0.263878766299416,0,0.0568757155533092,0,0.0713247441593119,0.0429075745558318,0,0,0,0,0,0,0
XEM,0,0,0.054052013817851,0.162899223361915,0,0,0,0,0,0.130691633808064,0,0.0220636939364901,0.126933399909869,0.272607189486079,-0.0450358113867092,0,0,0,0,0
XMR,0,0,0,0.0477266076376881,0,0.378486468203111,0.0928705693134583,0,0,0.0438069336607255,0,0,0.0458383681320737,0,0.00528753491540706,0,0,0,0,0
MIOTA,0,0.0994133797668548,0,0.0385168878060485,0,0,0.0774170279129194,0,0,0.0102879244333489,0.0775671649884728,0.0733230301276972,0,0,0.0576151073322771,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.170857563711014,0,0,0,0,0,0.0866338184115552,0,0,0,0.0484681729126963,0.00896906036936352,0.211914144154462,0,0,0,0,0,0
NEO,0,0,0,0.383490191160959,0.067472188539071,0,0,0,0,0.0189221044357532,0.265964720989352,0,0.0483830221837046,0,0.0125541193166969,0,0,0,0,0
XLM,0,0,0.507830756270449,0,0,0,0.0301419803011089,0.248246429274857,0,0.0729178301770173,0,0.0492201777535405,0,0,0.0522870215967582,0,0,0,0,0
DOGE,0,0,0,0.139278187394089,0.0862354067935707,0,0.251544805728385,0.0327054813734823,0,0,0.0301445736077775,0.0426579384476743,0,0,0.0150165058380388,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0,0.0776974823225858,0,0,0.616855099359631,0.273574838095149,0,0,0,0,0,0
BV010082.Index,0,0,0.0230329123196187,0.0110412135055316,0,0,-0.0299732909401826,0,0,0,0.00981072556164986,0.00110260364794634,0,0.0127508566084881,0,0,0,0,0,-0.0153541127692234
CVIX.Index,0,0.0162173563527386,0.00321906050719992,-0.018116261726006,0,0,0,0,0,0.00574513432536292,0,0.00869248361858185,0,0.00231533788058948,0,0,0,0,0,0.0231603131169917
DXY.Curncy,0,0.00805179234347963,0.00120614023397084,0,0,0.00663857503114411,-0.00441940333340101,0,-0.00379105266217388,0.00110520338115835,0.00371055178678289,0,0,-0.0141905163265328,-0.00237473500818325,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,1.0842021724855e-19,0,-0.0012071775799789,0,0,0,0,0,0,0,0,0,0,-0.0469132188016184
VIX.Index,0,0.0977425118206907,0.121822311008278,-0.105825644787442,0,0,0.183921142163096,-0.0670046418522953,-0.108599912556361,0.0126342926218802,0,0,-0.041323458748756,0,-0.0182094403848372,0,0,0,0,0
