,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,NEO,TRX,MIOTA,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0418257537426009,0.00683759063963907,0,0.131320849997357,0,0.00972948660151546,0.195160244134054,0.0649916670488503,0,0.0143372892462165,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0914764589802483,0.0545970424546958,0,0.151502228080512,1.73472347597681e-18,0,0.124802710606672,0.0886524775544039,0.0631031895247101,0,0,0,0,0,0
XRP,0,0.116949880266346,0,0,0.0672941137482689,0.0632178271218601,0,0.216756115033993,0.00907336519542613,0,0.0761365407275665,0.0860735233806963,0,0.0283174486108177,0.0757645700880468,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0.291740771171124,0,0.341806036570334,0,0,0,0,0,0,0
EOS,0,0,0.126444491011685,0.168961896279731,0,0.036796779392251,0,0,0.201223161332027,0,0,0,3.46944695195361e-18,0.0302931494964154,0.0606221144559365,0,0,0,0,0
ADA,0,0,0,0,0.140238747572418,0,0,0.384302603426583,0.00164213946204964,0,0.15339939595605,0,0,0.105364800811896,0,0,0,0,0,0
LTC,0,0,0,0.090303396137542,0,0.0114440541546916,0,0.159058407996134,0.0950556371964114,0,0,0,0.19554052351576,0,0,0,0,0,0,0
XLM,0,0,0.224267654208054,0,0,0.158178095534576,0,0,0.178797457314341,0,0.0726949072542221,0,0,0.0942529688017205,0.159076893907381,0,0,0,0,0
NEO,0,0,0,0,0,0.16606075423491,0,0.125965181990776,0,0,0.15067218277631,0.159645064026764,0,0,0.169529389266542,0,0,0,0,0
TRX,0,0,0,0.411336634168669,0,0.0166098187868282,0,0,0,0,0.09704000249874,0,0.266080175991492,0.0342051488327184,0,0,0,0,0,0
MIOTA,0,0,0,0.353399512459502,0,0.0937735289900639,0,0,0.0754045004322033,0.0313198225816311,0,0.1047282455005,0.0913538311805903,0.0363573244260306,0,0,0,0,0,0
XMR,0,0.172584259967753,0.139581403006869,0,0,0,0.0260933977426516,0,0,0.0457569873829052,0.236898424932557,0,0.179219932197495,0,0,0,0,0,0,0
DASH,0,0,0,0.113030150868616,0,0,0,0.195152036358854,0.0218585760280181,0.119015861474429,0.154489829407123,0.0663539800177522,0,0.0061000269821013,0,0,0,0,0,0
XEM,0,0.222233079177322,0,0,0,0.102836337835215,0,0.322327783640389,0.0484977663857214,0.104512053537554,0.0970203060376016,0,0,0,0,0,0,0,0,0
ETC,0,0,0.066907072657083,0,0.170699695102081,0.0767137161952223,0,0.009217396156139,0.015745656975342,0.0415016815162297,0.33179863577015,0,0,0.0413720092046902,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.0119167311963496,0,0,0,0,0,0,0,0,0,-0.0327184523078701
CVIX.Index,0,0,0,0,-0.0249265818235468,0,-0.0367604787469857,0,0,-0.0264130476876327,0,-0.0156537743702436,0.0966446472428958,-0.00245810221880896,0,0,0,0,0,0.014973784455819
DXY.Curncy,0,0.0165664472432252,0,0,0.00440329715005651,0,0,-0.0171208947361984,0,-0.00410659448119223,0,0,0.00202297703786475,0,0.0115464387316278,0,0,0,0,-0.00816303166216397
SPX.Index,0,0,0,0,0,0,0,0,0,-0.000135431053863395,-0.00650692855348645,0,0,0,0,0,0,0,0,-0.110932153694134
VIX.Index,1.73472347597681e-18,0,0,0,0,-0.0639830505083748,0,-0.0411458884190274,0.205455269857558,0,-0.057574576255115,0,0,0,0,0,0,0,-4.8341940365565,0
