,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.189872123686392,0,0.0390231380502175,0.0262744289959474,0,0.102092033106027,0.0493643605658685,0.0546617572105813,0,0,0.0751415338002392,0.0309205950424788,0,0,0,0,0
ETH,0,0,0.0274535768582628,0.0495073892726996,0,0,0.105681821017338,0,0,0,0,0.042625090666736,0.160931077094877,0.0491022791857208,0.170220997563663,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.231477500029178,0,0,0,0,0.200422609811968,0.158974920429651,0.071627922125191,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0372708707943814,0,0.117962147902689,0,0.111984614946686,0.251786139534159,0,0,0.132131515847848,0,0,0,0,0
LTC,0,0,0.0492028520758179,0.145773535879791,0,0,0,0,0.0879325223538019,0.1245328977455,0.0294503658300329,0,0,0.00899874519590737,0.150481875515858,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.12949212985868,0.051241053614537,0.051863760261867,0,0,0.0943678064734619,0.123218543888624,0,0,0,0,0,0
NEO,0,0,0,0.121093241984313,0,0,0,0.0703083173275894,0.0485876994728583,0,0,0,0.187428009401653,0,0.239418821052663,0,0,0,0,0
XLM,0,0,0.0373768978085013,0,0,0.566027127795206,0,0,0,0.0585095044255602,0,0,0,0,0.0367630152189047,0,0,0,0,0
XMR,0,0,0,0.027060210655027,0,0,0.0856431107934668,0,0,0.088503428951437,0.0838067062288438,0.136857342403953,0.0685199510584318,0.000369796241776115,0.137024549615269,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0860716341808915,0.0288342908987711,0,0,0,0.0960970011638265,0.136227206188731,0.336232172644203,0,0,0,0,0
MIOTA,0,0,0.105101051771178,0.22570259757627,0,0,0,0,0.143595884650037,0.124363869965697,0,0,0.0646733538127039,0.0506884013838586,0,0,0,0,0,0
DASH,0,0,0.0667184540239035,0.0354563440035085,0,0,0,0,0.244579035551924,0.124918095278386,0,0,0,0.0871988596370526,0.0801899770791293,0,0,0,0,0
XEM,0,0,0,0.0207271376174042,0,0.0906766846242509,0.0349683204502571,0.130193902868339,0.13947248033646,0.0249629462946483,0,0,0,0.00195843348452475,0,0,0,0,0,0
TRX,0,0,0.584872285514317,0.113713332872911,0,0,0,0,0,0,0,0,0.220811184419133,0,0,0,0,0,0,0
ETC,0,0,0.092648408718761,0.216963106195042,0,0,0.21664385228101,0,0,0.191388726322672,0,0,0,0.109199791314364,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0,0,0,-0.0347583132914039,0,0.0607567569041477,0,0,-0.00973881086582672,0,0,0,0,-0.0257184400886475,0,0,0,0,0,0.0461312593496679
DXY.Curncy,0,0,0,0,-0.00972363664491101,0,0,-0.00843081760254718,0,0,0,0,0,0,0.00373559828996224,0,0,0,0,0.00972251333797064
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541713068417683
VIX.Index,0,0,-0.0109876311806651,0,0.0946889883308245,-0.0270548695916211,0,-0.0444704805329525,0.114012627530406,-0.0719366659485478,0,0,0,-0.0295911254518028,0,-2.40509863377584,0,0,-2.42248107880066,0
