,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0775675554151852,0.0478604371524007,0,0.0170379140074775,0.0927339122650888,0.149441226901943,0.0108370600949084,0.0434050735411424,0.0615012485923403,0,0.0565032190012098,0,0,0,0,0,0
ETH,0,0,0.0752122193581174,0.0868158505065698,0,0.137514152866845,0,0,0,0.238592718352189,0,0.0550887943275259,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0276919882833986,0.0802887784045158,0,0.0659792564176739,0.228212594690648,0,0.179092275890585,0,0,0,0,0.09745458347195,0,0,0,0,0
BCH,0,0,0.161962317078579,0,0,-8.67361737988404e-19,0,0,0.317525911234645,0,0,0.0140125470743165,0.103136887771884,-1.0842021724855e-19,0,0,0,0,0,0
EOS,0,0,0.162245094000592,0.187745638514825,0,0,0.0290270178096344,0,0,0,0,0.0378853084222619,0,0.0133325253436955,0.135979894014375,0,0,0,0,0
LTC,0,0.0680127987335244,0.0325822597017346,0.251523520332957,0.00640922996635453,0,0.0739480809576682,0.0668018815155428,0,0.0652683570892709,0,0,0,0.00191026106378881,0.071552440985025,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.273436530566146,0,0.272122350810115,0,0,0,0.17238710955977,0,0,0,0,0,0
XLM,0,0,0.201566038233521,0.0352530304451744,0,0,0.12936457894601,0,0,0,0,0.16766837282812,0,0.16340435728491,0,0,0,0,0,0
MIOTA,0,0,0.22615631915948,0.345869912279893,0,0,0.0785922859713333,0,0,0.120464052421872,0.0675893889952103,0.0416627307740535,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0782714680519811,0,0,0.23982374242737,0.179606633475139,0,0,0.0194470782188346,0,0,0.17359584541636,0,0,0,0,0
TRX,0,0,0,0.325612523857405,0,0,0,0,0.145289948167823,0,0,0.0366848573201899,0.08542766991604,0.0474027422747248,0.10025166124014,0,0,0,0,0
XMR,0,0,0.0252777014342563,0.104148392564657,0,0.32624089350647,0,0,0.0562574286112715,0.0414757109035316,0.0699783015179979,0,0.242882133362508,0,0,0,0,0,0,0
DASH,0,0,0,0.0919896707642871,0,0,0,0.249701935439304,0,0.0410747912626657,0.12768314990712,0.0871450840177394,0,0.0109756600787583,0,0,0,0,0,0
XEM,0,0.194476521021302,0,0.00251824673289041,0,0,0.119293531472882,0.288555543856361,0,0.18608869999149,0.104827037757326,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.169670613914262,0,0.0737323647362541,0.118585735264998,0.191044379100568,0.0382201350021773,0.0631643909918924,0,0,0.0402990684727106,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,-0.0104652875234304,0,0,0,0,0,0,0,0,-0.0240377069106492
CVIX.Index,0,0,0,0,-0.0136267002823337,0,0.0199425431545048,0,0,0,0,-0.0347627923935834,0.0328385106698453,0,0,0,0,0,0,0.0173731700307684
DXY.Curncy,0,0,0,0,0,0,0.00742288531653033,-0.0422453175344421,0,0,-0.0133882165617855,0,0.0402665852732486,0.00298128523866649,0.00328045011069424,0,0,0,0,-0.00535489291349504
SPX.Index,0,0,0,0,0,0,0,0,-0.003286525173634,0,0,0,0,-0.000412075115823898,0,0,0,0,0,-0.0993844548435962
VIX.Index,0,-0.147378090319457,0,0,0,0,0,0,-0.122413606603795,0,0,0.356826846564503,0,0.0909746490089046,-0.128484469315867,0,0,0,-4.47702734781446,0
