,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.109382270076576,0,0,0.0371114372751297,0,0,0.0962095722141986,0,0,0,0.148484534615656,0,0,0,0,0,0
ETH,0,0,0,0.0479373381581949,0,0.140714338163147,0,0,0,0.128931506923918,0.074629396091128,0,0,0.208486470733464,0,0,0,0,0,0
XRP,0,0,0,0.00857221317184556,0.0480436653686184,0.0662490616708941,0.0807676779536625,0.0503846244201867,0,0.0921383036088904,0.0266596068950494,0,0.0178491429925776,0.328454609941228,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0277759628386024,0.171985904331806,0,0.207469412107595,0.164100028357961,0,0,0.0778749845005873,0,0,0,0,0,0
EOS,0,0,0,0.178844953300744,0,0,0,0.077475551562967,0,0,0.280740456606502,0,0.141550337332034,0,0,0,0,0,0,0
LTC,0,0,0.269170594220415,0.10734564923436,0,0,0,0.0493083211431302,0,0.0431400234780249,0.102770802882529,0.0169851548067786,0,0.08106301762389,0,0,0,0,0,0
XLM,0,0,0,0,0.0995217584660485,0,0,0.117596154158994,0,0.1102516076894,0,0,0,0.319488413974832,0,0,0,0,0,0
ADA,0,0,0,0.0854699169963402,0.048236068032768,0,0.292555231832867,0,0,0.218660535856268,0.087058668496867,0,0,4.33680868994202e-19,0,0,0,0,0,0
TRX,0,0,0,0.217160942731156,0,0,0.396532417604523,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.24720968983797,0,0,0,0.102377035679975,0,0,0.0875670123567864,0,0,0.306590639407227,0,0,0,0,0,0
NEO,0,0,0,0,0.057740956588673,0,0.180769569686123,-2.16840434497101e-19,0,0.153649148543716,0,0.0419266101551283,0,0.0926698804316773,0.194924977097566,0,0,0,0,0
DASH,0,0,0,0.108329198675512,0,0,0.230679891657216,0,0.0592646856486684,0.148710613648252,0.0342060301415881,0,0,0.0207189811332624,0,0,0,0,0,0
XMR,0,0,0.261777686319182,0.0658028999578768,0,0,0.0887993286574092,0.0603616746808163,0,0,0,0,0,0.204741658247681,0,0,0,0,0,0
XEM,0,0.190968187507993,0,0.00599432446893549,0,0,0.193593476354239,0.0583369118453879,0.0516738784706755,0.0618962580273156,0.0790141451028153,0,0,0,0.19023760264775,0,0,0,0,0
ETC,0,0,0.163274969468401,0,0.0920830173669154,0.0123634971697267,0.0522119944439921,0.09431420239956,-8.67361737988404e-19,0.0959176575687683,0.0293746341227384,0,0,0.130615534409131,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229157674347803
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0.00152557143172988,0,0,0,0,0.00356584202751791,0,0.0136223875683128,0,0,0
SPX.Index,0,0,0,0,0.00389879798690728,0,0,-0.010643490987436,-0.00540261405052625,0,0,0,0,0,0,0,0,0,0,-0.119968689334249
VIX.Index,0,0,0,-1.73472347597681e-18,-0.109102970097894,0,-0.192383543879968,-0.0823424548840008,0.0741061965086605,0,0.264341778108469,0.0800204034341147,0,0,0,0,0,0,-3.72701778923787,0
