,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,MIOTA,ETC,XLM,ADA,ZEC,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.120945300999555,0,0.0194309082931824,0.0555811240098991,0,0.114647761513903,0,8.67361737988404e-19,0,0.0080436006430319,0,0,0,0,0,0
ETH,0,0,0,0,0.18903721499527,0,0.0559196373113985,0.0169839431923889,0.0394044483913592,0.0995091026674934,0,0,0,0.0272833207838951,0,0,0,0,0,0
XRP,0,0.259955019007688,0,0.0432845421043495,0,0,0.176743415961835,0.0480549904240056,0.0454399270396887,0,0,-0.02249602226337,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.143063189347598,0,0,0.144924252343176,0.0386960241032214,0,0.206165878438426,0.0519037676377648,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0519445760628476,0.0622309948208019,0,0,0.716208750546756,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0839310683353747,0.105539076370998,0,0.0408256057376026,0.0197865567684456,0,0.0736918137352506,0,0,0,0.24258930815305,0,0,0,0,0,0
XEM,0,0.160261965434456,0,0,0.0349226351658148,0,0,0.034955987761859,0,0.0904867401301964,0,0.0497620625004356,0,0.0596718463326861,0.00921502896354652,0,0,0,0,0
NEO,0,0,0,0.0201937059520783,0.0737589698795585,0.0558822800230726,0.216647171026303,0,0,0.00307583971936339,0,0.111482786949343,0,0,0.153312896543611,0,0,0,0,0
XMR,0,0,0.121404478567541,0.0135251735248767,0.0653780491394976,0,0,0.0101820112232329,0,0.0370599523184113,0,0.0510000439226707,0,0.196817523775523,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.136599392934312,0,0,0,0,0,0.0728337922724719,0,0.303588282712439,0.331458625649288,0,0,0,0,0
ETC,0,0,0,0,0.435498646585014,0,0,0,0,0.143580753512351,0,0.0198072313822374,0,0.0242648354491733,0,0,0,0,0,0
XLM,0,0,0,0.094747881435731,0,0,0.148130335535691,0.0881274151313098,0.139638483676814,0.153783452740706,0.178649442569697,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0.297056097137726,0,0.0325256815241174,0.0765460694792065,0.00386628640288791,0.0902410621538637,0.0511641129454591,0,0,0.173265724606431,0,0,0,0,0
EOS,0,0,0,0,0.210675327525977,0,0,0.177990388370389,0.0226422172411693,0.0753806290314066,0,0.0261995805111172,0,0.0979681634615494,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0227922255557186,0,0,0,0.00969823379996046,-0.00620253869004148,0,0,0,0,0,0,0,0,0,0,-0.0458868184330201
CVIX.Index,0,0,0.00839600599092009,0.0142403983016738,0,0,0,0.0128021241730544,0,0,0,0,0.016195903360949,-0.0498879900144064,-0.0137906180199171,0,0,0,0,0.00686634568548488
DXY.Curncy,-0.00173559757283226,0,0,-0.00175233601549609,0,-0.024061869003102,0,0.00499199371267941,0.00103731365577447,0,0,0.000902548864398241,-0.00684805808291755,0.00638972326771937,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00356126637593558,0,0,0,0,0,0.000169878629380927,0,0,0.000534473132940686,0,0,0,0,-0.0334148723345055
VIX.Index,0,0.239623336384329,0,0,0,-0.256089556703568,0,-0.029146548552356,-0.0105179639846488,0.0825691333723222,-0.0595120603819396,0.0339802452676774,0.0755670715858862,0,-0.0637480703107162,0,0,0,0,0
