,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,DASH,XMR,ETC,XEM,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.233171967611962,0,0,0.105472435368802,0,0.0837227778981105,0,0,0.00345606522606109,0.049046648248538,0.0336893006282984,0.0260147417252072,0,0,0,0,0
ETH,0,0,0,0.0593785082280033,0,0,0.112544034467098,0,0,0,0,0,0.123632895845224,0.171461498358546,0.0599243459167423,0,0,0,0,0
XRP,0,0,0,0,0,0.133713350395526,0,0.074614958520787,0,0,0,0,0.18118734293389,0.147061376059393,0.106317738255272,0,0,0,0,0
BCH,0,0,0,0,0.292438486140402,0,0.113932414415831,0,0,0,0.275601881342588,0.0376356653745781,0.0706501756946913,0.0113570562037933,0,0,0,0,0,0
LTC,0,0,0,0.230217920801589,0,0,0,0,0.0862415529893922,0,0,0,0.157537872265256,0,0.00580578643260921,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.111487729244099,0.102697586578712,0,0,0.0552281474014191,0,0.131262657629471,0.113578300668321,0,0,0,0,0
NEO,0,0.191991386550048,0,0.0965132212193867,0,0.110124651740605,0,0.100347369932009,0,0,0,0.0102015053263068,0.146022849317876,0.132614769921657,0,0,0,0,0,0
XLM,0,0,0.239714759626446,0,0,0.281322819224971,0.118624036661734,0,0,0,0,0.0338069875094708,0,0.0660260444074301,0,0,0,0,0,0
EOS,0,0,0,0.0983839203202658,0,0.0277237629374556,0,0,0,0,0,0.127831139975316,0.191525731290738,0.0897389367533529,0.0851479516201643,0,0,0,0,0
MIOTA,0,0,0.0115739486984891,0.126593334755359,0.0665866423307792,0.0853941292133279,-8.67361737988404e-19,0,0.167654997792578,0,0,0.0259242279452021,0.176912749843549,0.0665464401259013,0.0239100277304693,0,0,0,0,0
DASH,0,0,0,0.119267487501263,0,0,0,0,0.0550843688292052,0,0,0.18850400524076,0.119890924915519,0,0.110929979084248,0,0,0,0,0
XMR,0,0,0,0.0846890276873205,0,0,0.100627833487091,0,0.0359969204298179,0.13282959068121,0.165246875448968,0,0.167002722205195,0.0651800771124595,0.0141476974849346,0,0,0,0,0
ETC,0,0,0.039646291020474,0.259797170327511,0,0,0.0657699786401346,0,0.15172144133953,0,0,0.138909337272051,0,0,0.0867845101775732,0,0,0,0,0
XEM,0,0,0.0372190475163819,0.0320006557787761,0,0.0309017454511035,0.0252447680625423,0.181227688414146,0.00925162740816835,0,0,0.182696197625404,0.023563774899999,0,0.0135651363716366,0,0,0,0,0
TRX,0,0,0.356777769849182,0,0,0,0,0,-1.73472347597681e-18,0,0.288818425750861,0,0,0.288477901385518,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430504810348026
CVIX.Index,0,0,0.0476272818342271,-0.0482907651597693,0.0196126444263013,0,0.00629796284144388,0,0,0.0377149791075583,0,-0.049086125723855,0,0.0176321269192138,-0.0270162878487282,0,0,0,0,0.0445004956500962
DXY.Curncy,0,0,0,0,0,-0.00936458164631624,0,0,0,0,0,0,0.00171380643072592,0,-0.00235744533979391,0,0,0,0,0.00981109122174252
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651242001035
VIX.Index,0,0,-0.0295433987469748,0,0.00209654385502934,0,0,0,-0.0723291338098656,-1.73472347597681e-18,0,0.207325167865807,0,-0.0675133802678069,-0.0276114564054028,-1.87214033328941,0.400772576582631,0,-0.0630700729012594,0
