,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.140740618144159,0,0,0.00310456123215286,0,0.108522238165075,0,0,0.12556701873284,0,0,0.0480978312474105,0,0,0,0,0
ETH,0,0,0,0.159238517305855,0.0861519461181449,0,0,0,0,0.112592481918487,0.0268105992496107,0,0.0710846782912194,0.0573444230979411,0,0,0,0,0,0
XRP,0,0,0,0,0.203189019177597,0,0,0,0,0.214326987775443,0,0,0.04526162994486,0.0790558563485519,0,0,0,0,0,0
BCH,0,0,0.0787509717401146,0,0.13449400517048,0,0,0.271492071673215,0,0.0586397558271175,0,0.0423411231330984,0.0684694716408689,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0693487817430812,0,0.0702894346590368,0,0.278777238463621,0.136765639786779,0,0.0267764009691544,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.11332525750329,0.107146829233522,0.0345021076424243,0,-3.46944695195361e-18,0.266856320017728,0,0,0,0,0,0,0
LTC,0,0,0,0.346937127573489,0,0,0,0.0520262410650789,0,0.198686089281505,0.0370951967387778,0,0,0.0386115293048436,0,0,0,0,0,0
ADA,0,0,0,0.117856484913942,0,0.23932507178728,0,0,0,0,0.118522328705159,0.27881387868777,0.0714618782667605,0,0,0,0,0,0,0
XMR,0,0,0,0.316004454646867,0,0.0144006224899907,0,0.0455048620201269,0,0.100785397749061,0,0,0.0957997680153583,0,0,0,0,0,0,0
MIOTA,0,0,0.353873760496157,0,0,0,0,0,0,0,0,0.235827152202103,0.374562288390147,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0909867752237679,0,0,0.0612153501657837,0,0.0574681846929188,0,0.103643939233129,0.18594041432692,0,0,0,0,0,0,0
TRX,0,0,0,0,0.00854439314908343,0,0,0.0632768966411955,0,0.155426993398058,0,0,0.294205988750033,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0430795456268495,0,0,0,0.125389345145102,0.351393080046155,0,0.274939652144537,0,0,0,0,0,0,0,0
ETC,0,0.395765634474362,0,0,0,0.0107277771727302,0,0,0,0.205057053264902,0,0,0,0,0.170835204171426,0,0,0,0,0
XEM,0,0,0,0,0.143391162947699,0.0970028054039426,0,0.0355202617634217,0,0.060895184116946,0,0.0132490913022791,0.199108999356401,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088012880144798,0,-0.0510727592323937,0,0,-0.0390530838085666
CVIX.Index,0,0,0,0,0,0,0,0.0381765135792646,0,0,0,0,0,0,0.0648317604172673,0,0,0,0,0.0906148806996746
DXY.Curncy,0,0,0,0,0,0.00742016788337876,0,0,0.00461766753251629,-0.0150731625164819,0.00705748678049372,0,0,0,0.0033516978648846,0,0.0655453457636755,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.060800074799547
VIX.Index,0.459872782678336,0,-0.109324210536913,-0.137640908988515,0,-0.223039925920328,0,0,0,0.215708765862171,-0.161198730561967,-0.0934052027199317,0,0,0,0,0.4061178241684,0,-3.26287026237138,0
