,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,MIOTA,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.171632251970609,0,0,0.0260297300968589,0.0987430647023085,0.00225018331555815,0.0241336900409756,0,0.0054145392269124,0,0.0108553358902189,0.0281737160803864,0,0,0,0,0
ETH,0,0,0,0,0.156108049633602,0.0925786488455824,0.035856387498548,0,0.0424500044734371,0.0256009932893563,0.196682007424047,0,0.00488570225379923,0,0.0142482768589851,0,0,0,0,0
XRP,0,-0.101246083252353,0,0,-0.0722763911940651,0.140443224517694,0,0,0.0544937309881378,0,0,0,0,0.455608835124254,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.126516014431722,0,0,0,0,0.15892411636144,0,0,0,0,0,0,0,0
ETC,0,0.376206323613992,-0.080833215069274,0.143514277982548,0,0,0,0,0,0,0.0560760306729494,0.0122694253642028,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.125073221866785,0,0,0.225204315891342,0,0,0,0.0762265066522458,0,0.0414632169109721,0,0,0,0,0,0
XEM,0,0,0.12174751395109,0.225051141177438,0,0,0,0,0,0.126539100934642,0,0.011386762595423,0.296360010664228,0.0686658573395464,-0.051222890812154,0,0,0,0,0
XMR,0,0,0,0.152411274271422,0,0.324732946542578,0.0922455824297816,0,0,0,0,-0.024149421284229,0,0.134887203299161,0,0,0,0,0,0
MIOTA,0,0.0532493131865375,0,0,0,0.0946011646038454,0.075811107718876,0,0,0.00356958868022526,0.0752590625461865,0.0353320378245856,0,0.0831359049907063,0.0457371735221891,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.124116342068611,0,0,0,0,0,0.0231623072994188,0,0,0,0.0522635115417298,0.175631564039226,0.150116380982433,0,0,0,0,0,0
NEO,0,0,0,0.467201771518933,0.0922766158282138,0,0,0,0,0.0217938185457261,0.276744114243592,0,0,0,0.041454711317163,0,0,0,0,-0.00703107060506629
DOGE,0,0,0,0.138485713046312,0.0389677908785932,0.0798411487504326,0.251755342481225,0.00957770879880042,0,0,0.0554156169127856,0.0590679697906213,0,0,0.016528200857757,0,0,0,0,0
XLM,0,0,0.536360295725261,0,0,0,0.035338654884889,0.248023567809728,0,0.0735961861588275,0,0.0580218184667695,0,0,0.0479231150144641,0,0,0,0,0
DGB,0,0,0,0,-0.0822310327599875,0,-0.0439959736583343,0,0,0.0830124487784274,0,0,0.381451967091159,0.601670284620399,0,0,0,0,0,0
BV010082.Index,0,0,0.0300001957014301,0,0,0,-0.0343954988926942,0,0,0,0.0117684068969501,0.00284052208928183,0.0135388560241716,0,0.00113685462312179,0,0,0,0,-0.0102105391529384
CVIX.Index,0,0.00584571253759014,0,-0.0260845647397575,0,0,0.0243221461407501,0,-0.020314179118196,0.00296150541341271,0,0.00891950594886646,0,0,-0.000553185670098503,0,0,0,0,0.0124001714732191
DXY.Curncy,0,0.00784583182534097,0,0,0,0.00449711809588805,-0.00394251510646346,0,-0.0044172142760652,0,0.00344075099007092,0,-0.0140742402184307,0.00251246539070507,-0.00166463579859373,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,-0.001385996886331,0,0,0,0,0,0,0,0,0,0,-0.0467274814275376
VIX.Index,0,0.0631065378897394,0.0801701445770863,-0.120899561999503,0,0,0.186548837928468,-0.0308690496451577,-0.144970514483347,0.00839743861949567,0,0,0,0,-0.0266729263301881,0,0,0,0,0
