,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,XMR,MIOTA,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.255476821769942,0,0,0.0137878335443733,0,0.0595063787512063,0,0.0361232971967538,0,0.0895953624296066,0.0189601237251246,0.0212641975972687,0,0,0,0,0
ETH,0,0,0.016433575822347,0.0131224173843954,0,0,0.119009871424237,0,0,0,0,0,0.161020913615848,0.171485355251218,0.0651299690830167,0,0,0,0,0
XRP,0,0,0,0,0,0.212169039823453,0,0.125794268548179,0,0,0,0,0.160579281964056,0.0842532607496831,0.12241784323847,0,0,0,0,0
BCH,0,0,0,0,0.197688376880113,0,0,0,0,0,0.294458530940686,0,0,0.219535917130092,0,0,0,0,0,0
LTC,0,0,0,0.217357083159793,0,0,0,0,0.107615139858711,0,0,0,0,0.152013989802029,0.0278087691328147,0,0,0,0,0
ADA,0,0,0.0631636354826024,0,0,0,0,0.111006446053174,0.0602940509140769,0,0,0.0498234719286124,0.121831645378592,0,0.0942520760164394,0,0,0,0,0
NEO,0,0,0,0.129909098750255,0,0,0,0.0698848009079331,0,0,0.066299191913457,0,0.185156753909794,0.252130074839051,0,0,0,0,0,0
XLM,0,0,0.152144929377941,0,0,0.298956495100843,0.0895826020569825,0,0.0490882075108075,0,0,0.0507468962554046,0.0439691245502105,0.026866425378152,0,0,0,0,0,0
EOS,0,0,0,0.129390506286605,0,0.0719375547396643,0,0,0,0,0.187227195015157,0,0.0347224355083805,0.218486438024368,0.0837500685730477,0,0,0,0,0
DASH,0,0,0.0159960223086438,0.0722637987785349,0,0,0,0,0.0776857576708136,0,0.118951914665066,0.0722260181379552,0,0.11868104394912,0.102287971500033,0,0,0,0,0
XMR,0,0,0,0.199431680658275,0,0,0.135582127400216,0,-4.33680868994202e-19,0.176579761631001,0,0,0.0281285045245838,0.104046715300202,0.0416191151957104,0,0,0,0,0
MIOTA,0,0,0.0543434264271263,0,0,0,0,0,0.00824842472821334,0,0.0558651226263424,0,0.196558232574582,0.253600897743897,0.0520160892793384,0,0,0,0,0
XEM,0,0,0.00607716131278848,0,0,0,0.00855802089898812,0.18557921981915,0.0207933009032281,0,0.103293601373683,0.142934423912992,0,0.0992582699124541,0.00762364329842712,0,0,0,0,0
ETC,0,0,0.0350347791409087,0.235331794373824,0,0,0.0559425245302756,0,0.264297382203134,0,0,0.0540164796976546,0,0,0.0120672979132995,0,0,0,0,0
TRX,0.338723161200248,0,0.215530348480754,0.368529969993749,0,1.38777878078145e-17,-0.0412171121989121,0,0.042441655057972,0.105117109087155,0,0,0,0,0,0,0,0,0,0.0497865951360442
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0.00408898862970681,0,0.0219577388495826,-0.051468180061242,0.0372724487782105,0.00810417803848259,0,0.0254247016607086,0,0,-0.00283102964723258,0.0267230761658174,0,-0.0303337870228993,-0.0186582255022493,-0.257618843871578,0,0,0,0.0327866447079009
DXY.Curncy,0,0,0,0,0,-0.00867274159710275,0,0,-0.00119176252030004,0,0,0,0,0,0,0,0,0,0,0.00537700252158546
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054465122502482
VIX.Index,0,0,-0.0309025112565479,0,0.0459361579529146,-0.0178394873452725,0.00735018859724632,-4.33680868994202e-19,0,0,0,0,-0.0090145662059162,0.0130095261565943,-0.0114013239527116,-1.82726306283269,0,0,0,0
