,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,ZEC,EOS,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0352739801648236,0.17967449328332,0,0,0.0199351225128214,0,0.170013287198157,0,0.024563066686625,0,0,0,0.0281271943457169,0,0,0,0,0
ETH,0,0,0,0,0.167333270859568,0.129958288744941,0,0,8.67361737988404e-19,0.188153379692961,0.0391144986474556,0,0,0.0845228432068441,0.0237095761539601,0,0,0,0,0.0737791126271425
XRP,0,-0.0514067471407901,0,0,-0.123409299053006,0.274656017547714,0,0,0,0,0.0150842044988676,0,0.46337133416224,-0.0389294255121449,-0.00603888895797997,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0292243867712197,0,0.0923906635432721,0,0,0.168346500946975,0,0,0,0,0,0,0,0
ETC,0,0.405110314265169,-0.0846464991160007,0.179904366668714,0,0,0,0,0,0,0,0.0195470935960494,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0672875446711724,0,0,0,0.310491726846108,0,0,0.0757197766104608,0.0236534493703182,0,0,0,0,0,0,0
XEM,0,0,0.0947302652714432,0.162770926225941,0,0,0,0,0.00787145867683589,0,0.102211161698652,0.0186448527959717,0.0980520408374149,0.289101489949348,-0.048634622024778,0,0,0,0,0
MIOTA,0,0.099414133976847,0,0.0385177039544096,0,0,0.0774161279978603,0,0,0.0775667744041349,0.0102876845962676,0.0733232680968439,0,0,0.0576146778164111,0,0,0,0,0
XMR,0,0,0,0.025967889230802,0,0.418642535891904,0.111786711970602,0,0,0,0.0410521709366289,0,0.0666574118666907,0,0.00567869262621194,0,0,0,0,0
ZEC,0,0.193065882531533,0,0,0,0,0,0,0.074402109448823,0,0,0.0577337770740884,0,0.140273074595591,0.0199049590024323,0,0,0,0,0
EOS,0,0.10400954395384,0.0572626999617855,0,0,0,0.0611509253071117,0.200574548401954,0.0246182203148378,0.0547015159685794,0,0.0400287680367256,0,0,0.0313888250830547,0,0,0,0,0
NEO,0,0,0,0.463388567248719,0.222011859613782,0,0,0,0,0.243611729356404,0.0135588417798949,0,0,0,0.0334638727019667,0,0,0,0,-0.0746625427027836
XLM,0,0,0.499893052235141,0,0,0,0.0300713701228495,0,0.248191413703849,0,0.0732356775212238,0.049949699706909,0,0,0.0542476870685296,0,0,0,0,0
DOGE,0,0,0,0.0902919936700948,0.0959810717832148,0.272500166084703,0.231705060465864,0,0,0,0,0.0119805137959373,0,0,0.0216728485855704,0,0,0,0,0
DGB,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0.0769084616796307,0,0.593310537877024,0.258501172838872,0,0,0,0,0,0
BV010082.Index,0,0,0.015399656215516,0.00311893720192238,0,0,-0.0322360126276003,0,0,0.0104260451107432,0,0.00197798042832924,0,0.00860478316541135,0.00367278692941701,0,0,0,0,-0.0243861770863926
CVIX.Index,0,0.0172376376968569,0,-0.0187896339576067,0,0,0.00524702782626786,0,0,0,0.00542414746323696,0.00919257197582526,0,0.000986598118895668,0,0,0,0,0,0.0224053256529781
DXY.Curncy,0,0.00489757692666329,0,0,0,0.00525716262300655,-0.0063373945591419,0,0,0,0,0.00130146842656891,0,-0.00772558830578247,-0.00275445711190759,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,-0.00120729249631395,0,0,0,0,0,0,0,0,0,0,0,-0.0469133250508851
VIX.Index,0,0.096337924013593,0.120434036003837,-0.103672221020571,0,0,0.187552551711527,-0.106833238256729,-0.0708037077989092,0,0.0125627799502122,0,-0.0425658070241053,0,-0.0176801844990713,0,0,0,0,0
