,BTC,ETH,XRP,BCH,XEM,LTC,MIOTA,DASH,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0943643379239513,0.1610144077088,-5.42101086242752e-20,0,0.023199388175064,0.0267162913678142,0,0.0308027932228027,0,0,0.0303602133545688,0,0,0,0,0
ETH,0,0,0,0,0.0405580199466427,0,0.055159935501909,0.0912362230235556,0,0.0367575461252862,0.136502426445669,0.017792862532706,0.026583862686873,0.0221803191864779,0.0610952611100901,0,0,0,0,0
XRP,0,0,0,0,0.0340186197580398,0,0.0826317768618211,0.0142972117949909,0,0,0,0.0170069802718638,0,0.0283632204193278,0.353012683809072,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0339450821952253,0,0,0,0.0623136834073689,0,0,0.0289377111055043,0.123299455732396,0.120025360679027,0,0.0693171689236915,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0490366216397532,0,0.175311250639004,0.0757286855964886,0,0.0892068395214401,0,0,0,0,0,0,0,0
MIOTA,0,0.219422599170279,0,0,0.172411974572153,0,0,0,0,0.0765851658646383,0,0,0,0.102512786746457,0.0878212212817057,0,0,0,0,0
DASH,0,0,0,0,0.0493705604458641,0,0,0,0,0.0752819041138186,0.195049426634973,0.0162218215602282,0,0.111614235739521,0,0,0,0,0,0
ETC,0,0.118251719081265,0,0,0,0.125781805882107,0,0,0,0,0.164428531384195,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0900438989375818,0,0,0.0768895214397128,0,0,0.0081020065960621,0.0260030758397213,0.422471442441883,0.115040057526115,0,0,0,0,0,0
XMR,0,0,0,0,0.0572249267731983,0,0.0318689186937924,0.196570884874886,0,0,0,0.0417389882497053,0,0.24341358932984,0.170730977968677,0,0,0,0,0
EOS,0,0.0912538695684825,0,0,0,0,0.169738929704266,0,0,0,0,0,0.21245248206759,0.022485221536475,0.307666462138984,0,0,0,0,0
ZEC,0,0.190201665601741,0,0,0,0,0.083136743231094,0,0,0.0187350060171392,0.22035231531752,0.0233592710813607,0,0.0724895693620365,0,0,0,0,0,0
XLM,0,0,0,0,0.10971700768387,0,0.020515832897802,0,0,0.0516813230768224,0.504082702332901,0.0707309924173305,0,0,0.086551643486453,0,0,0,0,0
DOGE,0,0,0.0868553093702269,0,0.142669551162948,0,0.0944593771760815,0,0,0,0.246052530233487,0,0,0.103732075900097,0,0,0,0,0,0
BV010082.Index,0,0.0213541112659075,0,0.0118300906848813,0,0,0.00628348610197855,0,-0.0262977256502346,-0.00459245126513242,0,0,0.0111280782080022,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,-0.0253896715156299,0,0,0,0.00849646101822202,0,0.00867234439701961,0,-0.0321367759669445,0.0282907024046749,0,0,0,0,0
DXY.Curncy,0.0196141175843196,-5.42101086242752e-20,0,0,0,0,0,0,-0.000692354852976452,0,0,0.00186881162086763,0.00636641486902363,-0.0180190077174572,0,0,0,0,0,-0.00404430631128624
SPX.Index,0,0,0,0,0,0,-0.00104169467621286,0,-0.00356546201124849,0,0,0.000171152131409255,0,0,0,0,0,0,0,-0.0475990233613404
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310470294640221,0,0,0,0,0,0
