,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.19591871736472,0,0.0169505647818478,0,0,0.0505638326206218,0,0.0420751333851506,0.158908958786236,0.0883996943617645,0.0169049389557569,0.0152273245748258,0,0,0,0,0
ETH,0,0,0.0205818538220832,0.0875325428450437,0.12138378833481,0,0,0,0,0.279396893506403,0.0123750505498461,0.0706883602946643,0.0158042092993612,0,0,0,0,0,0,0
XRP,0,0,0,0.0420902701504101,0.0680201408961551,0,0,0,0,0.210407755926981,0.107295019155848,0.152500401939774,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0815364187834905,0,0.0115615024373632,0.336629878340718,3.46944695195361e-18,0,0,0.0866984324532993,0.0391655401769023,0,0,0,0,0,0
LTC,0,0,0,0.151253038865564,0,0,0,0.128012160216911,0.154000070713772,0.0717812426157217,0,0.0155400902966193,0,0,0.133798105475823,0,0,0,0,0
EOS,0.098918590465353,0,0.0631933185689569,0,0.0581953531211473,0,0,0,0,0.0579969100559375,6.93889390390723e-18,0.00121394752140817,0.282076103365393,0,0.172548056852279,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.220165431097539,0,0.275283962213608,0,0.100838891726711,0,0,0,0,0,0,0,0
XLM,0,0,0.122653905806775,0,0,0,0,0,0,0.194478583964279,0.182557928267816,0.167442101105184,0,0,0.0150338276514666,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0.211131668969138,0.0943959752897791,0.144219202568299,0.190517732024932,0.0592060628828573,0.0971519087620769,0,0,0,0,0
NEO,0,0,0,0,-1.0842021724855e-19,0,0.210608676234074,0.106996975460584,0.0847442587025068,0,0,0.0785953021473794,0,0,0.145270062955295,0,0,0,0,0
XEM,0,0.162738003005455,0,0,0,0,0.152680405933929,0.283210831850156,0,0.189924998772733,0,0,0,0.114207934072277,0,0,0,0,0,0
XMR,0,0,0,0,0.253860323521474,0,0.0612568751851172,0,0.0954036281424842,0.0757544361760619,0,0,0.15148854263769,0.0892039930788161,0,0,0,0,0,0
DASH,0,0,0,0.0266501079479687,0,0,0.0516074204023812,0.139778175438531,0.037875512083272,0.0728717819848509,0.0372953632690111,0.0992585366590942,0,0.120746140288562,0,0,0,0,0,0
TRX,0,0,0,0.276322805895706,0,0,0,0,0.309220046442329,0,0.0543281010657798,0,0.127074486087998,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.147956377388035,0.110306760749386,0.0688142299564475,0.12708956818553,0.130199172034884,0.0398180557533108,0,0,0.0725735723046802,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.0035272979973895,0,0,0,0,0,-0.0103337247180632,0,0,0,0,0,-0.0317258229713383
CVIX.Index,0,-0.0678738655934602,0,0.0553907942661567,0,-0.0485658454215272,0.0470478361265539,0,0,0,-0.0202028151549716,-0.0671991215679895,0.103814885384743,-0.00478396013264681,0,0,0,0,0,0.0170694184536059
DXY.Curncy,0,0,0,0,-0.0173273214700547,0,0,-0.0294546296338366,0.0151403194923382,0,0.00101615954161936,0,0.0246770775900498,-0.016466508943894,0.00927624929974856,0,0,0,0,0.00348046808784175
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117143392758096,0,0,0,0,0,-0.0800907314512444
VIX.Index,0,0,0,0,0,0,0,0,-0.137769731198224,0.224779344544693,0.0521184090932396,0,0,0.0914607256239236,0,0,0,0,-3.94890966672902,0
