,BTC,XRP,ETH,BCH,XLM,EOS,LTC,ADA,XMR,TRX,MIOTA,DASH,BNB,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0131064072611335,0.108653791527334,0,0,0,0,0,0.0362458512696572,0.0917147196512331,0,0,0,0,0,0,0,0,0
XRP,0,0,0.180213755256916,0.0131608917234912,0.190803358358278,0,0,0.0940502395276367,0,0,0,0,0,0.113761637516283,0,0,0,0,0,0
ETH,0,0,0,0.182108234720981,0.133934339752761,0,0,0.0702684457188284,0,0.0365668232184713,0.0563938319784447,0.109972780863556,0,0,0,0,0,0,0,0
BCH,0,0,0.266721442111053,0,0,0.0830411983412446,0,0.281655780289179,0,0.141735210012816,0.169900757142616,0,0,0,0,0,0,0,0,0.0425248853263491
XLM,0,0.169110505422843,0,0.0380822475289677,0,0,0,0.412647783555931,0,0.131207758086549,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.146339990619663,0.0764123780505798,0,0,0,0.240325684433048,0,0.00462081500510026,0.0801056965035854,0,0,0,0,0,0,0,0,0
LTC,0,0,0.11873837628202,0.127748839348707,0.0622487784256329,0,0,0.0561474515307748,0,0.0559094683776341,0.207526935730153,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.14940000662711,0.246563317809878,0,0,0,0,0,0.300571842370203,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0767620027820018,0,0,0,0.0914048744580893,0,0,0.225405711524919,0,0,0,0.0339580779943391,0,0,0,0,0
TRX,0,0,0,0.0863142287326055,0.00493614144850146,0,0,0.308098820852337,0,0,0.170757659906174,0,0,0,0,0,0,0,0,0
MIOTA,0,0.0384679090214427,0,0.0936227122952424,0,0,0,0.40825202622531,0.178090845380236,0.083783045856265,0,0,0,0.0286305850529076,0,0,0,0,0,0
DASH,0,0,0.436451720144056,0,0,0,0,0.202990538731108,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0.252204840588103,0,0.21182646891007,0.0454497526750762,0,0,0,0,0,0.0638380613174573,0.0109137200043076,0,0,0,0.178108860867249,0,0,0,0,0
XEM,0,0,0,0.00324007269302892,0.066232942524943,0,0,0.116816256221154,0,0.171893937362752,0.247575111857752,0.0866359875252907,0,0,0,0,0,0,0,0
ETC,0,0,0,0.131023688769341,0,0,0,0.119104867346144,0,0,0.205716726152966,0.0381076162351989,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229360515768364
CVIX.Index,0,0.0431152002137074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523125773379642
DXY.Curncy,0,-0.00200738009822844,0,8.55412519906107e-05,-0.0320854054897882,-0.00200891040966441,0,0,0,0,0.0214884859348133,0,0.0258776784230905,0,0,0,0,0,0,0
SPX.Index,0,-0.0281082332400413,0,0.0112163069623515,0,0,0,0,0,0,0,-0.0169383476397752,0,0.0236671897541919,0,0.0493676614995016,0,0,0,-0.10469936487831
VIX.Index,0,-0.0992579758749654,0,0.144264534482204,-0.215861171089852,0,0,0,0,0,0,0,0,0.117033384852018,0,0,0.407175210777679,0,-5.32672074974837,0
