,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,TRX,MIOTA,NEO,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0204126862394564,0,0.0719104761745388,0,0,0,0.0681562252414905,0.0412526113344038,0.117671968966291,0,0,0,0.0644179582583315,0.0416458635107169,0,0,0,0,0
ETH,0,0,0.149987333208279,0.0987655141052337,0,0,0,0,0,0.139914725077458,0.0411501385726129,0,0,0.0543555677083141,0,0,0,0,0,0
XRP,0,0.0861089232547979,0,0,0.0742313295803916,0,0.0617390841029709,0.152493647108342,0,0.0746499941760848,-8.67361737988404e-19,0,0,0.260148700060427,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.139732818295274,0.0725908954972652,0,0.251180812802433,0.138015661297587,0,0,-1.73472347597681e-18,0,0,0,0,0,0
EOS,0,0,0.277668061827886,0.189179777792894,0,0,0,0,0,-0.00181175022221094,0.14369354198549,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.198201892126282,0,0,0.0670961237886828,0.054307530564328,0,0.0544995532223343,0.106787897465242,0.0297567326499626,0,0.0875572990121049,0,0,0,0,0,0
ADA,0,0,0,0,0.0431569185788917,0,0,0.434300766544643,0,0.12751250032407,0.0350424093208182,0,0,0.00763241766692622,0,0,0,0,0,0
XLM,0,0,0,0.0707733248099762,0.0268248373369392,0,0.106900021717754,0,0,0.0486694330017591,0,0,0,0.347870139991137,0,0,0,0,0,0
TRX,0,0,0,0.161102350466486,0.0735240921978962,0,0,0.405398491007552,0,0,0,0,0,0,0.0951558508926616,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.130511882931277,0,0.0437338293760255,0,0.107951907293145,0,0.0255442589617777,0.331000230703405,0.0673529399114869,0,0,0,0,0
NEO,0,0,0,2.16840434497101e-19,0.0453180910913735,0,0,0.264548909699922,0,0.162112043101843,0,0,0.0657808659457441,0,0.186124427823096,0,0,0,0,0
XMR,0,0,0,0.132757451554708,0.02370900998005,0,0.0121592117279043,0.218982790150205,0,0.0100249621075169,0,0,0,0.101500083799146,0.0113852693486347,0,0,0,0,0
DASH,0,0,0,0.105033479512738,0,0,0,0.239981457574155,0.0620147861692472,0.132292014992053,0.0361815433256506,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.0818975030149958,0,0,0.0178466698686724,0.283825873178681,0,0.118609628683824,0.0787281293377236,0,0,0,0.171674175801669,0,0,0,0,0
ETC,0,0,0.201551707257732,0,0.120080521634821,0,0.0292509024396192,0.107844288851611,0.00809780056549333,0.119467066895723,0.0394427631939511,0,0.0255207805900422,0.0563299088027828,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238290035459677
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234995436890974
DXY.Curncy,0,0,0,0,0,0,0,0,0,0.00393320127131463,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.0092063407042392,0,0,0,0,0,0,0,0,0,0,0,0,-0.112504248344515
VIX.Index,0,0,0,0.00850846103409497,-0.0677465254057015,0,-0.115126976646085,-0.134054050077612,0.00246079282601231,0,0.232057802292774,0,0.127245337797907,0,0,0,0,0,-4.29131593721313,0
