,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,XTZ,MIOTA,BSV,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0712013206151353,0.0814225119043675,0.00369419749642875,0,0,0,0,0.167835305365277,0,0,0,0.0872524484179781,0,0,0,0,0
ETH,0,0,0.112566768846588,0,0.0409010847024169,0,0,0.0433792065932607,0.150397988907738,0,0.0449807699874195,0,0.0414531886272125,0,0.0812951638450938,0,0,0,0,0
XRP,0,0,0,0,0.0924895471348342,0,0,0,0.0882474581137035,0.0998534089186153,0.271306095707907,0,0.0368560323861564,0,0,0,0,0,0,0
BCH,0.203053527083663,0,0,0,0.120922045136632,0.212650587424812,0,0,0.145087227128657,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.231068408318148,0,0.199088409937168,0,0.0927319566857295,0,0,0,0.102797739512604,0,0,0.0475856087373112,0,0.0431257090709177,0,0,0,0,0
LTC,0,0,0,0.122899830990469,0.0454734023387053,0,0,0,0.173242694060351,0,0.0111590657147402,0,0.00306431443165387,0,0.211921001571616,0,0,0,0,0
BNB,0,0,0,0,0,0.030011949563982,0,0.184216189353352,-1.73472347597681e-18,0.0955519389285406,0,0.139003416574414,0,0,0,0,0,0,0,-0.125580976055271
XLM,0,0.0805622957191869,0,0.0621572259267548,0.0961146077087786,0,0.0187002615663928,0,-1.73472347597681e-18,0.0880099429936932,-1.73472347597681e-18,0.182692474160539,0.00281608118526647,0,0,0,0,0,0,0
ADA,0,0,0.0517922229772248,0.349956870970164,0,0,0,0,0,0.0308952441969837,0,0,0.0734171924511412,0,0.167103636193679,0,0,0,0,0
TRX,0,0,0.321616886524125,0,0,0,0.0746739759493802,0,0.136924310611691,0,0.153809590506664,0,0.0197132917773738,0,0.0682333704179132,0,0,0,0,0
XMR,0,0,0.146594707852983,0,0,0,0,0,0.00308841123904562,0.0385897105223201,0,0.126154694173532,0.0109827042987035,0.100136701635845,0.279923957429604,0,0,0,0,0
DASH,0,0.160342047850168,0,0,0,0,0.0432305445024826,0.0806313558038954,0.0705346698094307,0.0563554845592981,0.148550505114089,0,0,0,0.045327645951999,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0.369599073627014,0,0,0.253401857618589,0,0,0.0714725918918304,0,0,0,0,0,0
MIOTA,0,0,0.0419778399640064,0,0,0,0,0.10120036882934,0.03642193461895,0,0.298136673104366,0,0.0310267610840792,0,0.0646964852205523,0,0,0,0,0
BSV,0,0,0,0,0,0.434504156397294,0,0,0,0,0,0,0.0541602816456972,0,0,0,0,0,0,0
BV010082.Index,0.0696605130160273,0,0.0297806264679508,0.03811683344837,0,0,0,0,-0.209630597043069,0.0463041989815977,0,0,0,0,0.0659357945449059,0,-0.12920373084289,0,0,-0.056569530322541
CVIX.Index,0,0,0,0,0,0,0,0.118060214178612,-0.09191920024512,-0.0214507654802112,0,0,-0.0600758458614501,0,0,0,0,0,0,0.126536482968862
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,-0.00555342151404055,0,0,0,0,0,0,0,0.0261814655989789,0,0,0,-0.0714668655085247
VIX.Index,0,-0.0188660834261551,0.556752799088088,0.123668333328771,0,0,-0.109144046034114,-0.958209051091328,-0.100083508488644,0.462355950088225,0,0,0,0,0,-0.574291670881806,0.207290167731576,0,-1.97331329327692,0
