,BTC,ETH,XRP,BCH,LTC,XEM,DASH,MIOTA,ETC,NEO,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.110911124447529,0.0689445120734963,0,0,0,0.0310046376301179,0,0.0334700190272147,0,0,0.122671240440819,0,0,0,0,0
ETH,0,0,0,0,0,0.0101460822200029,0.0533292279902068,0.081886452074813,0.165896508019553,0.0206231912282781,0.092738746932006,0.0299468569053199,0.0435570713628337,0.0489910249410604,0,0,0,0,0,0
XRP,0,0,0,0,0,0.0245672113032803,0.0375833653015878,0.0601798104384269,0,-1.73472347597681e-18,0,0.041340083482054,0,0.0385483196289829,0.304680463972019,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.163124241978749,0.0781672427392209,0.0793399209114114,0.0878380356430422,0,0,0.064196285349732,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.0588033923700247,0,0.0345683627944696,0.102642626458627,0.12668791375807,0,0.0903295289094531,0.0528642964863385,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0.0762356483300161,0.151882037330359,0.0397034025498259,0,0.120384557793752,0,0,0,0,0,0
MIOTA,0,0.219503047572733,0,0,0,0.170963366655908,0,0,0,0.0762435848803594,0,0,0,0.0865894202161938,0.0844985899218562,0,0,0,0,0
ETC,0,0.0956468626665572,0,0,0.11832665783633,0,0.116924233144709,0,0,0,0.135826461375774,0.0100949633941491,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0707074031820204,0.0788349606541673,-1.73472347597681e-18,0,0,0.0340476404689408,0.0307519186448764,0.350739683303713,0.111126385305439,0,0,0,0,0,0
XMR,0,0,0,0,0,0.0691462060839265,0.195477778447588,0.0347514176479422,0,0,0,0.0385258194375917,0,0.235992534057148,0.171826868763773,0,0,0,0,0
EOS,0,0.0310637011507778,0,0,0,0,0,0.17200266682196,0,0.0346780431061941,0,0,0.247179343223178,0.0234637155954558,0.263450434120516,0,0,0,0,0
ZEC,0,0.19024723139139,0,0,0,0,0,0.0830789796591211,0,0.0188220822549159,0.220337866797318,0.0233093676503717,0,0.0725566747561871,0,0,0,0,0,0
XLM,0,0,0.0491629337044591,0,0,0.095688143282489,0,0.0171253258638183,0,0.0497953277377614,0.487923194050838,0.0696455812618073,0,0,0.0784994926206109,0,0,0,0,0
DOGE,0,0,0.134577693302128,0,0.0031725759851182,0.182277415762579,0,0.0810057956926951,0,0,0.255483330060674,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0.0230103003475544,0,0.0129106771288892,0,0,0,0,-0.0320981941604495,-0.00728794815821385,0,0.00383353019570598,0.0150338066251531,0,0.00937604999226453,0,0,0,0,0
CVIX.Index,0,0,0,0,-0.0243140042640916,0,0,0,0,0.00802595277767082,0,0.00824935118570069,0,-0.0321940024856929,0.0236517308909473,0,0,0,0,0
DXY.Curncy,0.019909780046535,0.00973550917711594,0,0,0,-0.00806536417731921,0.0053026645282146,0,-0.00346228908448831,0.00119808476689907,0,0.00193429635364429,0.0014009197553874,-0.0152350665142801,-0.00328883374948733,0,0,0,0,-0.0193063251077551
SPX.Index,0,0,0,0.000854370426031733,0,0,0,-0.00112597973442862,-0.00241062433323103,0,0,0,0,-0.000175358807566602,0,0,0,0,0,-0.0522868505613628
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310458990931829,0,0,0,0,0,0
