,BTC,ETH,XRP,BCH,LTC,NEO,XEM,MIOTA,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.143959322064283,0.0213910078666514,0.100629476328488,0,0.158538667003812,0,0.00878604355567384,0.0051252342579895,0,0.0150251564313169,0,0,0,0,0,0
ETH,0,0,0,0,0,-2.16840434497101e-19,0.0645763919024081,0.055900709131867,0.0327501797400083,0.0584612645465521,0,0.0226670030998598,0.0683149962064201,0.165886406703019,0,0,0,0,0,0
XRP,0,0.100432105085686,0,0,0,0,0.0488918245094741,0.0991088746210005,0.0258617932160592,0.042924250956507,0,0.0371208975067591,0,0.0342051067891943,0.0566283321661302,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0609558607705668,0,0.024143783049232,0,0.181394323697261,0.110717745632534,0.0867159619873676,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.138329082570702,0,0.112007053347536,0.056348518004812,0.0428025570383285,0.145768485127498,0.133620188763511,0,0,0,0,0
XEM,0,0,0.0399850328897899,0,0,0.0277759024227059,0,0.0220990560586553,0,0,0,0.121080643966854,0,0.100428635837527,0.192185557854289,0,0,0,0,0
MIOTA,0,0.279677751445512,0.216561764953397,0,0.0886962609367445,0.0691811695984107,0.265903038082622,0,0,0,0,-0.0147132585950694,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0.0746505679138941,0.0520794467790402,0,0,0,0.141088640736773,0.0253081740777251,0,0.00834535242176954,0.124203761817497,0,0,0,0,0
ETC,0,0.0421957371997894,0,0,0.109808860808394,0.0144476936057145,0,0,0,0,0.130152224195172,0.0111525127007861,0,0.02186422594293,0,0,0,0,0,0
XMR,0.212773127900931,0,0,0,0,0,0.0170502505053065,0,0.229704193512159,0,0,0.0309398605072756,0.013403698191249,0.0597072554214656,0.272309689219389,0,0,0,0,0
EOS,0,0.177819527807509,0,-0.0294436847793585,0,0.0440035573683398,0,0.1584389058686,0,0,0,0,0.201408225024545,0.0398559129779514,0.0958245069818517,0,0,0,0,0
ZEC,0,0.151738088586133,0,0,0,0.0207424759136381,0,0.0814399126363442,0,0,0.236338217692744,0.0540464995172269,0,0,0.0817384821970897,0,0,0,0,0
BAT,0,0.499358360653744,0,0,0,0,0.0570151826881625,0.061938850362956,0,0,0,-0.0400936387720962,0,0,0.180288569658262,0,0,0,0,0
XLM,0,0,0,0,0,0.0306090068188739,0.0449887558402231,0.0360480509860892,0,0,0.490092833063356,0.0728536382056145,0.0699475017914815,0.0203224936706743,0,0,0,0,0,0
BV010082.Index,0,0,0,0.014060261556504,0,-0.00790019361553181,0,0,0,-0.0190321264924925,0,0.00455035322412963,0.0282338994309536,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,-0.0193907008449187,0.0097289651232536,0,0.0104151810624819,0,0,0,0.00761119769526439,0,0,-0.0365653393913355,0,0,0,0,0
DXY.Curncy,0.0130685982879808,0,0,-0.000756742415806962,0,0,0,0,0,0,0,0.0023528948277178,0.00752295266162892,0,-0.0178481790362645,0,0,0,0,-0.00228536462154498
SPX.Index,0,0,0,0,0,0,0,0,0,-0.00295121294090714,0,0,0,0,-0.00111164012278286,0,0,0,0,-0.038624498647998
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0.0278050876226345,0,0.0816588499369567,-0.121861937790043,0,0,0,0,0
