,BTC,ETH,ETC,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0639584334710125,0.00873881130412059,0,0.502834591751688,0,0.0326153363845409,0,0.10709564445497,0,0.00650065305375429,0,0,0,0,0
ETH,0.151313357869598,0,-0.133988574529426,0,0,0,0.0252151642613727,0,0,0,0.245174822616584,0,-0.425302222726583,0,0,0.0662166598374044
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.0102693235695214,-0.0119376570350176,0,0,0,0,0.06196226151417,0,0.0359256787582711,0,0,0.186639695987749,0,0,-0.0624959081585908
LTC,0.583016445252968,0,-0.00388362589028092,0,0,0,0,0,0,0,0,0,0,0,0,-0.0128294997128738
DASH,0,0.0285296712152716,-0.00179938976667863,0,0,0,-0.024065777204739,0,0.073610452090837,0.0396813601544346,0.117049923645536,0,0.0108084639693685,0,0,-0.0156056770800895
XEM,1.21657906384978,0,-8.67361737988404e-19,0,0,0,0,0,0.00171827479527841,0.220044282634888,0.224715778336864,0,0.227516250646495,0,0,0.087634880170482
DOGE,0.380040290138392,0.0511291718054662,0,0,0,0,0,0,0.00946298790372543,0,0.0158820830714017,0,0,0,0,0
XMR,0.608333209346768,-0.0361870397116939,-0.0162224666427218,0,0,0,-0.020533757054579,0,0,0,0.0434273260462655,0,0,0,0,-0.0231191293888341
XLM,-6.93889390390723e-18,0,-0.045320987739943,0,0.306098183099198,0,0.137990640244259,0,0,0,-0.0220580163520208,0,0,0,0,0.0851883652997065
DGB,0,0.251011737144915,1.35525271560688e-20,0,0,0,0.0825803077334851,0,0,0,0,0,0,0,0,0
BV010082.Index,-0.00515339257076471,-0.00406100393348682,0.00985101656088372,0,1.73472347597681e-18,0,0,-0.0904996435107828,0,0.0432629842817281,-0.0560883759381289,0,0,0,0,-0.0754791731060452
CVIX.Index,0,-0.10864033790453,-0.0146408064560655,0.0866975807333212,0,0,0,0,0,-0.0567459665407607,0.0716701121037198,0,0,0,0,0.199942168097303
DXY.Curncy,0,0,-0.000479930842617157,0,0,0,-1.35525271560688e-20,-0.00830697283526459,-0.0134794093777873,0,-0.00047440294566608,0,0.0399958793651182,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,-0.0100904003639682,0,0,0,0,-0.0582403684102042
VIX.Index,0,0.111170116175402,0.0929537730194952,0,-0.157085909305577,0.0692028347490581,-0.105360287634404,-0.0305349123661486,0,0.286671038591127,0,0,0.715756330080951,0,-1.28685924684005,0
