,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,BAT,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.112030263128534,0,0.0384706057479977,0.0176928634931807,0.13458635781187,0,0.0578752734317523,0,0,0.0661117733316321,0,0,0,0,0,0
ETH,0,0,0,0.0394344406845641,0.161501908658233,0,0.0342544078085383,0.0184668643742804,0.133503102278624,0.0309299757912526,0,0.0386566952181587,0,0.0478720263534246,0,0,0,0,0,0
XRP,0,0,0,0,0.287540099485964,0,0.0380716199044934,0.00463183689323305,0.0177054168744721,0.0413986194312722,0,0,0,0.0571218081721352,0,0,0,0,0,0
BCH,0,0,0,0,0.183107878106214,0,0.165525082797819,0,0.0483657341483677,0.0655994465254643,0.248369498054155,0,0,0,0,0,0,0,0,0
LTC,0,0.172743589218365,0.0054804730364018,0,0,0,0,0,0,0,0.698753483194867,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.0547960149451863,0,0,0.0443929875162195,0.0211470791437092,0.100483732514745,0,0,0.172493596255251,0,0.119438066902165,0,0,0,0,0,0
XEM,0,0,0,0,0.00208091243451835,0.0566390702952234,0,0.0614575549333058,0.134778245436783,0,0.0587853778762613,0.0303465894879434,0,0.0298670758351161,0,0,0,0,0,0
NEO,0,0,0,0,0.123792072227803,0,0.332860165423009,0,0.112716724464251,0,0,0,0,0,0,0,0,0,0,-0.091747986810702
MIOTA,0,0,0,0,0,0,0.131178537763349,0.167441514436561,0,0,0,0.143427606161839,0,0,0.333658727885301,0,0,0,0,0
XMR,0,0,0.0864714911014587,0.0103252447063718,0,0,0,0,0.0836500710995731,0,0.053794342815687,0.200047866109183,0,0,0,0,0,0,0,0
ETC,0,0,0,0.00326505335525535,0.456781824638452,0,0.0128776879337418,0,0.07045400416222,0,0,0.0711642405940674,0,0.0265285729931012,0.0392526036873501,0,0,0,0,0
ZEC,0,0,0,0,0,0.34263266637964,0.0415393514339069,0,0,0.0989145374880958,0.0652191379372366,0,0,0,0.208982721005051,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0.241177372229512,0.0939198181263363,0,0.132018325379923,0.0274885092720778,0,2.77555756156289e-17,0,0,0,0.240170613767432,0,0,0,0,0
EOS,0,0.161569331627616,0.0933617005070543,0,0.187198856939204,0,0,0.0958797865944422,0.0842697754960933,0,0,0.175743094316986,0,0.0389155766250895,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,-0.00104081240813191,0,0,0,-0.00447562880842022,0,0,0,0.0299977033539422,0,0,0,0,-0.0494231039247084
CVIX.Index,0,0,0,0,0,0.00967682567802075,0.00644582494773919,0,0.0133090982376978,0,0,-0.0969867047621982,0.0459332396616256,0.0350371630857756,-0.012045916028628,0,0,0,0,0.0503530896466538
DXY.Curncy,0,0,0,0,0,-0.0200354150220604,0,0.00326410421500815,0,0,0,0.0013322087608387,0,-0.00655040652318937,0.01068959669286,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00477419689076564,0,0.000865858855682582,0,0,0.000553614738780925,0,0,0,0,0,0,0,0,-0.0380048080236361
VIX.Index,0,0,0,0,0,-0.256047787367457,0.0297459121555656,0,0.164181342139941,0,0,0,0,0.056430697075178,-0.0857677385036376,0,0,0,0,0
