,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,EOS,ZEC,NEO,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0726462961769347,0.154629220320681,0,0.0254314346653815,0.0205047238493417,0,0.135432358859011,0.0139565216340295,0,0,0,0,0.0155143121023393,0,0,0,0,0
ETH,0,0,0,0,0.169595661320231,0,0.129443032801033,0,0,0.0438038306466371,0.166520088256649,0,0,0.0343495789568717,0.0217390028528003,0,0,0,0,0
XRP,0,-0.0462053441059991,0,0,-0.0927732223190091,0,0.28439798260694,0,0,0.0247440741697658,0,0,0.437563743861455,0,-0.00825250868415831,0,0,0,0,0
LTC,0,0,0,0,0,0.087272764460452,0,0,0.0425730617025422,0,0,0.163315236920882,0,0,0,0,0,0,0,0
ETC,0,0.41518722073521,-0.0792298839319201,0.185671600564972,0,0,0,0,0,0,0,0.00532251945867435,0,0,0,0,0,0,0,0
XEM,0,0,0.0950861734144259,0.173060561675234,0,0,0,0,0,0.109803632961907,0,0.0235128134325269,0.114783046307595,0.284586031501203,-0.051699682288206,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.347482532684828,0,0,0.0769517020503044,0.0133999761097471,0,0,0,0,0,0,0
MIOTA,0,0.099414255570181,0,0.0385210434648434,0,0.0774183930892971,0,0,0,0.0102879825251957,0.077569774911625,0.0733238756484292,0,0,0.0576163274185426,0,0,0,0,0
XMR,0,0,0,0,0,0.200542085031909,0.38206586778432,0,0,0.0196741167938668,0,0,0.0836942511913964,0,0.00363537476595418,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.104086855008528,0,0,0,0.0259101388868048,0,0,0.0864304688140777,0,0,0.0716654207076856,0,0.115796106594496,0.0117035411065221,0,0,0,0,0
NEO,0,0,0,0.467201771518933,0.0922766158282138,0,0,0,0,0.0217938185457261,0.276744114243592,0,0,0,0.041454711317163,0,0,0,0,-0.00703107060506626
XLM,0,0,0.490338826958641,0,0,0.0293656508118281,0,0,0.257177344180423,0,0,0.0326316708906422,0,0,0.0571002195569078,0,0,0,0,0
DOGE,0,0,0,0.0380774605973969,0.102138836754692,0.233023321507847,0.281976548295836,0,0.0202581900049981,0,0,0.00402142383996585,0,0,0.0189327178588407,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0.0941011745367072,0,0.0879522123639861,0,0,0.528975444756132,0.290308365976075,0,0,0,0,0,0
BV010082.Index,0,0.0161088275650135,0.0319022488359899,0,-0.0014113222014073,-0.0316718400532422,0,0,0,0,0.00383189401832805,0.00194559021291597,0,0.00705673816358633,0,0,0,0,0,-0.0201214437105298
CVIX.Index,0,0.00833813827730826,0,-0.0180855236587798,0,0.00723279568998155,0,0,0,0.00588021693949767,0,0.00917024349063648,-0.00957911289521875,0.0061266470743368,0,0,0,0,0,0.0305913535826199
DXY.Curncy,0.0238686711464072,0.0125360857388664,0,0,0,-0.00127827574003416,0.00179765475169034,-0.000597912183583225,-0.00274992918019081,0,0.000812532441517271,0.000869839327217491,0,-0.0182373035180238,-0.00452925578871024,0,0,0,0,-0.00578250409877089
SPX.Index,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042281505495983
VIX.Index,0,0.0584498696308887,0.0552115135749362,0,0,0.15537662934974,0,-0.114026082286576,0,0.00628352311912355,0,0,-0.0342393885259933,0,0,0,0,0,0,0
