,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0314995679610789,0,0.0323487860277716,0,0.0664209329751664,0,0,0,0.0157715025518799,0,0.0633745161266177,0,0,0,0,0
ETH,0,0,0,0,0.041084934037426,0,0.114275694051777,0,-0.0163461352319477,0,0.0349692798754048,0,0,0.0565531635311552,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.434652750540166,0,0,0,0,0,0,0,0,0,0
XEM,0,0,-0.153438500220691,0,-0.404485944769174,0.0115253153485263,0,0.102968004902708,0.080364235157891,0.137956241490074,0.12533911883865,-0.0168203557617985,0,0.301077453782565,0,0,0,0,0
ETC,0,0.242189082965461,-0.0589297541300551,0,0,0.00226337807477575,0.00562528417222557,0,-0.0105056301587125,0,0,0,0,0.236723126044024,0,0,0,0,0
LTC,0.173874036358378,-0.169598309586548,0,0.104464705736106,0,0,0.327787386883802,0.180587787031519,0.0433262593590716,-0.1455385479038,0.0818429585904738,-0.00809388074681972,0,0.188807089827282,0,0,0,0,0
DASH,0,0.110007970539589,0,0,8.67361737988404e-19,0.0530843338566423,0,0.248458587908205,0.0242337986560944,0.199980493189992,0,0,0,0,0,0,0,0,0
XMR,0,0.059607379000144,-0.00645513425475798,0.0792154965266828,-0.053671110104612,0.0240458836868715,0.283950233045708,0,0.0605933792657931,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.521433400692773,0.0266839615913712,0,0,0.0583666718234688,0.208078304126567,0,0,0,0.0488438369003041,0,0.0869594120074248,0,0,0,0,0
ZEC,0,0.269926696348032,0,0.00451010287896161,0,-0.0955713025550286,0.0375915743172664,0.126306805608231,0,0,0.121073087332073,0.00765278874554732,0,0.0500728519107193,0,0,0,0,0
DOGE,0,0.151984168762117,0.122841541124038,0.090173070199926,0,0.235150162928682,0,0,0.110219405935983,0,0,0,0,0.0926686200950245,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0.354858032498843,0.146551009304095,0,0,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.181812697354761,0.153109926497784,0,0.137922054532398,0,0.230550366513857,0.0890724339705486,0.0627061018156976,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.00754210582406026,0,-0.0012013529244762,0.00817926286040119,0,0.0179872664665232,0,0,0,0,-0.0713874186536857
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00456810502170374,-2.71050543121376e-20,-0.0107507732691006,0.00356119232066609,0,0,-0.00175955939933955,0,0,0,-0.0054334663870923,0,0.001310844183844,0,0,0,0,0.000694705145683082
SPX.Index,0,0,0,-0.00110836281413842,0,0,0,0,0,0,0,0.00413370527864458,0,0,0,0,0,0,-0.0241817889751433
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
